pnpoly_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.973770567010592,0.021241640387275332,0.0,25,0.0,NA,25
Random sampling,0.9836869846084633,0.016360493014956155,0.0,50,0.0,NA,50
Random sampling,0.9910079388904409,0.00876981990863304,0.02,75,0.0,NA,75
Random sampling,0.9921172025888505,0.00659792363498702,0.0,100,0.0,NA,100
Random sampling,0.9950194914496543,0.0038200800484175326,0.03,150,0.0,NA,150
Random sampling,0.9953580418967403,0.0037866940635234545,0.02,200,0.0,NA,200
Random sampling,0.9975527073114542,0.0016214340363623178,0.1,400,0.0,NA,400
Random sampling,0.9978490032943058,0.0011954977283079947,0.1,600,0.0,NA,600
Random sampling,0.9981725348662338,0.0009629172699389938,0.08,800,0.0,NA,800
Random sampling,0.9983613691536982,0.000917394956991498,0.1,1000,0.0,NA,1000
Random sampling,0.9988903845662216,0.0006419973120103308,0.18,2000,0.0,NA,2000
