GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7981396586632014,0.12831091320625365,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.8421984690597984,0.13095391722152452,0.05,24.6,1.7888543819998317,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.8103408454718244,0.10124977709571566,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8762112423478214,0.10321816037255267,0.3,23.5,3.1871452330953014,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8130254497591375,0.10757386164175373,0.05,24.95,0.22360679774997896,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8667844073494745,0.13041465212696607,0.1,24.35,2.058998223459779,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.7086292046722232,0.19166146494859415,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.6896688764992335,0.21246807713375987,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.7433869528795862,0.09920926526215752,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.6977130207928556,0.2031741504709915,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.6406752523145653,0.24589797106107183,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.767541430165857,0.10036569960675303,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.7630179602867152,0.22982392866633725,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8783456953363709,0.09161642969061704,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8491872250782252,0.12456803132655642,0.05,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7916653997232871,0.2346143596386331,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.875416569865088,0.07983870682921534,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.7979520007830491,0.11343226236205878,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.6745900136405595,0.20788423335831988,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.73167756070975,0.11405118716191674,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.755086955017302,0.103034198374115,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7512570737876376,0.114483892631013,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.6864795741730954,0.20070012630558373,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.6825887251791973,0.11344768072808994,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.5399908060254183,0.20617854117034135,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.5968101027393419,0.12656075749574172,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.609147523798889,0.21268291395683545,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6084872082917614,0.22489764544998844,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.5703243621575198,0.15974840414126223,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.640651284846691,0.12049915166036734,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7411004908708512,0.10792580211238026,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7197654018010948,0.09999953226915786,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.5778775639094375,0.32445551114241616,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.6934818837763354,0.11536804872743514,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.728802505826463,0.20446832458190406,0.0,25,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.686992809924572,0.1888581683459453,0.0,25,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.6670182153104992,0.1599921508986474,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.6470216270862003,0.12982525470838782,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.6323357205981736,0.18051093624385534,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.7028708244744734,0.10249332973363187,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.6495036533318911,0.08663036588070658,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.6875295255716549,0.13281761432977032,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9134820455909823,0.12869119827747924,0.55,41.05,9.472814287544953,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9442061772176612,0.09894403756775765,0.45,42.25,9.475036453200255,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9466405272906436,0.10111296845378943,0.6,39.65,10.883473710171767,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9527383370303159,0.05468089092610153,0.3,46.65,6.627494565107264,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9360648728299397,0.11859016328923712,0.55,41.25,10.587355914635056,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8765931557602267,0.13208531333898685,0.35,43.6,10.884078183049626,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.7610511302749423,0.1342528947775012,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.7579039971080124,0.14695933249611812,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.7335166454997187,0.21288015454748038,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.794370847057702,0.12539019936054172,0.0,49.6,1.7888543819998317,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.7860651210559277,0.08464966468280753,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8058848723560379,0.10376410568443799,0.0,49.75,1.118033988749895,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9201518193161263,0.03867859897448608,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.873287846106698,0.09307389658351434,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9039091990643542,0.10085857071552105,0.05,49.1,4.024922359499621,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8520205890639397,0.214154779846255,0.1,49.1,3.059067625411721,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8428240645536601,0.1200770162176769,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8775780115056377,0.1244177253126018,0.05,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7163229281650769,0.20353158133505797,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7768343624737116,0.14468041177076404,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7571799457096047,0.1019241933510229,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7233239982149984,0.19783198371118801,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.783227248074689,0.10621174943478615,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8080181938358243,0.07144054424027717,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.5997325781211651,0.24993282216760854,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.638011057223191,0.1818035080359116,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6475976610856264,0.2348506678695091,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6669999659456904,0.20226291954860273,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.6192537358356428,0.242002246850324,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6585393809255673,0.1897439963551742,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7760971749406799,0.1012341199135004,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.781583436746458,0.11084798291340085,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.759669316645299,0.11796187930227393,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.7845928073294364,0.11324378313384176,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7531367624186399,0.10850043836119466,0.05,49.2,3.5777087639996634,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7424106222919679,0.1392931434351968,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7676049743684219,0.10475049077888195,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.780189330338141,0.11126344949283548,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7138326530063585,0.19899259788973664,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.7614675613384384,0.09500803003865319,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7628889101480056,0.18699659692930623,0.0,49.35,2.9068883707497264,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7034347551956545,0.1514848543311871,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9761103830736817,0.08073767727862,0.75,50.7,19.428952893203373,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9207146938951895,0.14581813352764475,0.6,61.7,23.848424862473678,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9484871664688228,0.11079419940159864,0.65,57.25,27.674565560228192,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9539218094209123,0.10866136754976022,0.5,64.8,24.21960928017235,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.927473897255771,0.12868180117227335,0.5,61.6,27.996992319664777,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.962516353163143,0.10890335602599399,0.8,56.4,24.258259580908454,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8470498409969338,0.103085213510481,0.0,98.4,7.155417527999327,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8947669968916804,0.08524227429678428,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8243491911619407,0.08955881702754978,0.0,99.35,2.906888370749727,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.85460421756962,0.10676781302494444,0.05,97.75,7.866484535506849,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8314556958589615,0.10245927954524806,0.05,95.45,15.746261043247863,method=BFGS; iterations=1000000; temperature=1.0
