GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9213136212536338,0.05235835486747951,0.05,25,0.0,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9182747259860464,0.05715586880161771,0.1,25,0.0,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9175315635988778,0.04761351436794602,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9139870120894026,0.06680314377302558,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9111971922404459,0.052959420688348795,0.0,25,0.0,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9396719618881361,0.04750528701853322,0.05,25,0.0,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.7996918099385998,0.14695508780940134,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8070452410858885,0.1526816805838431,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8236377607309124,0.12329234698482715,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8187618492145199,0.11562790915335286,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.7265656618543215,0.3266040816114354,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8434258934636262,0.1009072254820932,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9093119798012824,0.05099016085871045,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8849103408336593,0.21353930136905241,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8718001031563539,0.20996934547094318,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8510713917582272,0.2931253553490913,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9069286545382523,0.1010040122919075,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8551304789044258,0.20621548659393385,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.863186498741889,0.09397730360343975,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7891382900397634,0.28480615377063745,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8638451688585814,0.08148034719601539,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8371376227118481,0.156862043302771,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.864155915335249,0.2066548725013594,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8285508173519012,0.2161521918077164,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7741754714340453,0.17483974558548748,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.7298283656981895,0.18833863018960623,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.7059264678643581,0.21335148600587053,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6387369116534232,0.27480279078884956,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.765539453893152,0.22536645744380207,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7215633526597333,0.18617891828104566,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7457045167951645,0.2461476979854772,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8354776334825603,0.12745950217958055,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.7845142840053847,0.16174291039599545,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.7018487447674298,0.23774500594043993,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7585405828819995,0.19002032707784813,0.0,25,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7074401574816542,0.239939937432688,0.0,25,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7892680697781972,0.1194409913734202,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8220331346882894,0.11281145069449912,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7487228623770802,0.2085483012166427,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.6410933126285558,0.33806950942748937,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7336864452832169,0.29239581683292887,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8152536177173628,0.20975405008000084,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9062604963024287,0.05433330033977029,0.0,49.7,1.3416407864998738,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9279888537851091,0.042776785607274964,0.05,48.5,4.489754418322021,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9212419293545296,0.051413047198624294,0.1,45.45,6.870800152590825,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.924997931762391,0.033506506433829276,0.0,49.9,0.4472135954999579,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9212119290081232,0.046493491811577366,0.05,49,4.026229789243216,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9227150697139529,0.04726565407257605,0.0,49.5,0.9459053029269173,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.796630515152859,0.22144259420960927,0.05,49.35,2.9068883707497264,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8585897898401575,0.10567179361613967,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.827455617623515,0.22454785943616523,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8109775774125005,0.2114491700620469,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8693973056097118,0.10539730332230499,0.05,49.3,3.1304951684997055,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8149556688023536,0.19983084224328038,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8839950191455914,0.21031263623895827,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9213444107085177,0.0417531480742916,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8899153430548644,0.16230957212016214,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8505373457387141,0.2408067581681966,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.942356941942646,0.027737023395001774,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9285630838636242,0.03661412135107586,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8843621104370895,0.07305972009017438,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8687431825633655,0.2094353944502457,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
