GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8964493213856052,0.050027635081516156,0.05,24.75,1.118033988749895,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.8674890768698471,0.04254470797034729,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.8696982496804156,0.05127411365475222,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8634442001265902,0.057576924359049556,0.05,24.75,1.118033988749895,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8900611982346684,0.059339368606296516,0.05,24.75,1.118033988749895,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8751115007196152,0.06018989971557776,0.05,24.75,1.118033988749895,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.6692643789793017,0.18383693548620392,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.6857732462311775,0.1900714448515131,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.6957688088542617,0.18702166679890747,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.7228117611009114,0.09116870937651975,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.6137192105664575,0.2349252459598006,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.7095485900990961,0.09791249176159493,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.7323964535172358,0.17737976826749458,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8045710901644895,0.08281654908575727,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.7740212936056722,0.16477574301260964,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7303907851528587,0.23994418851237123,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.7463565650802475,0.21403403854937547,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.7986164143633597,0.09785179215009715,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7108883680036467,0.09119229018805468,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7015975061168112,0.09276419727944019,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.656490618484046,0.17921014397343263,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.6448349930292533,0.08189934841827201,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.6850296579642634,0.14462010580079326,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.71042098049111,0.08876975983024064,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.5069597806075703,0.12749409370477097,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.535470458287717,0.14456647723464908,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.5943336951233827,0.13063874389605787,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.5966102682634654,0.1940735221015691,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.6291041334040682,0.13176642254855747,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6010905059964576,0.17765198168258328,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.733557804405502,0.10731736799114923,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7097042220727675,0.09204198540302869,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.6087267909471898,0.24065603059968935,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.6920401386501112,0.09904737548026776,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.6382010318641215,0.28426585250308256,0.0,25,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.6688644880379007,0.1898570287968804,0.0,25,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.6959198366136435,0.11321299271806295,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.6242556874022182,0.17309531615211074,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.646133019406854,0.18418824640309936,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.6345833689738617,0.11196989412178764,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.708947663591985,0.19997484255883438,0.05,24.85,0.6708203932499369,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7116696973748392,0.20409423614719432,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.8920823982318468,0.06065661748244789,0.05,48.85,4.120232492162752,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.8929264723530709,0.04556781451821726,0.0,49.25,2.3141441523584345,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.8993089875232879,0.040520935459933634,0.05,47.85,6.998308066202408,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9205172826996485,0.04460028027178557,0.05,47.05,7.521722926927958,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8855036255107733,0.06060356270451995,0.05,48.1,6.7348270012556455,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8902036204840517,0.03945295426738205,0.0,49.9,0.4472135954999579,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.6814986312295692,0.24975360833980095,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.71849629815942,0.14487116079034193,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.6796981201568045,0.2483305489523498,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.7666002107146499,0.100251575134946,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.7259302799833418,0.09847867810635227,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.7501277529784025,0.08755068518489369,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8505633277468345,0.09670671271829319,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.7889234611339668,0.14637067148305502,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8598944108720681,0.07800757446761306,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7650923837474959,0.2069548139270762,0.05,48.55,6.48459713474939,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.819534230905895,0.14950369862473403,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.797805705764745,0.20936298048825583,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7124999593423256,0.10071310606739352,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7428460686350896,0.08014699778495799,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7216825975231506,0.13261844348637944,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.720041340968947,0.19400868729379897,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.7431110490209177,0.08353272620159362,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.7294556446720012,0.09562409054678128,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.6397435829582306,0.13664353552523087,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.6309105617904592,0.2025521699701196,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6221735370334481,0.15037531370548826,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6909359589511656,0.14021257279858515,0.05,49.55,2.0124611797498106,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.5554863459036462,0.23714154395679504,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6555728895150909,0.17991768209006945,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7932437252164708,0.1075138746460293,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7469839847247653,0.11109452367748499,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.7614861444861524,0.09393583556857174,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8204519106244557,0.08026699046515552,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7226412360542682,0.1963726301889624,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.6919005170016989,0.250755967899262,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7778914956810594,0.10741659905908285,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7627784636702492,0.07708604629513965,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
