convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.5278082854814663,0.3675237678364154,0.0,19.3,8.938974390717021,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.5695794091080746,0.3291164865529781,0.0,21.15,7.902531240052139,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.5485697317074337,0.357552756387082,0.0,20.25,8.453432812519981,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.6479784014642497,0.31614537882135996,0.0,22.2,6.841052550594828,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.5408936698645092,0.3656688165606665,0.05,20.1,8.595592505832032,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.6100670466925217,0.26464615909930955,0.0,23.15,5.6964901474504455,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.32939654893043907,0.3324292109163689,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.32548881969590354,0.24670821440005453,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.41575659156583566,0.2882213849985208,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.465380985340857,0.320844365817488,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.4267407883638717,0.27014283281596196,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.3083574634749795,0.24557905465043314,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.3989640045936003,0.2611014853744686,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.584505838115252,0.29645626475399023,0.05,24.8,0.8944271909999159,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.4483027724710471,0.2901544923905386,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.4509822302135906,0.29740429314151673,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.43735818191620995,0.28825307773864933,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.5240104767978776,0.297741652405206,0.05,24.9,0.4472135954999579,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.36126184318374754,0.270506337017497,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.35155822921383245,0.2844973908567306,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.4193058220264205,0.26486494474783273,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.36185176694801446,0.2539303059658176,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.2685293129374009,0.26920477425778294,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.36200455518240443,0.24986706604145847,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.5309229163204849,0.2628820725613057,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.4026191271368066,0.2925036109068005,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.3455674389116049,0.2956044934553666,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.4282029711255715,0.2844790046336202,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.4470806597064486,0.2764348040121731,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.3783362963022304,0.24357441926781928,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.28648102148033694,0.25592353087234593,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.3275355006710124,0.32716066225808654,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.40075742102326944,0.3578686876058756,0.1,24.7,1.3416407864998738,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.3345623514418846,0.3243456700298605,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.2217167130034497,0.2448995963668069,0.0,25,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.30572818522931194,0.2123023944273026,0.0,25,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.6581587329053253,0.2503258732752277,0.05,24.65,1.5652475842498528,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.5580987430357307,0.213016828724222,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.6168790832540024,0.24278632917596443,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.5124078786486758,0.2956357260470468,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.6157924529254757,0.23544147816395652,0.05,24.6,1.7888543819998317,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.6318813580431805,0.271965602655841,0.05,24.95,0.22360679774997896,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7419488363601245,0.3313762319946102,0.05,42.25,15.844225247206332,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.831724097142613,0.22661574385189395,0.25,44.3,11.074389611313027,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.6281012777859489,0.4037343468485554,0.0,38.75,19.531014472264093,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7569799549034009,0.2927556944342463,0.0,45.1,13.603018240933073,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.6155104554401752,0.41091422247510523,0.15,36.7,19.273925664646416,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7468135582619991,0.29954827836322545,0.05,45.3,13.31441640518,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.602154115684294,0.33875417335837255,0.05,48.7,5.813776741499453,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.6179585183317327,0.21182718273511475,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.5221048694563025,0.28482838485436124,0.05,49.2,3.5777087639996634,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.48098434882736346,0.36273808583051587,0.1,48.1,6.06890261475404,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.6530693321809248,0.27456301762029195,0.05,49.5,2.23606797749979,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.5794372392642783,0.29196258421848015,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.6827346666132116,0.30272455801413733,0.1,49.55,1.6050905860647504,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.7714999685344474,0.17434223262104925,0.05,49.6,1.7888543819998317,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.7635262536641206,0.21515128594129393,0.05,49.55,2.0124611797498106,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7370941963880814,0.17781450919570757,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.6889803526076502,0.2567988329233656,0.1,49.1,2.770141550629916,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.6552787781442893,0.22380167855292446,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.5906506657641196,0.20490012117417572,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.5510549744875681,0.19039991080108187,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.5744523183602761,0.22536381924029308,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.5868282709326775,0.23376241796054467,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.5000552693162755,0.2820877252144285,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.6307665912795152,0.18901207154470967,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.6406873695702116,0.22456998049058238,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.6027797693838975,0.2398417699872279,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6434028677662907,0.2518572369203538,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.5864900627321454,0.3038162566935138,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.4947489597025034,0.2598671023108631,0.05,49.85,0.6708203932499369,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.5999245630311759,0.2525942509012385,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.6536604501597678,0.32835094698648704,0.1,49.7,1.3416407864998738,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.5381110663994279,0.2813688479940018,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.6265778683541982,0.30204026179411914,0.05,48.6,6.260990336999411,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.5936069954710104,0.257345565294878,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.6232743549162343,0.28498348405308943,0.05,49.2,3.5777087639996634,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7135662401715239,0.2422053660982171,0.1,48.55,5.083254241547488,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7325127401683466,0.20579017326283827,0.05,49.9,0.4472135954999579,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.6500832485627643,0.28145903952276397,0.0,47.85,5.668704483946556,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7545446928882197,0.2074168214076438,0.0,49.55,1.7910596686995397,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.7184515900954109,0.18066580286852452,0.0,49.15,2.6212692787233722,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7576475429433278,0.22133876340830846,0.15,44.55,10.54551538507446,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7432543588064658,0.21738208681127383,0.15,45.15,8.04117692354729,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7468247742077028,0.3854193312573747,0.25,56.45,34.74186765879251,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.591152048943752,0.4456762183594733,0.05,45.95,34.791824508518935,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7263110027386384,0.3733843632999573,0.05,55.9,30.430075150814375,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.505351197680957,0.46995393771081967,0.1,37.15,31.08439276685666,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.691343950998327,0.41109683246989975,0.15,43.65,29.247177101748687,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.5762203648006136,0.45386831109630876,0.2,45.4,33.81591030082858,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8613108700008986,0.12874911661966232,0.05,90.55,14.78076630731908,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8201662199863441,0.21776667280627376,0.0,90.65,14.320669640326475,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8481965768008222,0.1373162176720159,0.05,89.8,10.797660565335924,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.7925245178025079,0.23586886453027064,0.0,97.55,6.402918742343419,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8881046392893769,0.06934006913938809,0.05,94.8,11.501029702184336,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8115105975678446,0.19351790918868836,0.0,96.35,13.639242917714348,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8952758239357483,0.07878186342471719,0.1,95.3,14.473569377534893,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.892341393509849,0.21461320967836053,0.3,87.65,19.540174539973577,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.898840695226163,0.060483360959076436,0.05,97.1,12.96919426949878,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8192825149126366,0.2185495962819728,0.05,98.05,6.1769946703793375,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8536154336124986,0.1348157384748967,0.15,95.4,10.530157193808448,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8396592151414046,0.1523320194700025,0.0,99,4.242640687119285,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7712337180214515,0.16163801391430693,0.05,99.85,0.6708203932499369,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7045623533683621,0.15220357879071633,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7264444899232454,0.2002964016004808,0.05,99.3,3.1304951684997055,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7055091559215227,0.14143456289077508,0.05,96.5,15.652475842498529,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.7434789101089974,0.15222396325111284,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.7248004944020422,0.22508545740033353,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8182069037747643,0.1442661585817802,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8119251118956191,0.1620499922334083,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8513333616307788,0.11139184336502943,0.05,97.45,11.403946685248927,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7368061997905329,0.27013212762934513,0.05,96.65,14.98165544924859,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7697946377935053,0.15891277510925964,0.05,96,17.88854381999832,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8380288656372076,0.12648655075619888,0.05,98.05,8.72066511224918,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8774683149998672,0.12809790633965976,0.2,90.9,18.811810400020402,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7476689180232607,0.2647671439715283,0.1,90.35,21.84219720969867,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8280625335981606,0.12242099046084387,0.0,97.35,6.884574672487228,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.7722045881462533,0.2424209071672325,0.05,95.4,10.81616723632778,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.871070910386329,0.15367078185596728,0.15,89.4,23.7960633630638,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8051578628960284,0.20167097225432087,0.05,94.5,12.475238632882675,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8621125440943946,0.2185190291381752,0.3,72.45,27.92937521678564,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8559099791532654,0.23947223647075316,0.25,71.8,25.628109567426154,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7751296899316182,0.28364171652115616,0.1,70.2,26.694371573127743,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8112460984113492,0.19099797573464913,0.1,68.35,25.28422641219537,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7778121885604579,0.22822013115417475,0.1,74.25,21.329186822903395,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7316951630281189,0.24320059589810092,0.1,74.2,25.93433002188818,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.5010879990128548,0.4655970909609683,0.05,40.25,37.76920912455987,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.647850501921811,0.43649951301011847,0.15,45.75,31.737202145116697,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7090040660773674,0.4219015066385188,0.3,51.25,32.5816787393419,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7903182232842186,0.34344467827969805,0.25,49.5,25.025250406234438,method=Powell; iterations=1000000; temperature=0.5
