convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.6519824712044348,0.29682716952246624,0.0,22.25,6.71898331908223,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.6848758698516351,0.308884370366178,0.0,22.25,6.71898331908223,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.5734327271792559,0.3892737736233357,0.0,19.35,8.863140705071467,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7227953669622941,0.2518841829061839,0.0,23.05,6.00416522091123,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.637679574915852,0.3338028906144027,0.0,21.15,7.902531240052139,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.6583693534332058,0.28899679255851896,0.0,22.15,6.968160672508545,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.5665621688394132,0.2728650524692391,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.3706412305331996,0.32356551717240767,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.47357638987497397,0.29857780232836173,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.3305606367302434,0.3374161272486426,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.3351561713198716,0.3051955936900884,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.5422516553367258,0.33640446505973304,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.6688545159652834,0.23466723935230646,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.6193265471624979,0.2543517040504219,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.5456722291031112,0.32410960274975187,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.5792518211165646,0.24418815242519357,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.5468020030178586,0.25955614703641583,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.5673797271960801,0.26609587071578045,0.05,24.9,0.4472135954999579,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.5108145493436234,0.27658616194476265,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.3420501856935548,0.3163711632603534,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.3949177050548858,0.29643922336734174,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.4461940651341617,0.319840566984855,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.336076950609767,0.2979775952803181,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.34201714897460145,0.34845583670623914,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.515300032161705,0.2772579178798783,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.380292711806037,0.29295400311697034,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.5193125447290042,0.2900098565150103,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.411420431418382,0.3327631042120349,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.38662458719160564,0.3479813631266469,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.5586682527972159,0.27825739620924456,0.05,24.75,1.118033988749895,method=SLSQP; iterations=1000000; temperature=2.0
