convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.5649736789800163,0.40021707640863413,0.15,18.45,8.72066511224918,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7842526674450682,0.25343335052026744,0.05,23.75,4.387482193696061,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7291273742404093,0.3450899099601689,0.2,21,7.033753209384469,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.6949845376037616,0.373065647353878,0.15,20.2,7.763612832343349,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.6073207474026037,0.42676602946566916,0.15,18.6,8.635300866364274,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7178221947749652,0.3450084469140175,0.1,21.6,6.946411417339702,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.3940028213677662,0.3113545008631155,0.05,24.45,2.4596747752497685,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.5889495186014269,0.28527219958491173,0.1,24.85,0.6708203932499369,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.46909473611499275,0.23951425421064526,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.4604570413726771,0.2851253107984049,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.3436637812820651,0.2959919712293386,0.05,24.95,0.22360679774997896,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.3034849143434173,0.29765094117356417,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.5871911305879458,0.24799231406162014,0.05,24.45,2.4596747752497685,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.6062199677026857,0.22480373032688827,0.1,24.7,0.9233805168766387,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.6538881025063805,0.1681037204340688,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.5813197546891091,0.19675049264163846,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.5758690649678317,0.2612402858840607,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.6470696854746304,0.1886577474600428,0.1,24.3,2.154554539378824,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.4148667805656622,0.2971042407225662,0.05,24.55,2.0124611797498106,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.42595236544093157,0.2808434599277859,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.4455894569072462,0.30942139936076407,0.1,24.7,0.9787209698591858,method=L-BFGS-B; iterations=1000000; temperature=0.25
