pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7800756850012651,0.0,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7800756850012651,0.0,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7800756850012651,0.0,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7799012015646933,0.0007803136502447028,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7799012015646933,0.0007803136502447028,0.0,25,0.0,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7799012015646933,0.0007803136502447028,0.0,25,0.0,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8455885540411028,0.06403879771558996,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8305037338400265,0.04990232564268371,0.0,24.9,0.4472135954999579,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8522835416699122,0.06912331794471559,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8373403146132771,0.05907611640148056,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8720750830211753,0.07685910973182378,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8385232471812569,0.057172979802974117,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8486802691147247,0.07372787447695893,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8608805644450616,0.06335825431564339,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8493579542945844,0.07457347499681326,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8627317278896309,0.0818362483152067,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8529973365278715,0.07715504812425097,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8536945180285777,0.0698606477129111,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=2.0
