pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7538809906272901,0.017857349915481015,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7602122440229889,0.021371731020808644,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7635246344960216,0.044745934276817494,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7517053416626716,0.015940873293106676,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7656118650016294,0.04490893515344634,0.0,25,0.0,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7535833885269071,0.018019729554392405,0.0,25,0.0,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.7821503834115378,0.03393092257542823,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.7966775015854092,0.06506175640972739,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.7884915168259459,0.045543808731591556,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.7996754885510517,0.07395489324499968,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8072269917827832,0.08382727046088012,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8070825108071935,0.07679801111932966,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.7975557740788163,0.07617704553563343,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8247898715827412,0.08985697186856287,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8792389966322524,0.08370701679118228,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8448653442098093,0.07651920578598793,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.843984335243672,0.08303027742519789,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8277212996778083,0.08150696938004326,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8155324858172254,0.07391930482475405,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8316316223455962,0.07620719442000733,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8142167082567816,0.0727768144132084,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8092879855859998,0.07456450085877106,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.7948998917769143,0.06397377795405432,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8464318503344633,0.07733816103699105,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8029592446967584,0.07418876950184401,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.7930465174937447,0.07894636006789355,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.7839458296718167,0.060682837044950165,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7997752182824991,0.056766136553657004,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8144229473460184,0.06667849168162511,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7667371726109664,0.04425376206405994,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7990832400148765,0.06145717147679452,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7934910202698799,0.06453475613024366,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.7885316647499018,0.07684137446145198,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.832837085351151,0.08619047062627887,0.0,25,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7944753380445004,0.05549449362952105,0.0,25,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7645029147571829,0.05376153937820801,0.0,25,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8719973788297963,0.08038032611697349,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8800911378941324,0.07861898816224905,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8870850652352342,0.08766286048655036,0.1,23.85,4.295346318982906,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8395129147304722,0.0874268368478364,0.05,24,3.8251246969698154,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8637226192621432,0.07979654096927996,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8677888090667625,0.08622601892081372,0.0,25,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.8166053204304788,0.10754794616753473,0.0,42.9,5.702261785790284,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7816007688496335,0.08331713786279418,0.0,40.35,5.333854141237834,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7568465786290977,0.0521817045711121,0.0,38.65,3.6022653691078457,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8479185701174129,0.11663795550447276,0.0,43.4,6.44327474764845,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7823585953142799,0.08510731635062108,0.0,39.8,5.454114815536306,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,40.05,5.452908446537113,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8131120050353735,0.06769007147918059,0.0,49.25,3.3541019662496847,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8589860319673474,0.0862417795790142,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9083468646670927,0.082797146706722,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8689713030369315,0.08693257597450278,0.0,49.85,0.6708203932499369,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8593848513089934,0.09074431048282652,0.0,49.5,2.23606797749979,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8636095123664774,0.08401238546970591,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8981736455751756,0.07649065281812126,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8960599211783061,0.0705255561853349,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8821858241571138,0.08613280166942394,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9238524942459998,0.07084124298339234,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.882836691328541,0.08118406693490088,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8695057976773275,0.07987459447488093,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8513886616378972,0.06250287812800148,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8669187928245565,0.07071082065655432,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8503924729916231,0.07576718039420414,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8822623022602314,0.06817003233256311,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8995889065644146,0.049850520732462295,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
