pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9729782090281591,0.03369544216853078,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.972265812327825,0.03467650615270221,0.0,24.8,0.8944271909999159,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9710241278533633,0.03421689942051223,0.0,25,0.0,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9737332848824016,0.024920205580399035,0.0,24.2,2.46234804500437,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9597492317649676,0.041069405248602746,0.0,24.5,1.538967528127731,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.964021316085377,0.03843707201925122,0.0,24.6,1.7888543819998317,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9792568118244268,0.014597368388782164,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9765009336689309,0.017985205947017538,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9723065689574832,0.01950244924428196,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9791879086336355,0.009171796673987551,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9709765068509151,0.018068505929872018,0.0,25,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9801831706993271,0.010693098214650577,0.05,24.85,0.6708203932499369,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9397135927976534,0.03383201797835502,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9441474978062866,0.029623366553761785,0.05,24.65,1.5652475842498528,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9563088245673969,0.04143973693667806,0.1,23.95,3.691740425384896,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9418165306735701,0.03345559810468913,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9390817210252327,0.02572690589589609,0.0,25,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.934054200022384,0.04882192143693762,0.05,24.6,1.7888543819998317,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9461676455301625,0.05934814298928075,0.05,24.35,2.9068883707497264,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9667824968156034,0.041548890350669866,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9522530527358544,0.03897207700444346,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9565736103029839,0.040567854816383135,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9606084310189155,0.04860328103141275,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9558840789845903,0.035324471616085026,0.0,25,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9607100654943037,0.025671899007967514,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9548143003315156,0.029597093022593647,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9619773291863507,0.029302514443024008,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.967323004403758,0.023325975110248972,0.0,25,0.0,method=SLSQP; iterations=1000000; temperature=0.5
