GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.35967137301810626,0.293196090353061,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.4772357139284258,0.3888521149968956,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.4724105474712242,0.2565048267714714,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.2628093372959273,0.31081136080417693,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.4474160773151099,0.3158401591107909,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.43613087609761325,0.32365904096570036,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.42204422850530493,0.30749239065062955,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.3371035263472152,0.3343855151337399,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.37995331741814287,0.3068502361069831,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.494930107520246,0.31021132345508395,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.42615013533435203,0.3153160940019962,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.46512705466805754,0.3308057504120914,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.340239575354064,0.2975825679476769,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.4202573632524623,0.37693592285379446,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5099503263973741,0.2625799242087446,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.35282399281187454,0.3749948145922041,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.2909570436193726,0.28836701240889845,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.3212427917902537,0.3911648700990184,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.374278845019207,0.30804278258552925,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.28080417659201123,0.3719126244948495,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.42932698440768735,0.36307951608904143,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.346462253526362,0.37083367286589747,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.4233019999131302,0.32375616978652716,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.26853590552629253,0.348682680223954,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.3572336234808814,0.2923322155371659,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.39391587595794286,0.35544964683210145,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.5406686256861946,0.3049468987654807,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.27592340878780586,0.3578902576937776,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.33026445377071634,0.33632114620875714,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.36051557842462895,0.3381789885418826,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.3882803824572049,0.27791668727828694,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.35546238458342194,0.3784297270580992,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.43437863763004,0.27975515008067053,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.3855134546847396,0.34741504183340266,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.4937045628208102,0.26025159043640733,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.583205748593753,0.27263989802491423,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.2965664457232744,0.29610187238441504,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.36423018125874695,0.33223709021913966,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.3410043317326871,0.31302477064889095,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.2599940192489283,0.3092993660212599,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.4355017239862412,0.3160032485055006,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.22481979987278408,0.3135956451494647,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.3300740381329173,0.3431290103807667,0.0,25,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.2770288778598245,0.33012576900481155,0.0,25,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.5020150057889414,0.30594704257546207,0.0,25,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.28769447902038514,0.36116361142686243,0.0,25,0.0,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.3572312329962192,0.3071921624951658,0.0,25,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.4193961162618693,0.3719186007379862,0.0,25,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.444360124311381,0.3247791919790985,0.0,25,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.4053961149456426,0.3351433300045456,0.0,25,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.4435971522580765,0.31352588085244093,0.0,25,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.3775983855989042,0.381255089828419,0.0,25,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.5546664803736167,0.26895238361519186,0.0,25,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.3845951493175653,0.392294609527686,0.0,25,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.4361201965205762,0.30904768058317245,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.48742711416322726,0.3066838730518863,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.4280887118227088,0.3142487885584395,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.41481328543007107,0.3143084709625255,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.41126897761181136,0.30144317656152014,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.566564265200663,0.23347603062046846,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.4045050836910873,0.2544407843828961,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.31642488169175287,0.34941881441284417,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.5096778288853503,0.30045755837571714,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.40580459452849543,0.36871407645057236,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.3148700519961999,0.2995993705291513,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.43434688370144386,0.350164659644043,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.3104740616994087,0.3056440791817261,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.3706558474761554,0.30525707121705087,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.4615829276655121,0.30852134492284544,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.34700677442494327,0.3641094509634907,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.3474224640222118,0.2995727297248217,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.3371446000081709,0.34285909221387917,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.3024796201143965,0.33633593461781597,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.3632252529464,0.32778840201449916,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.4812616689748729,0.3122974686759034,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.29834223287085543,0.2741869447052996,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.3179610596159105,0.29567882055301004,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.3211906517364919,0.33006425368806314,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.4851399355106242,0.28454852314945583,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.33822118815616414,0.3319272337286745,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.3252113450190886,0.3484861314876152,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.4521182289292893,0.35507318124970694,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.42012864355622226,0.3518242993721709,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.4418699550378552,0.3378796331592091,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.4479291949884241,0.30587781870895253,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.39688525978431116,0.35009810299026123,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.4237079693902514,0.287778217303516,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.556166007412202,0.287119115691006,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.47300971503622047,0.31250270653650053,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.49966684560997915,0.31374125360301797,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.36026387092299755,0.3017996163344202,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.3469584348338145,0.38498177499459774,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.39526174572517375,0.33271244035462005,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.4584300432943047,0.3351320723762918,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.5170482431824587,0.28506281129626493,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.5315460912098858,0.29734729905064206,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.46211525141118415,0.26516300603862075,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.443517968491053,0.298750128383865,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.6819398296157492,0.26317694171866124,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.6103399679284535,0.3451298206063654,0.05,49.75,1.118033988749895,walksize=0.02; no_improve=5; nbour=adjacent
