GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.47181170559362906,0.3198435408163279,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.3615007739927864,0.3698743258862759,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.5523800454998821,0.3475390038795185,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.5180547362263914,0.3562590622008291,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.30401408455591994,0.2912314489500825,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.5578038536106238,0.32423866033488474,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.4957060850007024,0.3205186789464315,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.42405530788655893,0.336967085612308,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.48367491024988535,0.38211479776278995,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.4783642139822439,0.32909262586659044,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.45304891836142674,0.37633235952652744,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.4340240431703789,0.3737277846771103,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.4319978289770156,0.32679847819728314,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.4570515381337801,0.356469740789659,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.424224171442626,0.35194170427739796,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.3361304434350428,0.3765030341197884,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.521997704818211,0.37123648969797324,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
