GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.5249169953059566,0.2588522810199203,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.502305190341681,0.32680798958989793,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.41034160553151794,0.26914871807040375,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.5181749259748414,0.327615344939869,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.35070282372753037,0.25102121229395524,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.3328652273355605,0.30764833508626604,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.44606527547884045,0.2904554275367142,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.35486888453367726,0.2840255156104715,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.4424327450617017,0.29819883383213447,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.3957817329941021,0.33860421795400375,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.37446309264362376,0.30552473365870225,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.5868518177015359,0.23011500971795576,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.4397094649447152,0.27582072454971523,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.5238895198510021,0.23080847466793006,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.4683919851061185,0.25845199578691824,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.3480277861436561,0.32630797833177194,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.4209263701544041,0.2814266419033848,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.3089161318321181,0.34399363684114187,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.4458663757800087,0.2453030703580651,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.23667753619020215,0.34046250667294964,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.4839415333632364,0.2760543201259067,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.4420484219503588,0.3456152168809644,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.3257095150407597,0.3553351821327847,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.3083009618445287,0.3446883494696337,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.39029666820912573,0.30824521389333853,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.32114526688648537,0.33709139512713204,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.40262402635650946,0.3023804723039491,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.28409102268011277,0.385560958105069,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.4032507182322103,0.2960082707100922,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.1645063447528552,0.2738223976641543,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.32304034012320587,0.3515311146136196,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.3265089889053273,0.36352196850477886,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.37508226848943865,0.2716038959990736,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.4169496293553588,0.37636408167435026,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.4208285796383211,0.29458170669347844,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.39919811293565755,0.3091621220790953,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.3681371220306458,0.3392164326073366,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.48525742415548384,0.3682632640462933,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.3278383116403561,0.26243236974836376,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.407862819115772,0.3668711868149979,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.4421220797222578,0.3140304117779851,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.2707982219971028,0.3516151738185561,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.5239497104417542,0.30713024956000406,0.0,25,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.44265458862814455,0.31205116447639736,0.0,25,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.4133714251921593,0.29576057381898474,0.0,25,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.21167857118859315,0.27059915388785216,0.0,25,0.0,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.42240325031805254,0.28478574293143594,0.0,25,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.5144249784776572,0.27074605205785673,0.0,25,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.4345894288982758,0.3266553998159531,0.0,25,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.3703840448235152,0.3197406624742488,0.0,25,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.36231904990393343,0.33010517012094304,0.0,25,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.28042594510456303,0.3351037565703424,0.0,25,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.43804296210159926,0.2826937238228864,0.0,25,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.393623948996816,0.35670734453538383,0.0,25,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.37002006008374005,0.2638546735855697,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.38199869985659546,0.3248229975119519,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.44837391906674756,0.3007019723952324,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.5427982050777461,0.3020609846684334,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.26326288876404946,0.29809581464848667,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.3656784955686995,0.37447917778923506,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.35230304153202313,0.31685331358137697,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.3993690297251701,0.3190722311325679,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.4697314017538727,0.29575819626909405,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.3872460123100626,0.3063905465139251,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.42336012382368715,0.3125878409849435,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.33166939229435916,0.33914389126477645,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.36120787990107495,0.30370895301997075,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.2526229263080503,0.2741691123162343,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.44331805750676956,0.25503251859970205,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.4226616453721983,0.3461653367412165,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.4047066174189291,0.3363733378979368,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.4778733139105012,0.2939134474670003,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.47714968077733216,0.2863884216250752,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.41468065897843825,0.32477297398584765,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.38962536562301425,0.27884847363585824,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.2283320990525484,0.28069954516109524,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.473189588362512,0.29771551666971235,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.42667533479916575,0.35344489350051406,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.43558476601345475,0.30214384589857957,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.275471115894911,0.3113283846998227,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.50858812092556,0.23078214363116634,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.4530083658579075,0.35003565324613617,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.41089180986043866,0.317288882599396,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.48614403542091184,0.326399415517231,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.27852061197828,0.2620922691698172,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
