convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.5859663574114423,0.1934834372131874,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.5079352132507262,0.3403795056036527,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.4727678696771928,0.2662078445303103,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.4355157172368707,0.28856145130900523,0.05,24.95,0.22360679774997896,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.502781380716005,0.2897051045316188,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.5375801237182659,0.29029799433651793,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.5229456737155369,0.2448712818604037,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.5676152345257405,0.28678593488506776,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.5392806700758471,0.22478686256676128,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.5623568260596745,0.2842295952949744,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.5856542241172231,0.18843879017119752,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.5233797947625268,0.29997568158379223,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.6027252785009917,0.19883025411235727,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.49801686845801346,0.33401339739874997,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5387653963911679,0.2100533946773869,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.4345746685729934,0.33444142812781985,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.5399856444332193,0.2022869136088996,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.32127187890655856,0.32064449197537115,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.441327108324112,0.24685532332234997,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.47012082189915766,0.30248644320748724,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.418531376955548,0.29467628326532636,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
