convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.6779275453552381,0.22803707931385173,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.5413638769230187,0.3563063620939834,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.5863538458892923,0.2032572292280646,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.5886455557584847,0.3634685128540287,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.5709411016321266,0.23932310072850924,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.5902662248149956,0.3101699184059807,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.6369766452806556,0.21626328181307186,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.6459115748998492,0.3543169131745836,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.6649143923888351,0.14795655791331658,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.7411985805218526,0.14849635422740856,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.6106805135438913,0.28822124343767913,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.7294265713260186,0.250863569639703,0.05,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.5832491047590297,0.18051918429845543,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.6571126642406034,0.2755198793276432,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.6291224205809942,0.24804803901267,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.48091506453103083,0.38705798571870564,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.6263106751573012,0.28709994336807704,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.38586204582578787,0.3818319188178261,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.5999741864297853,0.29141391466941274,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.48619918774104537,0.3936170388502818,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.6406489455292877,0.23532296198422215,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.3599409686621355,0.37931355382372783,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.5973051879542658,0.2457814129401557,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.4591621073210252,0.3633555556634002,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6737967418144085,0.17013943726127365,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.3848062927591377,0.39238540062905747,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.6913000189348314,0.11878135338524815,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.4016878727649771,0.3983741127884196,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.5714009798071301,0.2712996257625122,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.6043950843356306,0.31652773131487066,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.577972130950408,0.2432239449077773,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.5000913267859323,0.3833432063964679,0.1,24.85,0.6708203932499369,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.4829774283509216,0.32625168693320117,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
