convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.4547638868330901,0.2808946100669411,0.05,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.5595990965555241,0.2971954034927304,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.42526464225288674,0.24236823183966819,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.514169857211492,0.2525348538996506,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.4512694495299884,0.2935905216661639,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.4405054299199837,0.19850083514533495,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.4606375273312411,0.22914583696975194,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.4446865756748662,0.23428144030880105,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.4727899778993695,0.24118134795626273,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.3971114410907752,0.30902551691139085,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.49345515891708136,0.19402912675975986,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.4009022190721208,0.29971929396880725,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.4771022096535282,0.26388358030588993,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.3826288109579335,0.34876643837430216,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.4453357770874119,0.22099606947824774,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.3930923772856997,0.28458668243551855,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.5799681471727951,0.2444163910107332,0.05,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.38439848845527474,0.2795505744166165,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.5121495184513387,0.2704618629846296,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.46694295732803487,0.3256461364619315,0.05,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.39629797969848024,0.284237527725022,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.43254290504709014,0.3986879926151628,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.46279563326152434,0.25418489791813104,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.46299817178557234,0.3576171621302039,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.4655387481625764,0.2723284132541587,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.3268261380878928,0.3237354724385235,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.5545731613068929,0.2193471729853976,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.34122140197647466,0.325908032024686,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.49604998514371557,0.2538122050631737,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.4408126772042102,0.28058109037451506,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.48112473168493836,0.24704495969248827,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.5162565094291067,0.26632419257343015,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.5088041752637417,0.27157431594503884,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.4545331393072072,0.3398620007001121,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.5076767312846086,0.24354715727965232,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.3919977283964946,0.31621567323832406,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.5104612865186773,0.15285541817434292,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.5222507011725306,0.3163822228746321,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.5446245104513117,0.26822381003926427,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.3146523977144599,0.29245775111620126,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=adjacent
