pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.6363821515504121,0.1851616816554973,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8489237554427396,0.07124505395763572,0.05,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.6142003497964563,0.22152831979111812,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.8487748551787243,0.07838092599749175,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.5620067464863794,0.17480513263739125,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.8202973653730057,0.09050843159796547,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.5421266483418576,0.1462236827715032,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.8494646376005521,0.08046650146751119,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.6814645878524169,0.1546047329824006,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.8105440232843599,0.07016403843179435,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.5937481773434449,0.1628525665941742,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.8505556810688875,0.08856221791490884,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.5386972519886881,0.17792419941262136,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.8599025309449169,0.08528726855405028,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5797932574626404,0.1308661654185347,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.8461226583473478,0.07463656412998948,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.6048873759847909,0.1461173989809868,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.8505397061866309,0.08394130215669321,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.6344797018329047,0.15699548393026555,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.8375475677420908,0.0733343422048748,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.6630426649458635,0.1588942817981402,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.8736393401548819,0.07995581455991388,0.05,24.7,1.3416407864998738,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.5547310977546807,0.13717633486747163,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.827600386762202,0.07480505389576252,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.5972822635754841,0.18874499110598622,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.8332234037015797,0.06427026844072489,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.6303982328815364,0.1702447163297265,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.8567592258002167,0.07145421660594918,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.6780112118852843,0.11926414708761543,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.8814595773114796,0.07829658698065745,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.588299579418845,0.17609711234243022,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.8190028601672428,0.07234331258858848,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.6145834089117672,0.1439698506235022,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.808517970116757,0.06151335230471742,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.5844734088951379,0.14253548176237915,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.8247355645103829,0.07137341699937748,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.5754308856737048,0.15769657998418743,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.838349206010127,0.07265053724024872,0.0,25,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.6177033749381348,0.16232475571834704,0.0,25,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.8460522878450142,0.08054612139977109,0.05,25,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.6290081953962794,0.1677746299597091,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.8504562825380724,0.08332704237927864,0.0,25,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.6302109912213784,0.11344758052516399,0.0,25,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.8355111724111579,0.06945777941098612,0.05,24.75,1.118033988749895,walksize=0.2; no_improve=5; nbour=adjacent
