pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7668966952864003,0.1238042555315822,0.02,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8561978314568032,0.08921885011995781,0.06,49.68,1.8783405615878401,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.7528947099590316,0.13404984576216802,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.8317653917728054,0.08382664074913079,0.04,49.18,4.488943332778657,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.7273668000533474,0.13104180902332063,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.8583997857239121,0.07725412104729494,0.02,49.96,0.282842712474619,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.762043975747246,0.11100202071093047,0.02,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.8413226319545353,0.09312823398076858,0.08,48.98,4.537777933243161,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.7632566093872105,0.12135871357499639,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.8451178010399683,0.08029488561790625,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.7658227598647611,0.1272621893761969,0.02,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.8432233118874958,0.08403453483794507,0.02,49.72,1.9798989873223332,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.7738422479836156,0.12136189773184618,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.8383387910595222,0.07719547048278128,0.04,49.5,3.5355339059327378,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.7843786498209009,0.1232296522523658,0.04,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.8469336779790594,0.08030113599576146,0.02,49.74,1.8384776310850237,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7685212856255893,0.11436073779699776,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.8690410323047626,0.08621735553222926,0.04,49.62,2.6870057685088806,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.7606866069157967,0.12062293234118539,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.8614756032706516,0.07821977318452279,0.02,49.78,1.5556349186104046,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.7890405192312231,0.10887756570115473,0.02,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.8350066970516018,0.08038374880742616,0.04,49.84,0.7917946548886295,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.7545180304402197,0.11252911981595422,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.8626717816959486,0.08396585117815306,0.06,49.22,4.2247569668054785,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.7434219760331191,0.11813660871200973,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.8432543657250593,0.08082175202763664,0.04,49.42,2.8862092927632004,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.751993285195844,0.11375874949970513,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.8352380915238972,0.08404614983238347,0.04,49.5,3.5355339059327378,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.7403342613220077,0.12619930694675763,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.8425110362700741,0.07294502750355342,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.7800585270765105,0.12268939311828417,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.8516461436454613,0.07230526593871672,0.02,49.96,0.282842712474619,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.7330013386411796,0.09394745551408146,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.8419848817299175,0.07654047419988352,0.02,49.88,0.8485281374238571,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.7474075688367356,0.12529630276416945,0.02,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.8564031247633275,0.07605236412889717,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.7317731457186353,0.1217875495821873,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.8348065831986745,0.07679498827937321,0.02,49.9,0.7071067811865476,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.7468038779625417,0.1408396612348921,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.839598270411145,0.08259516373513348,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.7960853546357113,0.10681567713321263,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.8433094135355911,0.07931821931191023,0.02,49.4,4.242640687119285,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.7447958899365555,0.10774240739260955,0.02,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.824855564856296,0.07614263545550953,0.02,49.52,3.3941125496954285,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.7430465798030294,0.1278160730157035,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.8479230232022289,0.08197645094910096,0.02,49.64,2.545584412271571,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.7419185419477625,0.10660056387356885,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
