pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7313077674856842,0.20637801710055856,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.9231208319740426,0.05110706200908551,0.0,25,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.6785848396631686,0.24310626240518532,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.9247253197249385,0.06742597392388894,0.0,25,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.766942613349096,0.14089416342338731,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.9175681486703027,0.06466852169514484,0.0,25,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.7202063949699041,0.21447406076486614,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.9313415866675919,0.0651871755955207,0.0,25,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.7243297834567187,0.1932585123732269,0.0,25,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.9550526020315311,0.04514056641718541,0.05,25,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.6856336946492058,0.25083048865090807,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.9263159298311622,0.057954484203110765,0.0,25,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.7690212547564501,0.17300572172018974,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.9396334015935066,0.04777770933790083,0.0,25,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.7261837106563952,0.20349703535396005,0.0,25,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.9234600777902349,0.056737672720226486,0.05,24.9,0.4472135954999579,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7024989559890358,0.23162521936885871,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.9311661117658798,0.0754481279793692,0.0,25,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.7207259917629323,0.20982877978937678,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.9311431615871079,0.06297171849382097,0.0,25,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.6022896574723565,0.20845579309905768,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.9420253009048665,0.04810467175883044,0.0,25,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.6757263764432664,0.2105413734275144,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.9286745260783956,0.06070710836052533,0.0,25,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6345776290476292,0.21737406093137365,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.9515506673710215,0.042558049653682276,0.0,25,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.6971010826516604,0.2196762599052863,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.9256922612838909,0.07097655537612466,0.0,25,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.7402857750304827,0.1936397512913846,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.9349559329277386,0.07397854017623719,0.0,25,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.7716545220822951,0.1625086568948763,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.9332964521133281,0.05085160480013692,0.0,25,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.6601403435404637,0.21550829313891895,0.0,25,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.9465744395467344,0.05552605539379509,0.05,24.9,0.4472135954999579,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.7575059750890508,0.20326582488484476,0.0,25,0.0,walksize=0.1; no_improve=50; nbour=Hamming
