GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5429064403963756,0.2727321757994518,0.0,25,0.0,nbour=Hamming
BestMLS,0.41115058526044557,0.3645257149027717,0.0,25,0.0,nbour=adjacent
BestMLS,0.5869122160218383,0.28933152846265126,0.0,50,0.0,nbour=Hamming
BestMLS,0.7142200142440416,0.23986274716084455,0.0,50,0.0,nbour=adjacent
BestMLS,0.8741968549209748,0.10341444005943874,0.2,100,0.0,nbour=Hamming
BestMLS,0.9011344798499878,0.0692299405348218,0.05,100,0.0,nbour=adjacent
BestMLS,0.9539730288534989,0.05032570074829045,0.25,187.65,30.75758357492378,nbour=Hamming
BestMLS,0.9355467420713781,0.05518741122599093,0.2,184.85,39.7932485678029,nbour=adjacent
BestMLS,0.9922234127240698,0.024932265110288454,0.8,232.1,112.74699202429444,nbour=Hamming
BestMLS,0.9774588250025321,0.035449599202558774,0.4,333.3,99.70857535839131,nbour=adjacent
BestMLS,0.9930532806189598,0.010964077609285769,0.7,475.05,300.91535354647493,nbour=Hamming
BestMLS,0.9948529240991884,0.010759660364899502,0.8,476.8,227.23083556502394,nbour=adjacent
BestMLS,0.9977877384048967,0.006809197517176361,0.9,540.9,437.4921232373639,nbour=Hamming
BestMLS,0.9988938692024483,0.004946767310663303,0.95,529.05,419.64276474163114,nbour=adjacent
