GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5121126873614519,0.3642302797278664,0.0,25,0.0,nbour=Hamming
BestMLS,0.44177314700575127,0.3234965232576926,0.0,25,0.0,nbour=adjacent
BestMLS,0.7361474362808126,0.24345205175591078,0.0,50,0.0,nbour=Hamming
BestMLS,0.7698910106853348,0.2855518495303207,0.0,50,0.0,nbour=adjacent
BestMLS,0.9236875843407685,0.06038540725444408,0.0,100,0.0,nbour=Hamming
BestMLS,0.8893369636738294,0.13411177621868814,0.0,100,0.0,nbour=adjacent
BestMLS,0.9507628105694907,0.038772433544858875,0.1,199.5,1.538967528127731,nbour=Hamming
BestMLS,0.9652646286839506,0.033512551421454685,0.2,185.85,34.697603436124034,nbour=adjacent
BestMLS,0.96378582109644,0.028759121824527854,0.2,371.1,65.6929860871968,nbour=Hamming
BestMLS,0.9748196525713003,0.01610836618073124,0.25,355.05,94.60303489067523,nbour=adjacent
BestMLS,0.9921008522283156,0.013960817040149452,0.6,578.1,248.44757998418902,nbour=Hamming
BestMLS,0.9931193540044099,0.01208667737220691,0.65,543.35,269.852840013141,nbour=adjacent
BestMLS,0.9971219707600202,0.008350413872035016,0.65,1035,593.7794203237428,nbour=Hamming
BestMLS,1.0,0.0,1.0,542.05,334.07082057236715,nbour=adjacent
