GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.4507817742419294,0.26504166932246215,0.0,25,0.0,nbour=Hamming
BestMLS,0.4879512122937765,0.3089665203420228,0.0,25,0.0,nbour=adjacent
BestMLS,0.7034601799174622,0.11951289871123713,0.0,50,0.0,nbour=Hamming
BestMLS,0.6703276526635626,0.30812766121522195,0.0,50,0.0,nbour=adjacent
BestMLS,0.8514396082198749,0.08166571520074355,0.05,100,0.0,nbour=Hamming
BestMLS,0.8681337852389054,0.07567735752598248,0.1,98.35,6.706438383335351,nbour=adjacent
BestMLS,0.9275225357323174,0.05355996546828193,0.15,194.5,17.126464593537225,nbour=Hamming
BestMLS,0.9162105895199356,0.0810711675386349,0.2,185.9,33.54321642927304,nbour=adjacent
BestMLS,0.9674563884630301,0.04733170148689913,0.4,301.75,133.20813749443704,nbour=Hamming
BestMLS,0.9662888289741445,0.049100002473631714,0.55,288.9,118.87893000864366,nbour=adjacent
BestMLS,0.990784826721031,0.02048823433572714,0.7,573.7,235.48541132598515,nbour=Hamming
BestMLS,0.9842448601054776,0.03359611151080827,0.7,530.1,251.97094652903309,nbour=adjacent
BestMLS,0.9997571770003107,0.0010859374676112784,0.95,738.95,474.3310497288177,nbour=Hamming
BestMLS,0.9965559208671942,0.015402390121684264,0.95,488.2,395.35534982035966,nbour=adjacent
