convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5029707923714032,0.23166261439932612,0.0,25,0.0,nbour=Hamming
BestMLS,0.4413274810990371,0.269499865131976,0.0,25,0.0,nbour=adjacent
BestMLS,0.6177504121143722,0.20059929886635103,0.0,50,0.0,nbour=Hamming
BestMLS,0.639047200390799,0.29273794785536084,0.05,50,0.0,nbour=adjacent
BestMLS,0.8139194232996773,0.09814055832813319,0.05,100,0.0,nbour=Hamming
BestMLS,0.8411690218140416,0.10062313581431687,0.1,97.1,12.96919426949878,nbour=adjacent
BestMLS,0.9316463723504833,0.05972703775184423,0.35,189,22.353617392411362,nbour=Hamming
BestMLS,0.889769449703761,0.05777007318263382,0.1,189.1,36.33455655433268,nbour=adjacent
BestMLS,0.9426107646570494,0.050805273028871736,0.4,343,94.78507544078757,nbour=Hamming
BestMLS,0.9417070330928541,0.039701743382635574,0.3,355.5,78.735733879057,nbour=adjacent
BestMLS,0.9823256991299237,0.036350887838140195,0.8,529.35,199.30544530021197,nbour=Hamming
BestMLS,0.9488184757724245,0.03856410872397468,0.35,644.55,266.8791319167379,nbour=adjacent
BestMLS,0.9957368013318977,0.019065604046926577,0.95,498.75,347.1591285366349,nbour=Hamming
BestMLS,0.9713790833456528,0.040202886736488815,0.65,998.85,589.6284534839671,nbour=adjacent
