convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5592358519565537,0.26832417657438606,0.0,25,0.0,nbour=Hamming
BestMLS,0.6069953748004685,0.31619411922658847,0.0,25,0.0,nbour=adjacent
BestMLS,0.7008027469510888,0.28749362864744843,0.0,50,0.0,nbour=Hamming
BestMLS,0.6956823285249092,0.26260033967228147,0.0,50,0.0,nbour=adjacent
BestMLS,0.8945206348205557,0.06623522764126454,0.05,99.2,3.5777087639996634,nbour=Hamming
BestMLS,0.9037809143868923,0.06858303458861696,0.15,91.95,21.20693779229608,nbour=adjacent
BestMLS,0.9455223631312668,0.04116882370843805,0.25,187.35,34.12403844799147,nbour=Hamming
BestMLS,0.9576365549899337,0.05618386685956335,0.55,160.15,49.707857051290986,nbour=adjacent
BestMLS,0.958487968292811,0.03723007212365518,0.35,339.9,102.19635383340301,nbour=Hamming
BestMLS,0.9861414357709883,0.026348390239386878,0.65,273.3,110.9481149480527,nbour=adjacent
BestMLS,0.9909507532099492,0.02255433785408097,0.85,501.5,212.80618807781536,nbour=Hamming
BestMLS,0.9919329444431642,0.020554427110338256,0.8,451.75,272.658814175094,nbour=adjacent
BestMLS,1.0,0.0,1.0,497.95,333.35226744470526,nbour=Hamming
BestMLS,0.9992297322403323,0.003444742142987084,0.95,427.15,410.4920378739333,nbour=adjacent
