convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.49053007445206837,0.252159189999889,0.0,25,0.0,nbour=Hamming
BestMLS,0.3774011077780356,0.3157388501334166,0.0,25,0.0,nbour=adjacent
BestMLS,0.5862287528099178,0.21134842961150513,0.0,50,0.0,nbour=Hamming
BestMLS,0.6912550010283841,0.23827429228503402,0.05,49.45,2.4596747752497685,nbour=adjacent
BestMLS,0.8057191756373818,0.11423605285130652,0.0,100,0.0,nbour=Hamming
BestMLS,0.8632335514549232,0.06270474687235464,0.0,100,0.0,nbour=adjacent
BestMLS,0.9030816658853361,0.07373979536540756,0.15,184.3,40.92753544857956,nbour=Hamming
BestMLS,0.8709070924996599,0.0909165776343736,0.05,193.5,29.068883707497267,nbour=adjacent
BestMLS,0.9341948267617246,0.05589882197651816,0.1,368.75,96.18560730499952,nbour=Hamming
BestMLS,0.9363820139455713,0.051613740292827386,0.1,383.75,64.70001626941958,nbour=adjacent
BestMLS,0.975178862614755,0.033597318774391316,0.3,692.1,189.2739312547599,nbour=Hamming
BestMLS,0.9504983374387472,0.040115346842522215,0.05,772.7,122.08931157148852,nbour=adjacent
BestMLS,0.9827009097286828,0.025406905519452173,0.3,1346.95,469.54182314700205,nbour=Hamming
BestMLS,0.9754400308496934,0.02857551244937261,0.3,1349.8,438.92639354152357,nbour=adjacent
