pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5647453996865908,0.14992865881885728,0.0,25,0.0,nbour=Hamming
BestMLS,0.8484857766361954,0.07879221992772024,0.0,25,0.0,nbour=adjacent
BestMLS,0.7794362165512381,0.1104923337700314,0.0,50,0.0,nbour=Hamming
BestMLS,0.8713393643783853,0.07590483177572349,0.05,48.85,5.142956348249516,nbour=adjacent
BestMLS,0.9169514265534287,0.09279761523116796,0.15,100,0.0,nbour=Hamming
BestMLS,0.9113990044811785,0.05486550878827799,0.0,100,0.0,nbour=adjacent
BestMLS,0.9898077494105273,0.018646384948662782,0.75,177.85,29.805112595695814,nbour=Hamming
BestMLS,0.9661838598586696,0.04845586337310418,0.2,188.2,31.455231344680463,nbour=adjacent
BestMLS,1.0,0.0,1.0,196.45,59.106037629082586,nbour=Hamming
BestMLS,0.9782898614555675,0.017876079690684523,0.1,380.65,62.91537758642242,nbour=adjacent
BestMLS,1.0,0.0,1.0,210.9,68.0169483522886,nbour=Hamming
BestMLS,0.990510783841331,0.014230894200028262,0.3,671.45,222.8793572647248,nbour=adjacent
BestMLS,1.0,0.0,1.0,217.8,87.69660618770891,nbour=Hamming
BestMLS,0.9950309792066695,0.008370100897808153,0.45,1176.75,589.7399850781699,nbour=adjacent
