pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.5784925027049215,0.12134117731663821,0.0,25,0.0,nbour=Hamming
BestMLS,0.831173604295993,0.09615751240483608,0.05,25,0.0,nbour=adjacent
BestMLS,0.7366540782038137,0.13280050738706076,0.0,50,0.0,nbour=Hamming
BestMLS,0.8589126507957734,0.07656330400264146,0.0,50,0.0,nbour=adjacent
BestMLS,0.8789426417238144,0.11947651583706939,0.2,99.8,0.6155870112510924,nbour=Hamming
BestMLS,0.874506464276983,0.07527809893379224,0.1,94.75,16.19900906650904,nbour=adjacent
BestMLS,0.9798443208839399,0.02520190276397251,0.5,182.6,29.079564175406396,nbour=Hamming
BestMLS,0.9204332285669601,0.05973790137611098,0.05,191.85,36.44790803324657,nbour=adjacent
BestMLS,0.9986486312925787,0.004893268510479046,0.9,229.6,96.6972486409869,nbour=Hamming
BestMLS,0.9513812248569773,0.0526439395110426,0.2,372.95,79.87982750422827,nbour=adjacent
BestMLS,1.0,0.0,1.0,222.75,100.5322022250111,nbour=Hamming
BestMLS,0.9856851634834791,0.01684067754815626,0.3,660.05,250.36341480672493,nbour=adjacent
BestMLS,1.0,0.0,1.0,262.3,137.2550833110994,nbour=Hamming
BestMLS,0.9940428179688106,0.005164775191709853,0.3,1403.55,388.31857173961527,nbour=adjacent
