pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestMLS,0.7197467292823524,0.22046910689166382,0.05,25,0.0,nbour=Hamming
BestMLS,0.9431564471626326,0.044864013595817834,0.0,25,0.0,nbour=adjacent
BestMLS,0.9061678912709843,0.10177267842750794,0.0,50,0.0,nbour=Hamming
BestMLS,0.9483748688670415,0.04396012497591085,0.0,50,0.0,nbour=adjacent
BestMLS,0.9763497432281546,0.023063877018430993,0.05,100,0.0,nbour=Hamming
BestMLS,0.9792290323718962,0.01862361891018493,0.05,97.8,9.838699100999074,nbour=adjacent
BestMLS,0.9900751023352968,0.006683006694228154,0.15,199.05,3.804083678309265,nbour=Hamming
BestMLS,0.9889658239303982,0.010876188842155516,0.05,194.65,23.92592735924775,nbour=adjacent
BestMLS,0.9921061695437081,0.0058329934033274945,0.1,388.7,43.39791409006222,nbour=Hamming
BestMLS,0.993541266098302,0.007973521005269631,0.2,361.35,94.58734476384082,nbour=adjacent
BestMLS,0.9981229439365118,0.0034068211664614197,0.65,665.4,206.48165459481024,nbour=Hamming
BestMLS,0.9981480843420389,0.0024249803406440926,0.25,683.55,223.14651193660563,nbour=adjacent
BestMLS,0.9999845811697852,6.895510498802604e-05,0.95,958.7,439.1478710315911,nbour=Hamming
BestMLS,0.9996494419712048,0.0005682872134687288,0.55,1194.45,498.04728955349105,nbour=adjacent
