GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.3131028568295005,0.27478026397104655,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.4204989272788682,0.36904475229638545,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.436021503873314,0.3053428107848561,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.3517858287077281,0.3478731635307108,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.3686176873975773,0.33333264887352876,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.2974720166564773,0.3769535039015598,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.42317615436765915,0.29379331839957173,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.25183465103439295,0.36042320679495715,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.38626019851912885,0.29825488536899214,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.2391603175682756,0.34022456827443154,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.2999027860844022,0.35265507278096087,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.35038538267143443,0.4006773426299491,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.40247764238298656,0.38137234549176086,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.31425985909433934,0.4059605290730907,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.3970026737297116,0.34892607815439963,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.35054989310891277,0.34717066999221274,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.36113916737281093,0.3542089128608146,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.310089666846862,0.3746500576465165,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.6199920177484488,0.22727193832377088,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.2728938613442899,0.36931500364896147,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.45498190397172017,0.31841548479257065,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.5080908772985705,0.33025407839739257,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.44620991778148983,0.3438653156105184,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.5514473474995748,0.3815934512289886,0.05,48.8,5.366563145999495,tabu_size=4; nbour=adjacent
Tabu search,0.5584129971201172,0.3471851246466747,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.34201910750443604,0.3908803139019135,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6512651566130351,0.2765371413492363,0.05,49.6,1.7888543819998317,tabu_size=16; nbour=Hamming
Tabu search,0.6875519780999407,0.3659365738350006,0.05,49.85,0.6708203932499369,tabu_size=16; nbour=adjacent
Tabu search,0.5382200089105943,0.3715418592410598,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.34747372519857445,0.40278484553635024,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5931535152820876,0.36310109176991495,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.5113753318658505,0.38560302401195756,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.4573619370221798,0.39362630753195754,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.34454350698942965,0.39974671161141845,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.6024018085131783,0.3685037477183281,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.34813274750568435,0.4419855372431669,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.6187143192368326,0.30257760292653885,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.3876815119366596,0.44375536534066085,0.05,49.65,1.5652475842498528,tabu_size=400; nbour=adjacent
Tabu search,0.5366750779761204,0.34270053558151603,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.5470100504120239,0.36238682806588374,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.545959340391225,0.3451235704821508,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3372570346975551,0.3699881688306347,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.48547735341198783,0.34119130049105595,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.47260848041954706,0.4173125899522039,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.7932998472705087,0.2841230807225862,0.15,98.95,4.465953072089458,tabu_size=4; nbour=Hamming
Tabu search,0.5238377320897363,0.44370632354227196,0.05,95.55,7.067159036140708,tabu_size=4; nbour=adjacent
Tabu search,0.772031888295529,0.3186423408882553,0.05,98.05,8.72066511224918,tabu_size=8; nbour=Hamming
Tabu search,0.7397102477247477,0.333698553531051,0.05,99.3,3.1304951684997055,tabu_size=8; nbour=adjacent
Tabu search,0.7857103901970776,0.3262715396602853,0.0,100,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.7282423228389718,0.31214673222744993,0.15,98.45,3.953346350678252,tabu_size=16; nbour=adjacent
Tabu search,0.7001195716242227,0.36820312875247707,0.0,100,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.6209786415654656,0.38445514635517064,0.0,100,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.7399556777163145,0.3288008327226675,0.0,100,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.6557925274511207,0.3720442929068456,0.05,99.95,0.22360679774997896,tabu_size=64; nbour=adjacent
Tabu search,0.8301655595710526,0.2114384301979681,0.05,99.05,4.2485291572496005,tabu_size=100; nbour=Hamming
Tabu search,0.5995816599745716,0.4104020703919448,0.05,96.75,14.534441853748634,tabu_size=100; nbour=adjacent
Tabu search,0.7924952834040795,0.2839751627324373,0.05,98.05,8.72066511224918,tabu_size=200; nbour=Hamming
Tabu search,0.605172521415838,0.43208819089470385,0.15,94.85,14.280185020178356,tabu_size=200; nbour=adjacent
Tabu search,0.7910084333512254,0.23410369989209315,0.1,96.15,11.851160280748886,tabu_size=400; nbour=Hamming
Tabu search,0.5332199358356049,0.45319730621830556,0.05,97.85,9.615092303249096,tabu_size=400; nbour=adjacent
Tabu search,0.7590099847978643,0.2995898802714231,0.1,99.85,0.6708203932499369,tabu_size=700; nbour=Hamming
Tabu search,0.6029317373068136,0.4182045900280799,0.15,97.4,7.372780665179326,tabu_size=700; nbour=adjacent
Tabu search,0.8277697021053866,0.2120347671179024,0.0,100,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.5345257743926228,0.4577239306438324,0.15,98.4,7.155417527999327,tabu_size=1000; nbour=adjacent
Tabu search,0.8116993458471009,0.22869677555684045,0.15,98.7,4.921488863299291,tabu_size=2000; nbour=Hamming
Tabu search,0.5904940776262786,0.44978973026211916,0.15,96.85,8.857200460642177,tabu_size=2000; nbour=adjacent
Tabu search,0.8496576762736766,0.29876385828171037,0.4,189.55,18.810621299792587,tabu_size=4; nbour=Hamming
Tabu search,0.7099069268648714,0.42841044421309277,0.3,143.6,47.40575137214782,tabu_size=4; nbour=adjacent
Tabu search,0.9401727607765425,0.09105137481036184,0.35,190.65,20.220560146335682,tabu_size=8; nbour=Hamming
Tabu search,0.8168193930522912,0.357170416624038,0.45,162.45,55.50199142942151,tabu_size=8; nbour=adjacent
Tabu search,0.8622693314099623,0.29930964558618073,0.3,185.5,28.474365202480115,tabu_size=16; nbour=Hamming
Tabu search,0.8605356189624076,0.30022027673444657,0.3,176.5,44.752535946962944,tabu_size=16; nbour=adjacent
Tabu search,0.9214295867625543,0.12322146981478117,0.25,192.35,15.458858812650877,tabu_size=32; nbour=Hamming
Tabu search,0.7769441098378039,0.3702245378576099,0.35,178.7,41.480623250659555,tabu_size=32; nbour=adjacent
Tabu search,0.7555046067154966,0.3925128349156693,0.2,189.9,22.643460773244747,tabu_size=64; nbour=Hamming
Tabu search,0.6387162157755665,0.44262368163241955,0.2,183.3,38.54744172001424,tabu_size=64; nbour=adjacent
Tabu search,0.8672201482980566,0.30249870750949925,0.45,180.25,31.932288559255802,tabu_size=100; nbour=Hamming
