GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.5266391872708823,0.3870489413898825,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.36068973793019476,0.4062666311586675,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.6266233193227951,0.23827435110655631,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.333469689218906,0.39190471987272407,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.5074511240548317,0.3265347844861413,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.36783972729145925,0.3716808707646744,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.44161670013768817,0.3417764380866932,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.33028373093672697,0.3974217656001997,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5743730970742791,0.32284839115481534,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.35127151153614233,0.39342365325929946,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5483670556473134,0.27217086262008017,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.31337211417073896,0.40331544030872557,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.43312493880584896,0.3956644427629804,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.18512118891899534,0.33909755032115835,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.3985138451495633,0.32906374989661175,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.4697202220562049,0.37327449568338233,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.5282077801234871,0.3184344272921691,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.1678730758680526,0.3026117447792599,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.4920310620082826,0.31564055229822174,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.23851319758550713,0.35420146532882674,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.49866121787193907,0.30670185530678074,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.16874443118632068,0.25781622205361565,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.6517144990697261,0.3598407522513013,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.46585420343603984,0.4446163976454814,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.571509932310652,0.40509170568683983,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5189261233452197,0.44325156715774244,0.05,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.7027272310111201,0.369413787822809,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.4035171136301497,0.43217214918490954,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6142068935416337,0.3682058753408842,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.5768096273300246,0.4375505730924074,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.47284968479829564,0.44369476453884027,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.6829093783309168,0.4069025411581714,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5443155414159143,0.4159799538055595,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.5130222045388012,0.4408213993044587,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.7051405787499779,0.27164764073391484,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.4457385453685689,0.42907713082487203,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.61263133636496,0.37860126947704087,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.44886040047072745,0.4404633307985281,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.5082853085155786,0.4312915547742982,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.31042247810857926,0.43756003862979376,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.5851739667827847,0.40899037309898495,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3426991112019398,0.4135511903003394,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.6200536421516986,0.3818723538894015,0.05,49.6,1.7888543819998317,tabu_size=2000; nbour=Hamming
Tabu search,0.38560099851905577,0.4417952965330904,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.8208833145691682,0.21777389148881138,0.05,99.85,0.6708203932499369,tabu_size=4; nbour=Hamming
Tabu search,0.6659856707967493,0.44964983980130896,0.2,96.6,6.862560516462151,tabu_size=4; nbour=adjacent
Tabu search,0.7020189551645972,0.39040886269386776,0.0,100,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5838158128075719,0.4527588118892041,0.05,99.2,3.5777087639996634,tabu_size=8; nbour=adjacent
Tabu search,0.7398484195415446,0.3831562755988551,0.05,98.15,8.273451516749223,tabu_size=16; nbour=Hamming
Tabu search,0.718322230698025,0.42666254232603357,0.0,100,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.8411887654022528,0.290313929711286,0.1,99.75,0.7863975156570492,tabu_size=32; nbour=Hamming
Tabu search,0.6652364976968751,0.44807107122559686,0.05,99.6,1.7888543819998317,tabu_size=32; nbour=adjacent
Tabu search,0.8474936588465527,0.2093105031034257,0.0,100,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.5970988358264073,0.46224301917410404,0.1,99.8,0.8944271909999159,tabu_size=64; nbour=adjacent
Tabu search,0.7925420520999786,0.3000687189695677,0.05,96.15,17.217723426748382,tabu_size=100; nbour=Hamming
Tabu search,0.29900394882230524,0.4445917671407587,0.05,99.85,0.6708203932499369,tabu_size=100; nbour=adjacent
Tabu search,0.744438273328923,0.3642197699683739,0.05,99.9,0.4472135954999579,tabu_size=200; nbour=Hamming
Tabu search,0.7175741784272409,0.3921927544441018,0.1,97.4,9.719215909461877,tabu_size=200; nbour=adjacent
Tabu search,0.7963423460926606,0.27106164284289974,0.05,99.95,0.22360679774997896,tabu_size=400; nbour=Hamming
Tabu search,0.3747083152037484,0.4719009013256137,0.0,100,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.6706735681956162,0.4179354572512367,0.05,99.9,0.4472135954999579,tabu_size=700; nbour=Hamming
Tabu search,0.6175579246594434,0.4663959047961598,0.0,100,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.7470197310714897,0.35176966125413434,0.0,100,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.7644798269542485,0.39288487224162744,0.0,100,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.7855909268503372,0.34331705459658834,0.05,99.9,0.4472135954999579,tabu_size=2000; nbour=Hamming
Tabu search,0.7421111298846844,0.38435477729664147,0.05,98.85,5.142956348249516,tabu_size=2000; nbour=adjacent
Tabu search,0.7847473437522299,0.4030463500645373,0.35,166.85,32.73863804516968,tabu_size=4; nbour=Hamming
Tabu search,0.8335547728690237,0.3599100652323115,0.45,149.4,42.648378756129944,tabu_size=4; nbour=adjacent
Tabu search,0.8658750612205022,0.2986034391592427,0.3,184.6,31.62177797191776,tabu_size=8; nbour=Hamming
Tabu search,0.7215971653224126,0.4396837571959663,0.5,178.2,33.60231821576726,tabu_size=8; nbour=adjacent
Tabu search,0.8958647427328813,0.21475333035977437,0.15,197.9,6.146458115729827,tabu_size=16; nbour=Hamming
Tabu search,0.7703987145087431,0.39813158020744027,0.45,174.8,38.359243722307255,tabu_size=16; nbour=adjacent
Tabu search,0.8983534914445356,0.21574320286013052,0.1,196.3,14.36772699306917,tabu_size=32; nbour=Hamming
Tabu search,0.8126095529228747,0.35744540141768527,0.35,180.3,32.78012876889386,tabu_size=32; nbour=adjacent
Tabu search,0.9170899373605926,0.21792909022627202,0.25,193.15,14.586493391959708,tabu_size=64; nbour=Hamming
Tabu search,0.8619417286971727,0.29882128282673465,0.25,189.25,22.287298719461862,tabu_size=64; nbour=adjacent
Tabu search,0.9523732942753991,0.04485787492787498,0.15,192.25,21.178129235008857,tabu_size=100; nbour=Hamming
Tabu search,0.82721732740758,0.3600793132079015,0.35,173.5,40.623431143796026,tabu_size=100; nbour=adjacent
Tabu search,0.9127688865908433,0.21734593891001935,0.2,189.6,26.368641663117476,tabu_size=200; nbour=Hamming
Tabu search,0.8934836711487241,0.2762337095783095,0.5,175.35,45.99917047306969,tabu_size=200; nbour=adjacent
Tabu search,0.922405611042572,0.21997782565279503,0.3,189,21.669770357999205,tabu_size=400; nbour=Hamming
Tabu search,0.9273383129052398,0.22099844406530272,0.45,178.75,29.450895795508405,tabu_size=400; nbour=adjacent
Tabu search,0.8725760296144769,0.3000580320057523,0.2,188.8,29.389579248792465,tabu_size=700; nbour=Hamming
Tabu search,0.7831261911956113,0.402847911569984,0.45,181.25,25.827107342561817,tabu_size=700; nbour=adjacent
Tabu search,0.7214279447087513,0.4285618776753739,0.25,188.35,28.698569559071096,tabu_size=1000; nbour=Hamming
Tabu search,0.859988257017539,0.3023768093656073,0.45,168.35,41.75905196544375,tabu_size=1000; nbour=adjacent
Tabu search,0.9151707905262371,0.2201341604341148,0.3,175.2,45.556904843803515,tabu_size=2000; nbour=Hamming
Tabu search,0.7068621124422589,0.43066799748057755,0.35,185.95,29.130333259155716,tabu_size=2000; nbour=adjacent
Tabu search,0.9759684803127799,0.0354297240631664,0.55,213.3,74.04344386201501,tabu_size=4; nbour=Hamming
Tabu search,0.6301868085432669,0.47501616126175883,0.25,154.85,72.8908881750481,tabu_size=4; nbour=adjacent
Tabu search,0.9378243265128395,0.2220244372367737,0.65,267.95,83.34044004784485,tabu_size=8; nbour=Hamming
Tabu search,0.997973098540532,0.009064578894128188,0.95,213.9,86.26574608364795,tabu_size=8; nbour=adjacent
Tabu search,0.987478127345344,0.024291747448569954,0.7,280.05,104.35136747899782,tabu_size=16; nbour=Hamming
Tabu search,0.9997251910141461,0.001228983146394209,0.95,240.45,95.10353084374611,tabu_size=16; nbour=adjacent
Tabu search,0.9840595024398818,0.021881527574097736,0.55,302.55,104.07460633704328,tabu_size=32; nbour=Hamming
Tabu search,0.9405970211233389,0.22224939624167908,0.65,266.35,132.1614941135117,tabu_size=32; nbour=adjacent
Tabu search,0.8951692246751114,0.30650617013155546,0.75,246.95,117.16990587222158,tabu_size=64; nbour=Hamming
Tabu search,0.9901332025929904,0.015003095257714713,0.65,260.45,120.08526575992401,tabu_size=64; nbour=adjacent
Tabu search,0.981970425078592,0.034141885882440895,0.65,287.6,104.5372761519218,tabu_size=100; nbour=Hamming
Tabu search,0.9931290088967322,0.014022798909034058,0.75,258.4,105.26727886670197,tabu_size=100; nbour=adjacent
Tabu search,0.9898796713703087,0.021377969865145632,0.75,285,83.77224763419095,tabu_size=200; nbour=Hamming
Tabu search,0.94233600561283,0.2224062450549059,0.7,253.6,124.65210535093682,tabu_size=200; nbour=adjacent
Tabu search,0.9844278715846344,0.020100046576251068,0.6,307.5,114.48856527595832,tabu_size=400; nbour=Hamming
Tabu search,0.9883938014751013,0.019559513966813043,0.65,313.75,95.14580224166764,tabu_size=400; nbour=adjacent
Tabu search,0.9757154982952534,0.027082302851116128,0.45,331.65,82.82402079742707,tabu_size=700; nbour=Hamming
Tabu search,0.9425245283474754,0.22231258297344722,0.7,272.95,121.97561231656105,tabu_size=700; nbour=adjacent
Tabu search,0.9835176253866612,0.022773602629181648,0.6,308.2,90.35520548310836,tabu_size=1000; nbour=Hamming
Tabu search,0.992318310237742,0.014243727951264688,0.7,245.85,132.3886920755458,tabu_size=1000; nbour=adjacent
Tabu search,0.9822997840143356,0.02701624410715187,0.55,306.25,119.75232115100162,tabu_size=2000; nbour=Hamming
Tabu search,0.9883914032593533,0.020574557271288582,0.7,277.75,118.42024853528173,tabu_size=2000; nbour=adjacent
Tabu search,0.8737563869103242,0.3014068031999858,0.5,218.2,90.33248526824025,tabu_size=4; nbour=Hamming
Tabu search,0.639297470228884,0.4815278319417993,0.35,149.3,71.77457400559206,tabu_size=4; nbour=adjacent
Tabu search,0.9420198406588649,0.22237003799085184,0.75,275.75,117.95399415383146,tabu_size=8; nbour=Hamming
Tabu search,0.9914486929190532,0.015196071458316574,0.75,247.55,126.58031567265692,tabu_size=8; nbour=adjacent
Tabu search,0.98946362251701,0.015943797425060014,0.65,394.8,231.49823234518956,tabu_size=16; nbour=Hamming
Tabu search,0.9897384315028639,0.016082010393548913,0.7,332.2,198.14710112492315,tabu_size=16; nbour=adjacent
Tabu search,0.9431590431102626,0.22243373371319547,0.75,489.1,242.10674027009352,tabu_size=32; nbour=Hamming
Tabu search,1.0,0.0,1.0,237.3,162.9087894627252,tabu_size=32; nbour=adjacent
Tabu search,0.9965794771676213,0.010528147136500635,0.9,321.65,212.6420949067136,tabu_size=64; nbour=Hamming
Tabu search,1.0,0.0,1.0,256.05,200.9350444926498,tabu_size=64; nbour=adjacent
Tabu search,0.9916273903209967,0.014896580416295458,0.75,532.75,233.6684279283924,tabu_size=100; nbour=Hamming
Tabu search,1.0,0.0,1.0,254.25,117.6112575170287,tabu_size=100; nbour=adjacent
Tabu search,0.9950479131533754,0.012113079791191637,0.85,431.15,285.2960189365646,tabu_size=200; nbour=Hamming
Tabu search,1.0,0.0,1.0,263.7,164.8549921023098,tabu_size=200; nbour=adjacent
Tabu search,0.9931290088967322,0.014022798909034058,0.75,479.95,245.93719245282716,tabu_size=400; nbour=Hamming
Tabu search,0.95000008877502,0.22360640073602012,0.95,400.95,178.51093877731384,tabu_size=400; nbour=adjacent
Tabu search,0.9967581745695648,0.009994957502732747,0.9,381.8,251.25801375017716,tabu_size=700; nbour=Hamming
Tabu search,1.0,0.0,1.0,282.3,156.7650269805435,tabu_size=700; nbour=adjacent
Tabu search,0.9479850729344663,0.22326358750159633,0.8,466.95,253.4007591481172,tabu_size=1000; nbour=Hamming
Tabu search,0.95000008877502,0.22360640073602012,0.95,350.2,216.56835556373176,tabu_size=1000; nbour=adjacent
Tabu search,0.9980149295979568,0.007682500778918073,0.9,397.45,249.44770045674483,tabu_size=2000; nbour=Hamming
Tabu search,0.9984684359857541,0.006849362495492432,0.95,270.8,191.22942957830028,tabu_size=2000; nbour=adjacent
Tabu search,0.9288468653861561,0.22073475377317178,0.5,228.05,83.92131339597387,tabu_size=4; nbour=Hamming
Tabu search,0.58767335932878,0.4926401800383593,0.3,148.95,51.76309902867709,tabu_size=4; nbour=adjacent
Tabu search,0.9837794551162798,0.02442180550385319,0.65,311.7,120.43041231568675,tabu_size=8; nbour=Hamming
Tabu search,0.9982897385838106,0.0076485215717888985,0.95,241,148.42648366323166,tabu_size=8; nbour=adjacent
Tabu search,0.994869215751432,0.012531001543414607,0.85,339.9,176.10579953987587,tabu_size=16; nbour=Hamming
Tabu search,0.994869215751432,0.012531001543414607,0.85,261.9,174.6213648229551,tabu_size=16; nbour=adjacent
Tabu search,0.9914486929190532,0.015196071458316574,0.75,440.2,287.0333925191503,tabu_size=32; nbour=Hamming
Tabu search,1.0,0.0,1.0,352.3,245.35819143705626,tabu_size=32; nbour=adjacent
Tabu search,1.0,0.0,1.0,395.55,230.14056917229385,tabu_size=64; nbour=Hamming
Tabu search,0.95000008877502,0.22360640073602012,0.95,374.8,287.62175453920474,tabu_size=64; nbour=adjacent
Tabu search,1.0,0.0,1.0,560.25,358.4053681165181,tabu_size=100; nbour=Hamming
Tabu search,1.0,0.0,1.0,310.05,202.10561985988258,tabu_size=100; nbour=adjacent
Tabu search,1.0,0.0,1.0,473.85,327.89717178279824,tabu_size=200; nbour=Hamming
Tabu search,1.0,0.0,1.0,266.55,177.7980744079021,tabu_size=200; nbour=adjacent
Tabu search,1.0,0.0,1.0,455.15,259.87127886503225,tabu_size=400; nbour=Hamming
Tabu search,1.0,0.0,1.0,272.7,201.90125257034362,tabu_size=400; nbour=adjacent
Tabu search,1.0,0.0,1.0,371.75,209.15616804574267,tabu_size=700; nbour=Hamming
Tabu search,1.0,0.0,1.0,224.95,97.72974281956823,tabu_size=700; nbour=adjacent
Tabu search,1.0,0.0,1.0,428.4,299.9648049530583,tabu_size=1000; nbour=Hamming
Tabu search,1.0,0.0,1.0,288.3,180.5558959960803,tabu_size=1000; nbour=adjacent
Tabu search,1.0,0.0,1.0,416.7,258.0006323941658,tabu_size=2000; nbour=Hamming
Tabu search,1.0,0.0,1.0,269.85,157.53672086549417,tabu_size=2000; nbour=adjacent
