GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.32344464929907973,0.31952244252266704,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.3296483791578038,0.38667083872963187,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.32012211054220124,0.34961460318506715,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.35314640093819744,0.3581707696981519,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.40879446848423356,0.3083404085095395,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.31421560242048013,0.26274918214220877,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.4041460942912631,0.3388184964514837,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.2832303717376488,0.3666572579214697,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.3241377782341913,0.2937214058668688,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.34045225446163163,0.3322409672218617,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.4091244953427635,0.35288087558226283,0.05,24.9,0.4472135954999579,tabu_size=100; nbour=Hamming
Tabu search,0.3810110407746137,0.33471774261290993,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.4083069125514281,0.2998023412246173,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.23791393937252708,0.33979751229548505,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.4961819072073737,0.2996664988520903,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.302110336055126,0.33554807830455285,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.5153476215315702,0.2661697326706708,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.38180878481028163,0.36577417598243,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.3724078198285966,0.33196401853884266,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.2531963352744027,0.3627126039807573,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.3552501860470473,0.35024270191186074,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.2474692057000118,0.3621272382757674,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.6244042757412456,0.3385668100326943,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.4579019475851002,0.40819698123070025,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.6426787421484603,0.34327823625634607,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.4478013453388253,0.43798406150743374,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.45700237052808074,0.43076090202487427,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.3586303927187965,0.41777231021836236,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6388241400714133,0.3462758478851675,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.43552095061406954,0.4154432636119237,0.05,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.3745602056564479,0.3986907457893461,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.4961669319273926,0.37542369423296623,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.6068481683967619,0.3711369209254973,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.3180804754244986,0.3915734276382183,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.5437208881457722,0.3537585742750151,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.46411452553415317,0.41960806118283756,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.4552101365798329,0.36050842505951713,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.4135295539690976,0.389001407979699,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.6867988625126837,0.26858357604657473,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.44827374965144157,0.423410156649363,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.5651769377955153,0.3721014903161456,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.6356946157238631,0.35310329474255325,0.05,49.9,0.4472135954999579,tabu_size=1000; nbour=adjacent
