convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.44567648742777166,0.2957148678433952,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.24110895870081195,0.28994598002105054,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.5315292047459405,0.26392331928741547,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.30073671413404296,0.34884658540642455,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.3866046202080733,0.27643450326993685,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.29591744176555645,0.3056653406060948,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.5169451691634781,0.23565247742597545,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.42876982003243785,0.3685312955475341,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.4695897161691514,0.2947835015968322,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.39887086020899576,0.335494385634333,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.3195139476258669,0.30839246311725776,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.320043738566863,0.3573089934963801,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.5148229907546814,0.2659051741138514,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.2657938933703979,0.2722762905210117,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.3719808567512599,0.2620204523008544,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.3754737788344602,0.3977967059182155,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.5328197416261259,0.2528059637700184,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.3094282516305481,0.33577109723670023,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.5039194521878763,0.2910818440001683,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3955831054906169,0.34605876586279793,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.5130164782304512,0.1857684191472966,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.3505363668656336,0.3383824053673661,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.5001889798234557,0.3192462566549486,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.39624554267517426,0.42297027047044133,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.62262897339354,0.3061585123713325,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5016331098589436,0.3221526712041212,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.5517882194729502,0.30633786894254633,0.05,49.15,3.8013155617496426,tabu_size=16; nbour=Hamming
Tabu search,0.5628661906141689,0.2881495564013058,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6823395525329818,0.24323392290280482,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.5352230946774515,0.36535909665218136,0.1,47.7,9.177202876235164,tabu_size=32; nbour=adjacent
Tabu search,0.603038558083309,0.3154785360623117,0.1,49.15,3.8013155617496426,tabu_size=64; nbour=Hamming
Tabu search,0.5044972079254815,0.39535914158223723,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.6505560749370672,0.22299169985536704,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.5310145701237594,0.41619694294852994,0.15,47.05,8.976431127651662,tabu_size=100; nbour=adjacent
Tabu search,0.6022793124290066,0.2783955778127046,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.4477692220751037,0.38106621912720756,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5298668660513522,0.2634078211663806,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.3993782047517629,0.36413600564400866,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.6459709920871695,0.2184554853047933,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.4008455718409212,0.41122532403182477,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.6129779426139383,0.30738485754760836,0.05,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.5485818324816705,0.35520131079306266,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.6099452080224029,0.2590855205029196,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.567129426460005,0.3875263728404141,0.1,49.05,2.964260802504253,tabu_size=2000; nbour=adjacent
Tabu search,0.8634659356124051,0.08641656107205638,0.1,98.9,4.919349550499537,tabu_size=4; nbour=Hamming
Tabu search,0.7254031253434012,0.21910124294557937,0.0,88.5,18.176039751624433,tabu_size=4; nbour=adjacent
Tabu search,0.889933781222166,0.0721224655732195,0.15,99,4.47213595499958,tabu_size=8; nbour=Hamming
Tabu search,0.5708067711151243,0.32430363787789285,0.05,97.25,8.650372672227542,tabu_size=8; nbour=adjacent
Tabu search,0.7822123384173014,0.20882005957392719,0.05,98.9,4.919349550499537,tabu_size=16; nbour=Hamming
