convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.5294259825126911,0.32728212084002467,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.533181194443167,0.37796460776375235,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.6718728153966134,0.19077508183580186,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.4239558463908219,0.37945627848834346,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.5462632529119353,0.26505089450894687,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.5123214400238661,0.3966979224113142,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.664412380568455,0.20573666537978003,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.4131311104896913,0.3724897656860561,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.5148160270189646,0.3326543169975639,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.23566382172758424,0.3529952600504391,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.4377378687230715,0.35147311163205186,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.4011061886219208,0.36641828909247626,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.653289482658972,0.23484427816980838,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.24828281839024235,0.3548231905715378,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.5524773492983182,0.27849280321412434,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.32467702310321284,0.3464621471480219,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.597159560249684,0.24710633189813747,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.42171699020800624,0.39705186787547575,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.6340785766709602,0.2535779689825552,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.3785898284296512,0.4044858611717079,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.5506458438385333,0.3072603176352228,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.22928993904808034,0.3086826943534195,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.7280825545055499,0.26896072335816457,0.05,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.5936390140843595,0.35373134514800286,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.7189411543859452,0.25533383985261476,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.5080938015207247,0.36837222298810446,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6853030465571858,0.3093469987749963,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.40944299200157275,0.38365231202567435,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.7421131161191229,0.26725128551278965,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.6764882797024336,0.3267482748148902,0.05,49,4.47213595499958,tabu_size=32; nbour=adjacent
Tabu search,0.7098476909794101,0.25914841859304577,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.5949174723657701,0.3426818816860488,0.05,49.95,0.22360679774997896,tabu_size=64; nbour=adjacent
Tabu search,0.6225169090148421,0.33361445833624404,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.5510513613002855,0.3973943066428289,0.05,48.6,6.260990336999411,tabu_size=100; nbour=adjacent
Tabu search,0.7715925899812714,0.20996041080685685,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.5377412152977875,0.3835221132816601,0.05,49.8,0.8944271909999159,tabu_size=200; nbour=adjacent
Tabu search,0.671165128235322,0.30961413249332964,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.6345874988842011,0.38447642852795316,0.05,49.65,1.5652475842498528,tabu_size=400; nbour=adjacent
Tabu search,0.6623938848006964,0.29840268678994686,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.6033202457310746,0.37277611367544417,0.05,49,4.47213595499958,tabu_size=700; nbour=adjacent
Tabu search,0.6121968009284027,0.3353507575656424,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.4655757325607348,0.40665651287059157,0.05,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.6724226376587086,0.3096569739351472,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.5628756167786743,0.40572459440743175,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9333493805093773,0.05071642939156895,0.15,99.2,3.5777087639996634,tabu_size=4; nbour=Hamming
Tabu search,0.7617692760545549,0.23812309828135617,0.05,93.1,12.739908286871406,tabu_size=4; nbour=adjacent
Tabu search,0.7776883871540258,0.34013805345119047,0.15,98.6,4.357691325026421,tabu_size=8; nbour=Hamming
Tabu search,0.8086679926839331,0.24452427176783811,0.1,97,12.030662579644694,tabu_size=8; nbour=adjacent
Tabu search,0.8686204292053424,0.21171914936595196,0.15,98.9,4.919349550499537,tabu_size=16; nbour=Hamming
Tabu search,0.8000336724014614,0.30204999554753925,0.25,91.3,20.422124225817864,tabu_size=16; nbour=adjacent
Tabu search,0.8926018721739069,0.07006068001080402,0.05,100,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.610081187521494,0.39659876037321046,0.15,89.85,25.807536638904942,tabu_size=32; nbour=adjacent
Tabu search,0.860918320277075,0.21240977049711424,0.1,98.4,4.92469609000874,tabu_size=64; nbour=Hamming
Tabu search,0.5701877309049918,0.41387670655543424,0.15,94.35,18.120285230704987,tabu_size=64; nbour=adjacent
Tabu search,0.7810637115330553,0.34021357741625047,0.05,98.9,4.919349550499537,tabu_size=100; nbour=Hamming
