convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.4946674734194558,0.2150847484054789,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.4036818630872559,0.31825237652689836,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.4388327452735716,0.22946298927145203,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.234514846663899,0.31093018562720004,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.42767324843579235,0.24710578501063782,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.3955630414025739,0.3152652946200278,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.4658051997088673,0.28322273228718026,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.44871875639324926,0.3263569057677433,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.580244191855255,0.2619913930020331,0.05,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.36127224710435923,0.3383732552894061,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5248006417828345,0.2764351435018753,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.2766552446102595,0.33320947813057755,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.5199968261668358,0.20163586357699875,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.3238516889273645,0.37970135406974453,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.515345603657547,0.3012236076132726,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.37803921578021027,0.35602995128899906,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.4674922933941718,0.24579656242175832,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.37527113536588685,0.3066157858508024,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.3862983142571177,0.25906934244166857,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.29867832209155165,0.38791565837547526,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.4166971026293395,0.25556968710445066,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.2432246640042048,0.2987618667262622,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.6210220997832173,0.29812604969352047,0.05,49.15,3.8013155617496426,tabu_size=4; nbour=Hamming
Tabu search,0.4788834158881735,0.35410865969631644,0.0,50,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.5835505754103303,0.2221541937714848,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.41161284221186367,0.322494967105504,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6366775835988918,0.2598524622078516,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.2399113779736487,0.31630901955687574,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6159179764595613,0.26875558583251513,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.5476208536756874,0.32417671912945195,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.6016798170562166,0.3134016311268938,0.05,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.58220359158419,0.26694344157733413,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.5962412456094156,0.24508088376229295,0.0,50,0.0,tabu_size=100; nbour=Hamming
