pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.6281696278132427,0.19340836263657488,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.844975934832106,0.07325264415421606,0.05,24.5,2.23606797749979,tabu_size=4; nbour=adjacent
Tabu search,0.6716863841883955,0.14551117062291366,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.8405897502156724,0.08707569550259897,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6358710132630863,0.16377277224217948,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.8554772272522148,0.0792918447981879,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.6287319082771629,0.1633159816852505,0.05,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.8403467363656314,0.0863765565008807,0.05,24.45,2.4596747752497685,tabu_size=32; nbour=adjacent
Tabu search,0.5780734101721109,0.13258162457454906,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.8417125601293902,0.09398706299253949,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.6171377426246872,0.12552739557400275,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.8404334984546069,0.0828374665415612,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.6201240858199151,0.12873025519496625,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.8381827443866896,0.07832924196886512,0.0,25,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.6225210901274651,0.202078627921437,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.8520624268281387,0.0876808176861613,0.05,24.7,1.3416407864998738,tabu_size=400; nbour=adjacent
Tabu search,0.6011627020323509,0.17826998208183614,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.8377534717063428,0.07160291368000576,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.5662267578670734,0.17213712256869643,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.8317873571050709,0.08139902645410638,0.05,24.75,1.118033988749895,tabu_size=1000; nbour=adjacent
Tabu search,0.6157378403360158,0.1558933967406481,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.854585056274187,0.09062331944536942,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.7804391457433576,0.15279082656119145,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.86637956310116,0.08017240878932402,0.0,48.3,4.769420134675979,tabu_size=4; nbour=adjacent
Tabu search,0.7417287649777787,0.11613659844535551,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.8526225838332497,0.09622189079214986,0.15,46.65,9.449449997918286,tabu_size=8; nbour=adjacent
Tabu search,0.7920217957304159,0.10548696046266266,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.8271577075454017,0.08859129785132637,0.05,48.2,8.049844718999243,tabu_size=16; nbour=adjacent
Tabu search,0.8019103687993966,0.10928264847059023,0.05,49.85,0.6708203932499369,tabu_size=32; nbour=Hamming
Tabu search,0.8510414337997206,0.07819260353695497,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.8282125147848513,0.08542392948382134,0.0,50,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.8665079700607493,0.0791550508216302,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.775118109060276,0.13529819017120345,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.8632769157759392,0.07238289643681989,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.8103552323275361,0.11880379997620795,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.8467199463021509,0.07801054259408052,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.7598438139316599,0.11303802263568243,0.0,50,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.840791484875272,0.08022491412443285,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.7460376906385715,0.15291168894061402,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.8391304862390596,0.06634707891064819,0.0,50,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.804042803759114,0.12618939313663674,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.8807649311739331,0.08879313004151414,0.05,47.9,9.391485505499118,tabu_size=1000; nbour=adjacent
Tabu search,0.7606473496298539,0.11968154414389111,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.8687051494089796,0.07836853993328201,0.1,46.7,10.177891416408928,tabu_size=2000; nbour=adjacent
