pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.7555053329007119,0.12488638078849229,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.8283084203670575,0.08226261064303247,0.04,49.44,2.893765289552767,tabu_size=4; nbour=adjacent
Tabu search,0.7825232800816364,0.09791695423511756,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.8254474300277544,0.07715659487593383,0.02,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.744102908971664,0.09622201719602395,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.8324900602783819,0.08158705225491542,0.02,49.3,4.949747468305833,tabu_size=16; nbour=adjacent
Tabu search,0.7954836050900771,0.1305427874254427,0.06,49.82,0.7196938124462856,tabu_size=32; nbour=Hamming
Tabu search,0.8120077676862635,0.0749103571093127,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.7510162809209222,0.12115642741449163,0.02,49.94,0.4242640687119285,tabu_size=64; nbour=Hamming
Tabu search,0.8210483466410253,0.07921360271836876,0.0,50,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.7747989660903881,0.10017634170880209,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.8184133724433547,0.07656569909274055,0.04,49.62,2.6870057685088806,tabu_size=100; nbour=adjacent
Tabu search,0.7504618494288959,0.11314919898077729,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.7992250387198016,0.06757235859729868,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.7398763566105789,0.11973073835652215,0.02,49.94,0.4242640687119285,tabu_size=400; nbour=Hamming
Tabu search,0.8267755797077515,0.07269660725845518,0.02,49.64,2.545584412271571,tabu_size=400; nbour=adjacent
Tabu search,0.7739751175936105,0.1006036138313654,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.8307377501056014,0.0902654463192349,0.04,48.92,5.378870225052765,tabu_size=700; nbour=adjacent
Tabu search,0.7500073658806876,0.1203781021561153,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.8054525933678636,0.07326537157053566,0.02,49.5,3.5355339059327378,tabu_size=1000; nbour=adjacent
Tabu search,0.7948409694570607,0.11772625604124817,0.02,49.94,0.4242640687119285,tabu_size=2000; nbour=Hamming
Tabu search,0.8137138614529221,0.0690163570972479,0.02,49.76,1.6970562748477143,tabu_size=2000; nbour=adjacent
Tabu search,0.8794303129389038,0.09511950498382195,0.02,100,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.8264882892303496,0.08823273965022026,0.1,89.68,18.970912213282777,tabu_size=4; nbour=adjacent
Tabu search,0.8916070132366333,0.09364937583978956,0.12,98.2,6.334228364970104,tabu_size=8; nbour=Hamming
Tabu search,0.8483907643142441,0.08753757220480418,0.12,94.54,13.205147419371999,tabu_size=8; nbour=adjacent
Tabu search,0.8816895286243918,0.09022932826161213,0.06,99.32,3.3651272832766757,tabu_size=16; nbour=Hamming
Tabu search,0.8388595005905015,0.07871908424171103,0.12,95.92,13.917893342817397,tabu_size=16; nbour=adjacent
Tabu search,0.8859421097095678,0.08234978715316835,0.06,98.58,6.138170970015649,tabu_size=32; nbour=Hamming
Tabu search,0.8362995976402756,0.08452472268196856,0.1,97.44,9.089487087300585,tabu_size=32; nbour=adjacent
Tabu search,0.8744231625035442,0.0933190245078874,0.04,99.32,3.3651272832766757,tabu_size=64; nbour=Hamming
Tabu search,0.8532034469925524,0.08430923412982011,0.1,97.18,11.36893368180255,tabu_size=64; nbour=adjacent
Tabu search,0.8844804212512414,0.10794108489346761,0.12,99.12,3.611998146766537,tabu_size=100; nbour=Hamming
Tabu search,0.8396641034857361,0.08929887524534491,0.08,97.98,7.22097285548089,tabu_size=100; nbour=adjacent
Tabu search,0.8937329549800297,0.09543529958496076,0.08,99.76,1.4365491531401753,tabu_size=200; nbour=Hamming
Tabu search,0.8276452158562067,0.08460309313558634,0.1,94.76,16.95800334800711,tabu_size=200; nbour=adjacent
Tabu search,0.869301030301193,0.09964839513355127,0.14,98.24,4.951025455521764,tabu_size=400; nbour=Hamming
Tabu search,0.8389513112648969,0.07912934183827298,0.06,98.82,4.89768791765824,tabu_size=400; nbour=adjacent
Tabu search,0.8918114795787532,0.10191731773341248,0.06,97.54,10.69466775394855,tabu_size=700; nbour=Hamming
Tabu search,0.8403404034478777,0.08297238315276023,0.04,98.28,8.550068623665412,tabu_size=700; nbour=adjacent
Tabu search,0.883460494679171,0.09608039927452536,0.12,97.4,9.661621953663381,tabu_size=1000; nbour=Hamming
Tabu search,0.8318967014238375,0.09473134358533368,0.1,96.84,9.900237061684484,tabu_size=1000; nbour=adjacent
Tabu search,0.888911905781863,0.10498483348268993,0.14,98.42,4.526971326146776,tabu_size=2000; nbour=Hamming
Tabu search,0.8330456142690799,0.08506947491584972,0.08,96.06,15.516166684185517,tabu_size=2000; nbour=adjacent
Tabu search,0.9713586558655208,0.04991177812193485,0.48,140.78,15.250680814511936,tabu_size=4; nbour=Hamming
Tabu search,0.825771305250126,0.08891118894422903,0.16,124.82,36.246148282350255,tabu_size=4; nbour=adjacent
Tabu search,0.9664054033454804,0.05209935728484741,0.48,139.56,20.05315385648444,tabu_size=8; nbour=Hamming
Tabu search,0.8520635544471358,0.09549195586718681,0.22,128.34,37.04195635508801,tabu_size=8; nbour=adjacent
Tabu search,0.9655548399697195,0.055365353000172035,0.4,137.9,21.767088056260064,tabu_size=16; nbour=Hamming
Tabu search,0.8332133870360842,0.08073868709289726,0.08,140.2,21.191064732329895,tabu_size=16; nbour=adjacent
Tabu search,0.9650375150235532,0.061570357774283255,0.4,139.34,19.66827965252162,tabu_size=32; nbour=Hamming
Tabu search,0.8288485513528824,0.09487213257655101,0.16,138.64,30.303741265623913,tabu_size=32; nbour=adjacent
Tabu search,0.9675167092068745,0.05053858506507893,0.44,140.16,21.839264396672228,tabu_size=64; nbour=Hamming
Tabu search,0.8350093690184636,0.07809382064839467,0.06,145.2,21.554865921595503,tabu_size=64; nbour=adjacent
Tabu search,0.967517540406564,0.04761250057259555,0.36,142,14.910618049304492,tabu_size=100; nbour=Hamming
Tabu search,0.8261111984282519,0.08100322903526068,0.08,147.82,10.05026144446207,tabu_size=100; nbour=adjacent
Tabu search,0.9624950195590496,0.05957359902889235,0.44,135.56,22.72116697204236,tabu_size=200; nbour=Hamming
Tabu search,0.8505215207233641,0.09336447047218052,0.2,136.06,31.24126653472739,tabu_size=200; nbour=adjacent
Tabu search,0.9681074194094396,0.04883260488948915,0.4,140.36,18.66980537266153,tabu_size=400; nbour=Hamming
Tabu search,0.8522876958866477,0.09734788856303608,0.22,135.4,30.442317485328726,tabu_size=400; nbour=adjacent
Tabu search,0.9695054977770466,0.04506477426141857,0.46,139.58,19.458055359345316,tabu_size=700; nbour=Hamming
Tabu search,0.855312728049085,0.0976485632898948,0.24,135.96,26.119786854147996,tabu_size=700; nbour=adjacent
Tabu search,0.9638153918168676,0.050698785840195354,0.4,139.24,20.861604219528395,tabu_size=1000; nbour=Hamming
Tabu search,0.8282280605825234,0.08878119629023422,0.16,138.96,28.90445908682674,tabu_size=1000; nbour=adjacent
Tabu search,0.9710070198869629,0.040259706224975766,0.42,142.8,15.402093682221205,tabu_size=2000; nbour=Hamming
Tabu search,0.847690359481561,0.08940062494440569,0.14,139.74,29.880585465400475,tabu_size=2000; nbour=adjacent
Tabu search,0.9960830998300877,0.009624541826897964,0.84,163.84,35.06690980490448,tabu_size=4; nbour=Hamming
Tabu search,0.835055876280195,0.0885286579647815,0.16,136.28,51.199107135071905,tabu_size=4; nbour=adjacent
Tabu search,0.9919140776744514,0.015148199466942857,0.74,172.2,31.919541708131444,tabu_size=8; nbour=Hamming
Tabu search,0.8618457860133373,0.09588978712092765,0.26,156.56,53.771307119947856,tabu_size=8; nbour=adjacent
Tabu search,0.9889278822121793,0.03049576235478157,0.72,172.06,32.5522562621257,tabu_size=16; nbour=Hamming
Tabu search,0.8200995501507795,0.06950103190285674,0.06,177.52,35.4931669192703,tabu_size=16; nbour=adjacent
Tabu search,0.9865170809099754,0.032088189996468466,0.66,172.5,30.511456530159894,tabu_size=32; nbour=Hamming
Tabu search,0.8490727952498165,0.08939788145204076,0.16,179.2,40.961903654742514,tabu_size=32; nbour=adjacent
Tabu search,0.9938828339022192,0.011866064515428314,0.76,169.04,39.51954308584913,tabu_size=64; nbour=Hamming
Tabu search,0.8615545548538681,0.09343424609712378,0.18,183.38,38.03215073849911,tabu_size=64; nbour=adjacent
Tabu search,0.9914818980390808,0.016138344752533035,0.72,169.84,34.90240620908068,tabu_size=100; nbour=Hamming
Tabu search,0.8509936817857084,0.08847645956911983,0.1,189.28,35.85801934045449,tabu_size=100; nbour=adjacent
Tabu search,0.9902312159319544,0.018243354291436174,0.7,166.8,37.62326679172919,tabu_size=200; nbour=Hamming
Tabu search,0.8403987372826984,0.08738351282728202,0.14,183.68,44.457473373725485,tabu_size=200; nbour=adjacent
Tabu search,0.9963115884553287,0.013030981579894737,0.9,160.98,35.499634950695665,tabu_size=400; nbour=Hamming
Tabu search,0.836777047041812,0.09688459370982108,0.2,178.4,47.49221203609738,tabu_size=400; nbour=adjacent
Tabu search,0.9951052576530938,0.015834183576603433,0.88,166.38,37.60855851358023,tabu_size=700; nbour=Hamming
Tabu search,0.8478243349714732,0.09339438350524204,0.18,179.4,47.48017846363654,tabu_size=700; nbour=adjacent
Tabu search,0.9895032375826465,0.029532615921061975,0.72,161.74,39.51120223481964,tabu_size=1000; nbour=Hamming
Tabu search,0.8723078349657672,0.09190890229340526,0.2,177.72,50.036329658701845,tabu_size=1000; nbour=adjacent
Tabu search,0.994570546589147,0.012144469096904283,0.8,164.1,42.21821349868334,tabu_size=2000; nbour=Hamming
Tabu search,0.8583035161072291,0.09109332646086934,0.16,182.28,43.57683338843319,tabu_size=2000; nbour=adjacent
Tabu search,1.0,0.0,1.0,165.9,49.729164440179034,tabu_size=4; nbour=Hamming
Tabu search,0.8400408868283354,0.08924834361702348,0.18,167.04,101.77625720477367,tabu_size=4; nbour=adjacent
Tabu search,1.0,0.0,1.0,173.08,47.458613549070314,tabu_size=8; nbour=Hamming
Tabu search,0.8545059087263789,0.10041913071470418,0.26,183.92,97.57400958728086,tabu_size=8; nbour=adjacent
Tabu search,1.0,0.0,1.0,172.84,51.48146486348068,tabu_size=16; nbour=Hamming
Tabu search,0.8505196351142434,0.09410357779696656,0.24,213.84,104.16928138214965,tabu_size=16; nbour=adjacent
Tabu search,1.0,0.0,1.0,188.48,55.47392842312394,tabu_size=32; nbour=Hamming
Tabu search,0.8573211781072821,0.09100834009940095,0.18,260.54,120.00700829875032,tabu_size=32; nbour=adjacent
Tabu search,1.0,0.0,1.0,175.84,50.759279839216774,tabu_size=64; nbour=Hamming
Tabu search,0.8365433980861077,0.08281338649254308,0.08,369.68,76.98991187559734,tabu_size=64; nbour=adjacent
Tabu search,1.0,0.0,1.0,183.56,50.180962322297454,tabu_size=100; nbour=Hamming
Tabu search,0.9059831954566836,0.09907682558032273,0.28,316.28,141.90828311387088,tabu_size=100; nbour=adjacent
Tabu search,1.0,0.0,1.0,173.52,45.413402678693245,tabu_size=200; nbour=Hamming
Tabu search,0.8560813206881227,0.09369038577692011,0.16,352.3,111.88756200137817,tabu_size=200; nbour=adjacent
Tabu search,1.0,0.0,1.0,177.38,54.01734037533216,tabu_size=400; nbour=Hamming
Tabu search,0.8630314183831123,0.10653434061556978,0.26,324.72,133.18899261989347,tabu_size=400; nbour=adjacent
Tabu search,1.0,0.0,1.0,156.7,50.694865496962336,tabu_size=700; nbour=Hamming
Tabu search,0.8669481392005909,0.1002969768335071,0.16,348.64,119.14521409110954,tabu_size=700; nbour=adjacent
Tabu search,1.0,0.0,1.0,169.7,57.245354503618,tabu_size=1000; nbour=Hamming
Tabu search,0.8403656585307808,0.08820489723212076,0.12,363.54,100.19658432403811,tabu_size=1000; nbour=adjacent
Tabu search,1.0,0.0,1.0,177.64,51.35858730335092,tabu_size=2000; nbour=Hamming
Tabu search,0.8711204837232561,0.09130577935650884,0.16,360.4,100.70121495730601,tabu_size=2000; nbour=adjacent
Tabu search,1.0,0.0,1.0,190.02,53.68710938657169,tabu_size=4; nbour=Hamming
Tabu search,0.8218291273879808,0.07998777418609153,0.12,175.84,106.66548128593047,tabu_size=4; nbour=adjacent
Tabu search,1.0,0.0,1.0,173.16,46.96909969895753,tabu_size=8; nbour=Hamming
Tabu search,0.8512375976766956,0.09792798531411079,0.22,188.94,102.66836048607165,tabu_size=8; nbour=adjacent
Tabu search,1.0,0.0,1.0,162.84,55.395925585087674,tabu_size=16; nbour=Hamming
Tabu search,0.8508836290190774,0.09232357527871068,0.22,219.18,87.40024984786592,tabu_size=16; nbour=adjacent
Tabu search,1.0,0.0,1.0,191.24,55.34919205575172,tabu_size=32; nbour=Hamming
Tabu search,0.846534663218899,0.09207237290023255,0.2,307.3,175.3005873303548,tabu_size=32; nbour=adjacent
Tabu search,1.0,0.0,1.0,196.22,44.82222936108778,tabu_size=64; nbour=Hamming
Tabu search,0.8740559943543363,0.10090758074700341,0.24,435.74,203.31064097752946,tabu_size=64; nbour=adjacent
