pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.74837177312986,0.19106405351591219,0.0,25,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.9233823277997487,0.06023625907988454,0.0,25,0.0,tabu_size=4; nbour=adjacent
Tabu search,0.7554001624974638,0.18917038171378986,0.0,25,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.9270506623526884,0.058837035995394846,0.0,25,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.6292890305046285,0.22382240899105374,0.0,25,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.9423389164609447,0.043337082246617385,0.0,25,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.7129491116526611,0.24381943830311778,0.0,25,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.9285780768669687,0.03966129702584748,0.0,25,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.7592167580112569,0.13957720854219013,0.0,25,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.9366409310628468,0.04527015540953181,0.0,25,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.7383142179642246,0.20877063643668436,0.0,25,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.9180140869127091,0.06327270981571506,0.0,25,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.7947971253098717,0.1490006780071193,0.0,25,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.9360598158442325,0.047692724086276894,0.05,24.8,0.8944271909999159,tabu_size=200; nbour=adjacent
Tabu search,0.6826929552346422,0.20764622019167206,0.0,25,0.0,tabu_size=400; nbour=Hamming
Tabu search,0.9166799843662254,0.05213115204696986,0.0,25,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.826927776736156,0.1855314162901163,0.0,25,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.9283417834621354,0.04502716962100827,0.0,25,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.6516586382595675,0.18901763453474368,0.0,25,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.9442892674701426,0.042644539728328726,0.0,25,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.6464167585357823,0.22773464980332744,0.0,25,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.9258596201178337,0.059877257261563656,0.0,25,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.8899170924048847,0.10172718606726833,0.0,50,0.0,tabu_size=4; nbour=Hamming
Tabu search,0.9638895261561129,0.02541744343589657,0.05,47.85,5.060424363315996,tabu_size=4; nbour=adjacent
Tabu search,0.9147448214595959,0.08698973636521481,0.0,50,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.9553945419528072,0.04566310129042113,0.0,50,0.0,tabu_size=8; nbour=adjacent
Tabu search,0.9257861066785585,0.08068768420517351,0.0,50,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.9484668392537708,0.04727833862959043,0.0,50,0.0,tabu_size=16; nbour=adjacent
Tabu search,0.8825026346411673,0.12211436263634523,0.0,50,0.0,tabu_size=32; nbour=Hamming
Tabu search,0.9681884207981432,0.029672651020460114,0.0,50,0.0,tabu_size=32; nbour=adjacent
Tabu search,0.9173389899008834,0.10714493365496539,0.1,49.7,0.9233805168766387,tabu_size=64; nbour=Hamming
Tabu search,0.9592480477391787,0.03458721380513264,0.05,47.85,9.615092303249096,tabu_size=64; nbour=adjacent
Tabu search,0.9003358400605302,0.0883664141350422,0.0,50,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.9596991500041225,0.037225012717459344,0.0,50,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.8842407453918777,0.13745345257906838,0.0,50,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.9408473551026494,0.05614374692418352,0.0,50,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.8902045795074849,0.11818436953470939,0.05,49.85,0.6708203932499369,tabu_size=400; nbour=Hamming
Tabu search,0.943492981389129,0.05208035714032088,0.0,50,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.9367756550787444,0.05489888037935309,0.0,50,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.9469587368153958,0.05508722085658638,0.05,48.75,5.5901699437494745,tabu_size=700; nbour=adjacent
Tabu search,0.8856826769734277,0.10184840025243155,0.0,50,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.9667715985027684,0.032149901584957424,0.0,50,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.8917330959256312,0.09363606572636321,0.0,50,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.9691753629074006,0.019236170604750035,0.0,50,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9756579672336133,0.025681143152001415,0.05,97.35,11.851160280748886,tabu_size=4; nbour=Hamming
Tabu search,0.9574419905525784,0.04346234477010429,0.1,76.45,23.72312884307766,tabu_size=4; nbour=adjacent
Tabu search,0.9690789476224722,0.0375835104296108,0.0,100,0.0,tabu_size=8; nbour=Hamming
Tabu search,0.9633693374837414,0.03780606791074805,0.15,88,18.651936544018834,tabu_size=8; nbour=adjacent
Tabu search,0.9763406025201669,0.02503682809785443,0.0,100,0.0,tabu_size=16; nbour=Hamming
Tabu search,0.97557978035167,0.021562724687863515,0.15,97.1,5.75737513291019,tabu_size=16; nbour=adjacent
Tabu search,0.9887136169560394,0.007907675374361418,0.05,98.15,8.273451516749223,tabu_size=32; nbour=Hamming
Tabu search,0.9669040542933605,0.028669968872008487,0.05,99.75,1.118033988749895,tabu_size=32; nbour=adjacent
Tabu search,0.9879732188859829,0.008744754100207685,0.05,100,0.0,tabu_size=64; nbour=Hamming
Tabu search,0.9687887686716519,0.03320424893666276,0.1,97.3,9.177202876235162,tabu_size=64; nbour=adjacent
Tabu search,0.9732278761653409,0.028070052456513308,0.0,100,0.0,tabu_size=100; nbour=Hamming
Tabu search,0.9684562722430172,0.03327182344923748,0.0,100,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.9773853841418784,0.02536864538103065,0.0,100,0.0,tabu_size=200; nbour=Hamming
Tabu search,0.974079685378402,0.020693014267817993,0.0,100,0.0,tabu_size=200; nbour=adjacent
Tabu search,0.9648411801921133,0.040898526230937086,0.05,99.5,2.23606797749979,tabu_size=400; nbour=Hamming
Tabu search,0.9743763488346063,0.02932651185326115,0.05,95.75,19.00657780874821,tabu_size=400; nbour=adjacent
Tabu search,0.9665158039142163,0.031824958224558386,0.0,100,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.9720663799687517,0.026398413755296234,0.05,96.6,15.20526224699857,tabu_size=700; nbour=adjacent
Tabu search,0.962815027131929,0.04831352144602265,0.0,100,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.9564081389525174,0.04267642647983396,0.0,100,0.0,tabu_size=1000; nbour=adjacent
Tabu search,0.9665263190773717,0.04774614830851154,0.0,100,0.0,tabu_size=2000; nbour=Hamming
Tabu search,0.9628688701696831,0.02540721025108087,0.0,100,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9895046166574645,0.006299211014341518,0.15,185.6,38.72086340925128,tabu_size=4; nbour=Hamming
Tabu search,0.9689820437949749,0.023751097167782963,0.05,98.7,46.375015959707845,tabu_size=4; nbour=adjacent
Tabu search,0.9883919914064768,0.005024524631897349,0.1,189.85,31.3625237303512,tabu_size=8; nbour=Hamming
Tabu search,0.9700717413016587,0.02260042426912631,0.0,149.75,48.9348385207577,tabu_size=8; nbour=adjacent
Tabu search,0.9929594677148683,0.0059427980592815476,0.25,192.05,21.514927498440656,tabu_size=16; nbour=Hamming
Tabu search,0.9694061623371254,0.030779852671029857,0.0,179.5,31.431630063059927,tabu_size=16; nbour=adjacent
Tabu search,0.9924055654629176,0.006178548410808305,0.2,184.15,35.07476975953243,tabu_size=32; nbour=Hamming
Tabu search,0.9761106630896932,0.02118655645758522,0.1,180.75,39.87727884925265,tabu_size=32; nbour=adjacent
Tabu search,0.9911885194656774,0.006538073422873975,0.3,181.25,33.321203933515775,tabu_size=64; nbour=Hamming
