GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.8272072692527309,0.09860573196005838,0.0,25,0.0,method=COBYLA
Dual annealing,0.7677164727003651,0.12704697869726683,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.7568776382678518,0.12922318938233254,0.0,25,0.0,method=SLSQP
Dual annealing,0.7801130632096543,0.11034497172509235,0.0,25,0.0,method=CG
Dual annealing,0.7163130915914989,0.2634547944018065,0.0,25,0.0,method=Powell
Dual annealing,0.7845214691045729,0.12426937309841346,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.7277257404460399,0.16912178426604266,0.0,25,0.0,method=BFGS
Dual annealing,0.7988498237578299,0.09452090402601898,0.0,25,0.0,method=trust-constr
Dual annealing,0.8712298205758015,0.05472618579769123,0.0,50,0.0,method=COBYLA
Dual annealing,0.8203320632543881,0.08717824106615199,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.8410685293406402,0.08914892402394851,0.0,50,0.0,method=SLSQP
Dual annealing,0.8258486654864401,0.07619162358371796,0.0,50,0.0,method=CG
Dual annealing,0.858412376674669,0.05938788363855041,0.0,50,0.0,method=Powell
Dual annealing,0.8380624226232861,0.06722851690123303,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.8451293863762228,0.07624272071801845,0.0,50,0.0,method=BFGS
Dual annealing,0.8524924034524951,0.04675849615211328,0.0,50,0.0,method=trust-constr
Dual annealing,0.9092847319896077,0.041228592409125804,0.05,99.15,3.8013155617496426,method=COBYLA
Dual annealing,0.8839985440222908,0.06216761944193603,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.8830040890538713,0.05095203145409925,0.0,100,0.0,method=SLSQP
Dual annealing,0.902068520667635,0.03179377124513075,0.0,100,0.0,method=CG
Dual annealing,0.927273094964132,0.047320029744982554,0.0,100,0.0,method=Powell
Dual annealing,0.9054275750880844,0.04536767278112691,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.9025303230717823,0.055347999737360695,0.0,100,0.0,method=BFGS
Dual annealing,0.8928323183063508,0.037093476616911376,0.0,100,0.0,method=trust-constr
Dual annealing,0.9483042020785472,0.031109934720459427,0.05,198.3,7.602631123499285,method=COBYLA
Dual annealing,0.915635682484526,0.04118838088829847,0.0,200,0.0,method=L-BFGS-B
Dual annealing,0.9249555880107612,0.03328490739885833,0.0,200,0.0,method=SLSQP
Dual annealing,0.9329767829370229,0.040608420453720824,0.05,198.65,6.037383539249432,method=CG
Dual annealing,0.958258354442874,0.028241878952670125,0.1,190.95,34.264413025761876,method=Powell
Dual annealing,0.9354779604533684,0.040832366948579966,0.1,190.35,39.33830997359886,method=Nelder-Mead
Dual annealing,0.9417921121842232,0.026944088806183052,0.05,196.95,13.640014662748717,method=BFGS
Dual annealing,0.9384501915413711,0.03549821803298278,0.1,197.15,9.297849213662266,method=trust-constr
Dual annealing,0.9725214830793799,0.022221343715636683,0.05,394.2,25.93838853899756,method=COBYLA
Dual annealing,0.9683227829233201,0.020066805302017068,0.1,394.6,24.149534156997728,method=L-BFGS-B
Dual annealing,0.9746871824972962,0.02318171800689241,0.1,385.9,45.39174513406363,method=SLSQP
Dual annealing,0.9697377824309279,0.021962151292047122,0.1,398.3,5.582868532630119,method=CG
Dual annealing,0.9648528563073783,0.020100264038263694,0.05,382.1,80.05123359449247,method=Powell
Dual annealing,0.966974103901019,0.020480993258530707,0.1,395.15,15.125005437145608,method=Nelder-Mead
Dual annealing,0.9691442265835324,0.02007684696788076,0.1,385.55,64.15316786697615,method=BFGS
Dual annealing,0.9752580761603009,0.0279716703193685,0.15,388.7,31.47613966834327,method=trust-constr
Dual annealing,0.9868237541212054,0.015093837583534456,0.5,610.85,245.10948681419043,method=COBYLA
Dual annealing,0.9823137200244958,0.020434939788762197,0.25,725.2,155.77939867848886,method=L-BFGS-B
Dual annealing,0.9769903812228393,0.01581275853199003,0.25,710.55,166.95523352084533,method=SLSQP
Dual annealing,0.9894193784257767,0.015152820336668427,0.55,631.55,170.1508541203797,method=CG
Dual annealing,0.9853421037038496,0.016731147173850765,0.3,691.9,190.4913038490347,method=Powell
Dual annealing,0.9769426151673857,0.019481837439319926,0.2,741.4,126.8137465568677,method=Nelder-Mead
Dual annealing,0.9789650330249534,0.018673431350502236,0.35,671.95,186.07369083525114,method=BFGS
Dual annealing,0.986349649660924,0.01996060791799827,0.55,642.2,177.085349627324,method=trust-constr
Dual annealing,0.9911220388339419,0.014623801861350571,0.4,1192.8,522.2186071792257,method=COBYLA
Dual annealing,0.9797214796411637,0.017549499696121205,0.35,1211.75,546.9877199622252,method=L-BFGS-B
Dual annealing,0.9903617325600083,0.017804335920178514,0.7,792.85,555.1113947004833,method=SLSQP
Dual annealing,0.9891377041284067,0.015138529860831165,0.55,1066.75,585.9484327050237,method=CG
Dual annealing,0.9850654099257519,0.016314201052445073,0.35,1236.65,513.3939981811445,method=Powell
Dual annealing,0.9868008433493809,0.020727595816620346,0.4,1140.25,581.110359570366,method=Nelder-Mead
Dual annealing,0.9862544513604035,0.01793384250250897,0.35,1254,503.4229152302737,method=BFGS
Dual annealing,0.9817651247360609,0.020428047529940385,0.35,1190.1,574.080399650744,method=trust-constr
