GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.7621192025240784,0.1280345484397796,0.05,24.85,0.6708203932499369,method=COBYLA
Dual annealing,0.660533447548263,0.10025097653211303,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.67243752299109,0.18480423570186166,0.0,25,0.0,method=SLSQP
Dual annealing,0.685380592540319,0.12468872277138592,0.0,25,0.0,method=CG
Dual annealing,0.682813997147176,0.16880789188765247,0.0,25,0.0,method=Powell
Dual annealing,0.6605852780956099,0.11808587934201303,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.7160435014087546,0.13865021293387333,0.0,25,0.0,method=BFGS
Dual annealing,0.6542086785965654,0.21475963066553758,0.0,25,0.0,method=trust-constr
Dual annealing,0.8001575264002151,0.1305646969938746,0.0,50,0.0,method=COBYLA
Dual annealing,0.7941289064047942,0.1055974120021677,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.7607932536098351,0.1351942130360119,0.0,50,0.0,method=SLSQP
Dual annealing,0.77017089604721,0.06808238119389343,0.0,50,0.0,method=CG
Dual annealing,0.83042932333335,0.10342979330659606,0.1,48.2,5.5497747702046425,method=Powell
Dual annealing,0.7366799306431044,0.10831771389746417,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.747048633068996,0.10438004285535744,0.0,50,0.0,method=BFGS
Dual annealing,0.7541236582705799,0.10933973221080825,0.0,50,0.0,method=trust-constr
Dual annealing,0.8939350305367508,0.05938155559847047,0.05,96.3,16.54690303349844,method=COBYLA
Dual annealing,0.8021850118342826,0.09983691611654939,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.8180055998855602,0.07283101409846254,0.0,100,0.0,method=SLSQP
Dual annealing,0.8202469594975134,0.07152823741715253,0.0,100,0.0,method=CG
Dual annealing,0.8628699738604783,0.07876705781867083,0.05,96.2,16.994116628998402,method=Powell
Dual annealing,0.80485397391292,0.05737316411535879,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.7975835667192686,0.09963365947600432,0.0,100,0.0,method=BFGS
Dual annealing,0.8257775190749378,0.06536883664695053,0.0,100,0.0,method=trust-constr
Dual annealing,0.9312411796552119,0.055176232593379476,0.2,177.65,52.06400413256542,method=COBYLA
Dual annealing,0.8642555490111039,0.07070233941195567,0.0,200,0.0,method=L-BFGS-B
Dual annealing,0.913970344611296,0.03965494203111083,0.0,200,0.0,method=SLSQP
Dual annealing,0.8850564708477653,0.0694139322463231,0.0,200,0.0,method=CG
Dual annealing,0.9308962811036382,0.06500854055840476,0.25,177.85,48.426042363044374,method=Powell
Dual annealing,0.8844951757679601,0.0565872487399913,0.0,200,0.0,method=Nelder-Mead
Dual annealing,0.8918975861469933,0.05648405724601223,0.0,200,0.0,method=BFGS
Dual annealing,0.9017713710818942,0.06497943251354485,0.0,200,0.0,method=trust-constr
Dual annealing,0.9559661564010333,0.04645943223898292,0.3,359.9,88.51696239466732,method=COBYLA
Dual annealing,0.9518657580473668,0.04512876503494367,0.25,383.15,36.16086136607979,method=L-BFGS-B
Dual annealing,0.9353907766016853,0.05519149837189023,0.1,390.25,35.50815325201271,method=SLSQP
Dual annealing,0.9749270967944081,0.03707015319412366,0.25,374.05,59.968829622694734,method=CG
Dual annealing,0.966330883239045,0.0424907552582221,0.45,331.3,99.53687494433514,method=Powell
Dual annealing,0.9646025995157591,0.04037143051739753,0.1,391.3,32.3599817838736,method=Nelder-Mead
Dual annealing,0.9591836367517822,0.05540674822141073,0.45,359.5,73.17570778971883,method=BFGS
Dual annealing,0.9529534084213594,0.04914148814385372,0.15,390.9,26.83654225119175,method=trust-constr
Dual annealing,0.995161672571897,0.02052323630254069,0.9,511.75,209.21529455009787,method=COBYLA
Dual annealing,0.9853431243590145,0.029788555619215777,0.75,555.2,164.09580000398356,method=L-BFGS-B
Dual annealing,0.9700328033387793,0.05417110494472043,0.75,543.75,204.75861912325732,method=SLSQP
Dual annealing,0.9632324883520574,0.04310343982459146,0.45,688.8,180.63997342781028,method=CG
Dual annealing,0.9836533956280262,0.03632089379556176,0.8,459.95,241.13295633649696,method=Powell
Dual annealing,0.9787413395471856,0.0388261309073894,0.65,592.1,215.25478171838967,method=Nelder-Mead
Dual annealing,0.992245892266068,0.021258767251614078,0.85,534.3,164.17388086384125,method=BFGS
Dual annealing,0.9809894605886876,0.03486417308270948,0.7,585.1,185.9362935608804,method=trust-constr
Dual annealing,0.9945301975488402,0.016183168330588096,0.85,633.45,469.26476366871253,method=COBYLA
Dual annealing,0.9845114209156085,0.032524196758190446,0.8,769.95,487.5248414723414,method=L-BFGS-B
Dual annealing,0.9808562334073488,0.037736987796376,0.7,851.7,544.113871595972,method=SLSQP
Dual annealing,0.9855365234131104,0.03599868646100961,0.8,723.35,471.88315625575655,method=CG
Dual annealing,0.9919604164387805,0.025025711760299788,0.9,497.85,489.2362764662146,method=Powell
Dual annealing,0.994505750621795,0.024571030190004745,0.95,635.4,363.65923899340595,method=Nelder-Mead
Dual annealing,0.9943421971467326,0.017414349743454155,0.9,660.6,389.4458140810646,method=BFGS
Dual annealing,0.9757921775938454,0.04069243000018475,0.7,813.35,550.1493840193244,method=trust-constr
