convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.7526579916467031,0.1831434798149999,0.0,25,0.0,method=COBYLA
Dual annealing,0.7299207599583816,0.08655112989564306,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.7433620815915374,0.12129741837469948,0.0,25,0.0,method=SLSQP
Dual annealing,0.7228950447364746,0.12926115947840483,0.0,25,0.0,method=CG
Dual annealing,0.8175095341125904,0.12431094376645968,0.0,25,0.0,method=Powell
Dual annealing,0.718901271183447,0.12526569701407372,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.7167428246447202,0.08550390290835555,0.0,25,0.0,method=BFGS
Dual annealing,0.6890971322484218,0.16812725861814368,0.0,25,0.0,method=trust-constr
Dual annealing,0.8495687319435883,0.06633687458775653,0.05,48.15,8.27345151674922,method=COBYLA
Dual annealing,0.8138411917424544,0.052882123140029866,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.8031927944595032,0.07812452579829327,0.0,50,0.0,method=SLSQP
Dual annealing,0.8156666068478982,0.05947947651480726,0.0,50,0.0,method=CG
Dual annealing,0.8773804889617811,0.08809547102128099,0.0,50,0.0,method=Powell
Dual annealing,0.8046907008656614,0.07602291261751133,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.8112257575507005,0.09670927402588556,0.0,50,0.0,method=BFGS
Dual annealing,0.7922715730176126,0.08313820615982889,0.0,50,0.0,method=trust-constr
Dual annealing,0.8996580415946341,0.07254724160736244,0.05,99.5,2.23606797749979,method=COBYLA
Dual annealing,0.8529294060758408,0.0542273175927665,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.8627138671099174,0.06787113950872832,0.0,100,0.0,method=SLSQP
Dual annealing,0.8573352196461211,0.054530566321425895,0.0,100,0.0,method=CG
Dual annealing,0.9367164723049805,0.06203044456313924,0.0,100,0.0,method=Powell
Dual annealing,0.8271133854703243,0.06474722148810673,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.8684439991385536,0.07435871008918017,0.05,96.5,15.652475842498529,method=BFGS
Dual annealing,0.8492852874132392,0.05675160966590573,0.0,100,0.0,method=trust-constr
Dual annealing,0.914269915772274,0.062359109304844555,0.0,200,0.0,method=COBYLA
Dual annealing,0.8698977027323935,0.048487739341353135,0.0,200,0.0,method=L-BFGS-B
Dual annealing,0.8815764694328824,0.04823961980327052,0.0,200,0.0,method=SLSQP
Dual annealing,0.8987381215256669,0.05883564690785406,0.0,200,0.0,method=CG
Dual annealing,0.9465779398866346,0.048392829681129346,0.15,176.85,57.20625195866178,method=Powell
Dual annealing,0.8560821915389789,0.04137915344098501,0.0,200,0.0,method=Nelder-Mead
Dual annealing,0.8771212778550503,0.04304937510149716,0.0,200,0.0,method=BFGS
Dual annealing,0.8810351422778907,0.05069399326826897,0.0,200,0.0,method=trust-constr
Dual annealing,0.9556452879961251,0.03965188580372228,0.1,374.8,77.67855492178548,method=COBYLA
Dual annealing,0.9213008185065449,0.03831761499653196,0.05,396.1,17.44133022449836,method=L-BFGS-B
Dual annealing,0.9394493485644878,0.057766802456375235,0.25,376.85,53.774651629692,method=SLSQP
Dual annealing,0.9359743864002429,0.045770573337872274,0.05,392.55,33.31741286474686,method=CG
Dual annealing,0.9769014549368906,0.034384503275653865,0.35,344.05,109.63214808958567,method=Powell
Dual annealing,0.9488384912564268,0.042722187630295005,0.25,349.25,107.77846430721239,method=Nelder-Mead
Dual annealing,0.9189063591146918,0.04933141866734115,0.15,380,73.7799002724355,method=BFGS
Dual annealing,0.9436414385217483,0.03808334729084799,0.1,378.85,78.55221193575646,method=trust-constr
Dual annealing,0.9952128538693136,0.016697515802914707,0.85,494.65,209.81878772934164,method=COBYLA
Dual annealing,0.9812559506921671,0.031878080776234045,0.7,638.65,140.25213198492133,method=L-BFGS-B
Dual annealing,0.9842644697235291,0.03036168055124944,0.7,599.8,163.58664210039953,method=SLSQP
Dual annealing,0.9670469220230241,0.03726833775431315,0.45,632.25,221.30043284853141,method=CG
Dual annealing,0.9978273177601383,0.00492127962720145,0.8,480,255.73485446742234,method=Powell
Dual annealing,0.9902126620926208,0.022159466737384212,0.8,571,189.02826299399334,method=Nelder-Mead
Dual annealing,0.9791795921540567,0.03595107215111097,0.65,607.3,184.95322310476803,method=BFGS
Dual annealing,0.9702136518028674,0.039889800340190476,0.55,633.4,200.3419182560812,method=trust-constr
Dual annealing,0.9881993695161063,0.025642782699059227,0.7,866.25,595.7475511798954,method=COBYLA
Dual annealing,0.9778075875704338,0.03459131375752662,0.65,1033.9,523.0770195879883,method=L-BFGS-B
Dual annealing,0.9856527226732832,0.029885804018046455,0.8,838.45,504.07919960427273,method=SLSQP
Dual annealing,0.9947677172142158,0.016104626610607426,0.9,842.25,433.01414526548666,method=CG
Dual annealing,0.9886846563297458,0.022461209688527585,0.65,892.7,625.5446553120518,method=Powell
Dual annealing,0.9882688640661754,0.028651152605722964,0.85,745.1,509.2999219775277,method=Nelder-Mead
Dual annealing,0.9719550061212958,0.03457910803279238,0.55,1192.2,444.03077181180754,method=BFGS
Dual annealing,0.9814372864573608,0.029310366165503858,0.65,948.05,544.5640917284209,method=trust-constr
