convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.84369187907904,0.07951688289504755,0.02,49.84,1.131370849898476,iterations=1000000; method=COBYLA
Dual annealing,0.7996996801332693,0.08357610434076852,0.0,50,0.0,iterations=1000000; method=L-BFGS-B
Dual annealing,0.8125796373688344,0.07202366260407281,0.0,50,0.0,iterations=1000000; method=SLSQP
Dual annealing,0.8066329807756529,0.06304645872408265,0.0,50,0.0,iterations=1000000; method=CG
Dual annealing,0.8707640052073288,0.10007285781585652,0.02,50,0.0,iterations=1000000; method=Powell
Dual annealing,0.8126708599473793,0.06645846709766542,0.0,50,0.0,iterations=1000000; method=Nelder-Mead
Dual annealing,0.788475876493029,0.08370279945956739,0.02,49.76,1.6970562748477143,iterations=1000000; method=BFGS
Dual annealing,0.8022264372302159,0.083089548381572,0.0,50,0.0,iterations=1000000; method=TNC
Dual annealing,0.8065849608934729,0.09274201906476755,0.0,50,0.0,iterations=1000000; method=trust-constr
Dual annealing,0.9017941562221291,0.06889259929300526,0.04,98.2,8.928285709714139,iterations=1000000; method=COBYLA
Dual annealing,0.8331536532884204,0.05812440680454235,0.0,100,0.0,iterations=1000000; method=L-BFGS-B
Dual annealing,0.844401974276497,0.05278512361376836,0.0,100,0.0,iterations=1000000; method=SLSQP
Dual annealing,0.855590111470588,0.054802766467030535,0.02,99.66,2.4041630560342617,iterations=1000000; method=CG
Dual annealing,0.9288228998465513,0.06447729122515508,0.04,100,0.0,iterations=1000000; method=Powell
Dual annealing,0.8548976397950171,0.05025065474416898,0.0,100,0.0,iterations=1000000; method=Nelder-Mead
Dual annealing,0.8376507489199122,0.06442661938308311,0.0,100,0.0,iterations=1000000; method=BFGS
Dual annealing,0.842908201738728,0.053250631200561116,0.0,100,0.0,iterations=1000000; method=TNC
Dual annealing,0.8451817304581316,0.06282599874318351,0.0,100,0.0,iterations=1000000; method=trust-constr
Dual annealing,0.920850214633351,0.0639494456240565,0.06,148.3,9.049185328085661,iterations=1000000; method=COBYLA
Dual annealing,0.8769733695177594,0.05063449749782617,0.0,150,0.0,iterations=1000000; method=L-BFGS-B
Dual annealing,0.8706493529027148,0.05043251620254698,0.0,150,0.0,iterations=1000000; method=SLSQP
Dual annealing,0.8771008945790744,0.06037392053606576,0.02,147.92,14.707821048680188,iterations=1000000; method=CG
Dual annealing,0.9490767547130667,0.05021010299109075,0.08,150,0.0,iterations=1000000; method=Powell
Dual annealing,0.8763120221465572,0.04991363864608152,0.0,150,0.0,iterations=1000000; method=Nelder-Mead
Dual annealing,0.8659592782323038,0.0545243006466677,0.0,150,0.0,iterations=1000000; method=BFGS
Dual annealing,0.8589194129047873,0.059162344399015354,0.0,150,0.0,iterations=1000000; method=TNC
Dual annealing,0.8704526499142244,0.054902356685594005,0.0,150,0.0,iterations=1000000; method=trust-constr
Dual annealing,0.916660290229809,0.054214942132502976,0.06,197.8,14.579829511054943,iterations=1000000; method=COBYLA
Dual annealing,0.8916090877455481,0.05464113609385229,0.02,197.04,20.930360723121808,iterations=1000000; method=L-BFGS-B
Dual annealing,0.8950911398796016,0.055040180702211595,0.02,198.76,8.76812408671319,iterations=1000000; method=SLSQP
Dual annealing,0.8776643416539294,0.0506503131117698,0.02,200,0.0,iterations=1000000; method=CG
Dual annealing,0.9514701670742101,0.046498715397044255,0.06,198.22,12.586500705120546,iterations=1000000; method=Powell
Dual annealing,0.8862400056181515,0.04575513959310001,0.0,200,0.0,iterations=1000000; method=Nelder-Mead
Dual annealing,0.873363090550285,0.05065741455499107,0.0,200,0.0,iterations=1000000; method=BFGS
Dual annealing,0.8801647570006175,0.05394122075455536,0.04,199.54,2.73458574260773,iterations=1000000; method=TNC
Dual annealing,0.8821901303529545,0.0639056323515937,0.06,195.78,24.207681358087434,iterations=1000000; method=trust-constr
Dual annealing,0.9599214122526059,0.0433655776152435,0.16,382.32,66.04124870573122,iterations=1000000; method=COBYLA
Dual annealing,0.9359650515342934,0.044242939240769635,0.04,396.42,20.85918776668244,iterations=1000000; method=L-BFGS-B
Dual annealing,0.928354745477246,0.0521243862175511,0.12,379.84,74.13924020905198,iterations=1000000; method=SLSQP
Dual annealing,0.9281885956872681,0.0497405022214897,0.08,394.96,21.52924920726618,iterations=1000000; method=CG
Dual annealing,0.978903928080148,0.03391399702227598,0.36,399.44,3.9597979746446663,iterations=1000000; method=Powell
Dual annealing,0.9513206799504617,0.048313695302119354,0.24,365.98,90.45880559792994,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9286676766660461,0.041952442528565795,0.04,390.5,50.15577774111699,iterations=1000000; method=BFGS
Dual annealing,0.9309511430629549,0.050702552729495795,0.22,373.66,61.68306419239616,iterations=1000000; method=TNC
Dual annealing,0.9404672510720039,0.045581045222805386,0.14,395.42,15.582682695864662,iterations=1000000; method=trust-constr
Dual annealing,0.9736273596190196,0.031849359332992856,0.38,550,116.41095396946815,iterations=1000000; method=COBYLA
Dual annealing,0.9627216578490093,0.04094924114201031,0.42,535.64,113.37417911409952,iterations=1000000; method=L-BFGS-B
Dual annealing,0.9623374408448951,0.038557484259398034,0.4,526.6,125.21508026803565,iterations=1000000; method=SLSQP
Dual annealing,0.9620212778071489,0.04261115163293349,0.34,551.66,103.33768895801606,iterations=1000000; method=CG
Dual annealing,0.981037796190751,0.02997309416987559,0.44,555.02,104.58596503179885,iterations=1000000; method=Powell
