convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.7702676828092266,0.1667200299194506,0.05,24.75,1.118033988749895,method=COBYLA
Dual annealing,0.6498574133744998,0.17230249808492332,0.05,24.5,2.23606797749979,method=L-BFGS-B
Dual annealing,0.6575100993197368,0.11985437884601943,0.0,25,0.0,method=SLSQP
Dual annealing,0.6861035174827078,0.12972209759430897,0.0,25,0.0,method=CG
Dual annealing,0.764090751436321,0.19754515182998414,0.05,24.4,2.6832815729997477,method=Powell
Dual annealing,0.6022932155875318,0.24567653384588203,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.6053335146596441,0.13173925730291722,0.0,25,0.0,method=BFGS
Dual annealing,0.6307890605208245,0.13176893341080947,0.0,25,0.0,method=trust-constr
Dual annealing,0.8303534093374616,0.1380174825105439,0.05,48.55,6.48459713474939,method=COBYLA
Dual annealing,0.7273601686483111,0.07568659051950402,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.6954166984378175,0.12461333363197977,0.0,50,0.0,method=SLSQP
Dual annealing,0.7109602706104633,0.1056858584447585,0.0,50,0.0,method=CG
Dual annealing,0.8123297039616143,0.10104625188317491,0.0,50,0.0,method=Powell
Dual annealing,0.7152480983940684,0.09261063820004396,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.7232424577962469,0.11350303001168122,0.0,50,0.0,method=BFGS
Dual annealing,0.6936986877992726,0.1179221355173636,0.0,50,0.0,method=trust-constr
Dual annealing,0.9305226472208867,0.07884165786458211,0.35,81.75,30.34342901206992,method=COBYLA
Dual annealing,0.7794942690870414,0.0749316788663307,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.7859913300404676,0.08770981863920005,0.05,99.5,2.23606797749979,method=SLSQP
Dual annealing,0.7964318949325087,0.10399175416083666,0.1,92.7,23.299198088752913,method=CG
Dual annealing,0.9109300807406878,0.08038225957535843,0.15,90.95,22.889839161560424,method=Powell
Dual annealing,0.7773774842992098,0.11370217689455822,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.7693420375554537,0.09399680781086613,0.0,100,0.0,method=BFGS
Dual annealing,0.7980508823117511,0.10192477100573424,0.0,100,0.0,method=trust-constr
Dual annealing,0.9336086166190967,0.08875114274826502,0.35,152.45,74.95646104660744,method=COBYLA
Dual annealing,0.8356459339744646,0.06936000338025404,0.0,200,0.0,method=L-BFGS-B
Dual annealing,0.8272093863399564,0.060841996532541465,0.0,200,0.0,method=SLSQP
Dual annealing,0.8224074560087048,0.06812582628990116,0.0,200,0.0,method=CG
Dual annealing,0.9391360378035343,0.06779993737679904,0.2,181.1,52.428296899570114,method=Powell
Dual annealing,0.8398067560575728,0.06535092884150405,0.05,192.9,31.752165280497014,method=Nelder-Mead
Dual annealing,0.8557473365794145,0.07204319273869271,0.0,200,0.0,method=BFGS
Dual annealing,0.8222343333834149,0.06502878938115693,0.0,200,0.0,method=trust-constr
Dual annealing,0.956126725441446,0.0657713998455445,0.3,341.95,118.76003004732739,method=COBYLA
Dual annealing,0.916253963928542,0.06408983415869351,0.1,389.8,43.31961996237052,method=L-BFGS-B
Dual annealing,0.8843402633312076,0.0647905718891615,0.1,385.65,45.64540099044971,method=SLSQP
Dual annealing,0.9226768573323961,0.058361363022972235,0.1,395.6,13.558450462621767,method=CG
Dual annealing,0.9687174002519726,0.05512902105047586,0.45,281.15,137.31840640220852,method=Powell
Dual annealing,0.9452571843116826,0.05426236255668708,0.25,367.6,82.12660316467753,method=Nelder-Mead
Dual annealing,0.9446009815621603,0.05907444856061087,0.25,377.05,50.26296638155854,method=BFGS
Dual annealing,0.9186884119573593,0.06561207500470191,0.1,385.95,43.31339284794023,method=trust-constr
Dual annealing,0.9764516485080156,0.043623666261012974,0.55,518.55,314.0012529307889,method=COBYLA
Dual annealing,0.9657674967995236,0.04390688795006461,0.4,698.85,160.7015131098319,method=L-BFGS-B
Dual annealing,0.971857011047748,0.03983745601024742,0.55,640.35,190.88775290868276,method=SLSQP
Dual annealing,0.9591671857320466,0.04497875625541527,0.5,623.4,225.941864902876,method=CG
Dual annealing,0.9903097939262882,0.027363432319042834,0.6,462.85,328.82714624140016,method=Powell
Dual annealing,0.9669235480349897,0.04130542911828612,0.5,687.3,138.51129537827742,method=Nelder-Mead
Dual annealing,0.9693333969087188,0.04093334587373164,0.55,620.4,203.7199832587549,method=BFGS
Dual annealing,0.9592495242255161,0.04089168217155455,0.35,717.85,147.64832863046036,method=trust-constr
Dual annealing,0.9822047323806484,0.038480808657300976,0.5,971.05,681.1869265828349,method=COBYLA
Dual annealing,0.9807147085793914,0.04077182525301955,0.7,857.05,517.5775024599036,method=L-BFGS-B
Dual annealing,0.9793544083112817,0.035595219580030674,0.55,1054.85,569.4461089977098,method=SLSQP
Dual annealing,0.9824297363624273,0.03150658199946248,0.55,1081.65,572.9553371957126,method=CG
Dual annealing,0.9962372871769891,0.01668999765312701,0.85,546.9,508.00382302747124,method=Powell
Dual annealing,0.987112652220932,0.027067090610714585,0.65,942.15,572.9028828325921,method=Nelder-Mead
Dual annealing,0.9889569204451528,0.02719840373992648,0.65,997.15,532.6154211456004,method=BFGS
Dual annealing,0.9842263702508054,0.03820764384481967,0.7,788.05,614.3609838043532,method=trust-constr
