pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.8948568882219684,0.07310508145288638,0.0,25,0.0,method=COBYLA
Dual annealing,0.8746722500538598,0.06126780929135765,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.8819274231369584,0.05728285382858594,0.0,25,0.0,method=SLSQP
Dual annealing,0.8820665445820842,0.056837495833447556,0.0,25,0.0,method=CG
Dual annealing,0.8927265502375874,0.08106408469226423,0.0,25,0.0,method=Powell
Dual annealing,0.8657041903812946,0.07480229544534185,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.87296481515102,0.0635760703825066,0.0,25,0.0,method=BFGS
Dual annealing,0.846282342603739,0.08005705728104906,0.0,25,0.0,method=trust-constr
Dual annealing,0.9502252250121547,0.033094190287425336,0.0,50,0.0,method=COBYLA
Dual annealing,0.886014729199284,0.05039036930440228,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.8870425417340557,0.05132255951814811,0.0,50,0.0,method=SLSQP
Dual annealing,0.9023623051393017,0.06863946920538333,0.0,50,0.0,method=CG
Dual annealing,0.9453658864935259,0.054973773202312726,0.0,50,0.0,method=Powell
Dual annealing,0.9006929032573403,0.04669275785703778,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.9021046496853888,0.061491076324489816,0.0,50,0.0,method=BFGS
Dual annealing,0.9057395304947348,0.0504666305528811,0.0,50,0.0,method=trust-constr
Dual annealing,0.9795462102589821,0.01584126721739866,0.0,100,0.0,method=COBYLA
Dual annealing,0.9340791475586706,0.032351577466540625,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.9409894268308803,0.03618831316995912,0.05,95.25,21.242645786248,method=SLSQP
Dual annealing,0.9427555744698866,0.03867149532524242,0.0,100,0.0,method=CG
Dual annealing,0.9734746982634703,0.01812467858370156,0.05,95.25,21.242645786248,method=Powell
Dual annealing,0.9523291633036808,0.024745774740205992,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.9379953407634359,0.028531288630081093,0.0,100,0.0,method=BFGS
Dual annealing,0.9344469606867589,0.03551931616736327,0.0,100,0.0,method=trust-constr
Dual annealing,0.9940231526717972,0.007694452982601536,0.25,184.65,32.951758997853695,method=COBYLA
Dual annealing,0.9762688516341217,0.01887777637569334,0.15,188.05,43.28178783154338,method=L-BFGS-B
Dual annealing,0.9842116783514395,0.013934608831035653,0.1,195.2,15.199030439991542,method=SLSQP
Dual annealing,0.9746420099212848,0.017248106580509282,0.15,192.85,17.499699245535922,method=CG
Dual annealing,0.986761860098304,0.015636047294354295,0.05,197.3,12.074767078498864,method=Powell
Dual annealing,0.9792860402381138,0.016527833094993807,0.1,199.05,3.03445130737702,method=Nelder-Mead
Dual annealing,0.9879565113494653,0.01263958723813907,0.3,178.55,40.618216032763065,method=BFGS
Dual annealing,0.983224065246298,0.01590358557465338,0.2,185.25,42.04368029361344,method=trust-constr
Dual annealing,0.9981963005476482,0.002519186784981508,0.6,314.2,114.31608994823358,method=COBYLA
Dual annealing,0.9985377816109491,0.004379614508686058,0.6,316.5,92.34688607863859,method=L-BFGS-B
Dual annealing,0.9951990910604771,0.009703332329465054,0.35,371.7,60.64833924050665,method=SLSQP
Dual annealing,0.9987612455923556,0.004437351588077936,0.55,341.95,78.0286553301515,method=CG
Dual annealing,0.9980541455597614,0.006438647821657761,0.55,320.3,98.81247524051756,method=Powell
Dual annealing,0.9963488734470569,0.009027423487306407,0.55,329.8,87.45802000478798,method=Nelder-Mead
Dual annealing,0.9991085343352835,0.0039453683121327965,0.6,329.1,79.34594474431836,method=BFGS
Dual annealing,0.9956925298526661,0.009343133737048382,0.65,300.45,106.36801804658153,method=trust-constr
Dual annealing,1.0,0.0,1.0,295.9,120.4464939080289,method=COBYLA
Dual annealing,0.9999987434682706,5.6193807259156115e-06,0.95,443.8,188.42801222077804,method=L-BFGS-B
Dual annealing,0.9999987434682706,5.6193807259156115e-06,0.95,389.1,176.5743916582291,method=SLSQP
Dual annealing,1.0,0.0,1.0,356.15,126.5914585128912,method=CG
Dual annealing,1.0,0.0,1.0,360,138.81149656619718,method=Powell
Dual annealing,1.0,0.0,1.0,339.95,169.66669337882809,method=Nelder-Mead
Dual annealing,0.9999987434682706,5.6193807259156115e-06,0.95,386.65,172.19275460030863,method=BFGS
Dual annealing,0.9999987434682706,5.6193807259156115e-06,0.95,331.6,148.21975150715272,method=trust-constr
Dual annealing,1.0,0.0,1.0,320.75,125.4863695680468,method=COBYLA
Dual annealing,1.0,0.0,1.0,367.55,166.94136222354433,method=L-BFGS-B
Dual annealing,1.0,0.0,1.0,385.7,154.2329407098237,method=SLSQP
Dual annealing,1.0,0.0,1.0,368,199.6636645646083,method=CG
Dual annealing,1.0,0.0,1.0,420.5,160.16685378888974,method=Powell
Dual annealing,1.0,0.0,1.0,341.85,154.17292922320428,method=Nelder-Mead
Dual annealing,1.0,0.0,1.0,360.75,156.23257797608227,method=BFGS
Dual annealing,1.0,0.0,1.0,353.65,180.73309049534896,method=trust-constr
