pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.9275840822756111,0.07341958858538132,0.0,25,0.0,method=COBYLA
Dual annealing,0.8400020683544114,0.0717546681993001,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.8115956597201349,0.07946348204543531,0.0,25,0.0,method=SLSQP
Dual annealing,0.83678278767229,0.07449183919080483,0.0,25,0.0,method=CG
Dual annealing,0.9065666214291057,0.09066751569310445,0.05,24.5,2.23606797749979,method=Powell
Dual annealing,0.8411656386808924,0.09301740866662704,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.8489884074981194,0.09102285315365127,0.0,25,0.0,method=BFGS
Dual annealing,0.8313974834044808,0.0755113464312769,0.0,25,0.0,method=trust-constr
Dual annealing,0.9160988256026116,0.0804387907321044,0.0,50,0.0,method=COBYLA
Dual annealing,0.9028452173749658,0.05856462813972171,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.8880953414179931,0.06717208783981966,0.0,50,0.0,method=SLSQP
Dual annealing,0.9122704067212197,0.061302949890144405,0.05,48.65,6.037383539249432,method=CG
Dual annealing,0.9067551664284335,0.08768083238409959,0.05,49.55,2.0124611797498106,method=Powell
Dual annealing,0.8732985726350365,0.07059810741781954,0.05,49.85,0.6708203932499369,method=Nelder-Mead
Dual annealing,0.902591681453126,0.05944059637845727,0.0,50,0.0,method=BFGS
Dual annealing,0.8714942852826707,0.05802355989028941,0.0,50,0.0,method=trust-constr
Dual annealing,0.9730075712192346,0.016140823804491666,0.05,98.8,5.366563145999495,method=COBYLA
Dual annealing,0.9471072663457016,0.03204535557094466,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.9357368080567361,0.03555250633281685,0.0,100,0.0,method=SLSQP
Dual annealing,0.9279189219605056,0.04786639567347158,0.0,100,0.0,method=CG
Dual annealing,0.9462063055283739,0.06225776245870571,0.05,97.3,12.074767078498864,method=Powell
Dual annealing,0.9117536712475335,0.06884775978559461,0.05,99.75,1.118033988749895,method=Nelder-Mead
Dual annealing,0.9158584846644862,0.04799071357172737,0.0,100,0.0,method=BFGS
Dual annealing,0.9425638876624906,0.03273291785781136,0.0,100,0.0,method=trust-constr
Dual annealing,0.9827351014467611,0.017204009239371883,0.3,171.1,51.439182280477695,method=COBYLA
Dual annealing,0.9839426628902224,0.019970804668885237,0.25,188.5,25.00631499189123,method=L-BFGS-B
Dual annealing,0.9758313870233957,0.025849522386142774,0.2,188.5,30.20717934879929,method=SLSQP
Dual annealing,0.9756730995976558,0.019889578090023265,0.05,198,8.94427190999916,method=CG
Dual annealing,0.9817964268237395,0.014231642400742333,0.1,188.35,36.951283718174835,method=Powell
Dual annealing,0.980041591462021,0.018004888399705765,0.15,193.45,16.548095772148848,method=Nelder-Mead
Dual annealing,0.9680870065347151,0.023857602982147088,0.15,194.45,17.901705299540012,method=BFGS
Dual annealing,0.9788832583048486,0.019834651280577594,0.15,188,40.54756790681649,method=trust-constr
Dual annealing,0.9968466700222776,0.005501512404572193,0.65,283.35,120.45932923605378,method=COBYLA
Dual annealing,0.9949900219218415,0.007088809495449838,0.55,318.7,90.13621271223494,method=L-BFGS-B
Dual annealing,0.9938877274348541,0.010144339317993207,0.6,324.9,101.96278991041677,method=SLSQP
Dual annealing,0.9960177057226717,0.006821219053793573,0.65,318.7,91.86380078538467,method=CG
Dual annealing,0.9951978322335316,0.009516789875209522,0.7,299.3,91.7399643156219,method=Powell
Dual annealing,0.992408288968341,0.010068921212708557,0.45,343.6,78.55832563335213,method=Nelder-Mead
Dual annealing,0.9959994107228033,0.009346137116136155,0.75,297.5,106.40711293992769,method=BFGS
Dual annealing,0.9967269167601267,0.004242099671938407,0.55,338.05,79.0892067957376,method=trust-constr
Dual annealing,0.9975757348913014,0.006626751423187908,0.85,429.05,195.70533032033,method=COBYLA
Dual annealing,1.0,0.0,1.0,309.75,131.0375096961493,method=L-BFGS-B
Dual annealing,0.9978542071974452,0.006604610890444013,0.9,408.4,224.27694346147365,method=SLSQP
Dual annealing,0.9966451279828836,0.011046086314876911,0.9,370.5,214.24223869747362,method=CG
Dual annealing,0.9989271035987226,0.004798138572142273,0.95,372.8,156.5972373218701,method=Powell
Dual annealing,0.9989271035987226,0.004798138572142273,0.95,349.3,196.98466411052624,method=Nelder-Mead
Dual annealing,0.9960763195358621,0.007871363003668839,0.75,480.9,246.83105238412088,method=BFGS
Dual annealing,0.9975757348913014,0.006626751423187908,0.85,404.1,215.33154363495035,method=trust-constr
Dual annealing,1.0,0.0,1.0,397.85,290.60522598263964,method=COBYLA
Dual annealing,1.0,0.0,1.0,357.6,225.61107662244078,method=L-BFGS-B
Dual annealing,1.0,0.0,1.0,449.15,296.02547454391043,method=SLSQP
Dual annealing,0.9973141817997374,0.006856667651079031,0.85,573.45,498.13214004656277,method=CG
Dual annealing,1.0,0.0,1.0,389.75,352.48379955306945,method=Powell
Dual annealing,1.0,0.0,1.0,399,290.19122551934794,method=Nelder-Mead
Dual annealing,1.0,0.0,1.0,352.65,164.63045539056637,method=BFGS
Dual annealing,1.0,0.0,1.0,438.6,235.0613357805732,method=trust-constr
