pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.9380603196472898,0.0522839048138003,0.0,50,0.0,iterations=1000000; method=COBYLA
Dual annealing,0.8725262330495048,0.0703953960071231,0.0,50,0.0,iterations=1000000; method=L-BFGS-B
Dual annealing,0.8751410985107689,0.06210942287798004,0.0,50,0.0,iterations=1000000; method=SLSQP
Dual annealing,0.8780496530927642,0.06590451178234957,0.0,50,0.0,iterations=1000000; method=CG
Dual annealing,0.9261456717691317,0.06530685402771426,0.02,50,0.0,iterations=1000000; method=Powell
Dual annealing,0.8765962556327819,0.0705148068001274,0.0,50,0.0,iterations=1000000; method=Nelder-Mead
Dual annealing,0.8891004443959852,0.06459498792821212,0.02,49.94,0.4242640687119285,iterations=1000000; method=BFGS
Dual annealing,0.8847635498467737,0.06713777016530215,0.0,50,0.0,iterations=1000000; method=TNC
Dual annealing,0.890838994758749,0.06401782932740316,0.0,50,0.0,iterations=1000000; method=trust-constr
Dual annealing,0.9602286731722753,0.03242074777332846,0.0,100,0.0,iterations=1000000; method=COBYLA
Dual annealing,0.9354317898460186,0.035841402520576104,0.04,98.04,11.128122125534762,iterations=1000000; method=L-BFGS-B
Dual annealing,0.9359828068404494,0.0353274813927791,0.02,99.12,6.222539674441618,iterations=1000000; method=SLSQP
Dual annealing,0.9283576503286233,0.04330812426334264,0.02,99.98,0.1414213562373095,iterations=1000000; method=CG
Dual annealing,0.9561828825722424,0.04493808060364886,0.04,98.74,8.909545442950499,iterations=1000000; method=Powell
Dual annealing,0.9356732151966354,0.04775885622107525,0.06,98.44,6.728434939470982,iterations=1000000; method=Nelder-Mead
Dual annealing,0.927080537249189,0.04653359760666699,0.02,99.78,1.5556349186104046,iterations=1000000; method=BFGS
Dual annealing,0.9286408094167765,0.04627462660372651,0.02,99.48,3.6769552621700474,iterations=1000000; method=TNC
Dual annealing,0.9323036070926064,0.04275784555741519,0.02,99.36,4.525483399593904,iterations=1000000; method=trust-constr
Dual annealing,0.9769100543786268,0.015045457143604212,0.1,146.94,16.449564227216054,iterations=1000000; method=COBYLA
Dual annealing,0.959629821834609,0.025661506466092106,0.04,147.6,16.97056274847714,iterations=1000000; method=L-BFGS-B
Dual annealing,0.9606251579078426,0.0240090367538581,0.06,147.36,12.382937569782982,iterations=1000000; method=SLSQP
Dual annealing,0.9677653098313955,0.02378484741306616,0.14,144.36,16.923308404296684,iterations=1000000; method=CG
Dual annealing,0.9749738063846585,0.015593779672181214,0.14,150,0.0,iterations=1000000; method=Powell
Dual annealing,0.9657916456422609,0.025191773021121466,0.06,148.56,6.366878580367531,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9570749566463665,0.033908762060164355,0.08,146.74,12.82187225654917,iterations=1000000; method=BFGS
Dual annealing,0.958274499640298,0.02730563561019555,0.04,148.84,7.7810864358680005,iterations=1000000; method=TNC
Dual annealing,0.9509974839544235,0.04019435633817236,0.08,148.28,6.552893113981435,iterations=1000000; method=trust-constr
