pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.9756078919176456,0.018045030747282573,0.0,25,0.0,method=COBYLA
Dual annealing,0.9649747083190827,0.029412138113483352,0.0,25,0.0,method=L-BFGS-B
Dual annealing,0.9425766904414212,0.039337588844955744,0.0,25,0.0,method=SLSQP
Dual annealing,0.9602403097496799,0.024634558582045458,0.0,25,0.0,method=CG
Dual annealing,0.9642225622843195,0.046554784804007716,0.0,25,0.0,method=Powell
Dual annealing,0.9590169375536841,0.022779347169883894,0.0,25,0.0,method=Nelder-Mead
Dual annealing,0.9455703631864051,0.052245763811903365,0.0,25,0.0,method=BFGS
Dual annealing,0.9513244375575306,0.028470987127892828,0.0,25,0.0,method=trust-constr
Dual annealing,0.9795493878850858,0.02172060736033748,0.15,45.7,10.780586840779074,method=COBYLA
Dual annealing,0.9725617724177203,0.020041344641559503,0.0,50,0.0,method=L-BFGS-B
Dual annealing,0.9571620268768973,0.024767323141866523,0.0,50,0.0,method=SLSQP
Dual annealing,0.9629615784945128,0.024945983072357823,0.0,50,0.0,method=CG
Dual annealing,0.9883703712361123,0.010146474388592877,0.2,48.4,3.393492223902128,method=Powell
Dual annealing,0.971224175877823,0.01371240781776824,0.0,50,0.0,method=Nelder-Mead
Dual annealing,0.969481205769507,0.018442855236868536,0.0,50,0.0,method=BFGS
Dual annealing,0.9617518202781691,0.027887564709268932,0.0,50,0.0,method=trust-constr
Dual annealing,0.9860442584240051,0.010437636830402025,0.15,93.1,21.78821506662429,method=COBYLA
Dual annealing,0.9756391495546572,0.010824207450671145,0.0,100,0.0,method=L-BFGS-B
Dual annealing,0.9768120098956873,0.015746711252526843,0.0,100,0.0,method=SLSQP
Dual annealing,0.9815211023533847,0.009280752508765248,0.0,100,0.0,method=CG
Dual annealing,0.9889553305625559,0.00623249592322523,0.0,100,0.0,method=Powell
Dual annealing,0.9810565580831334,0.008278487978531686,0.0,100,0.0,method=Nelder-Mead
Dual annealing,0.9788325118607,0.0093790657466549,0.0,100,0.0,method=BFGS
Dual annealing,0.9782294010659397,0.014116787346092752,0.0,100,0.0,method=trust-constr
Dual annealing,0.9911019775180808,0.006704500261851862,0.2,191.35,22.366033928352397,method=COBYLA
Dual annealing,0.9868717627266124,0.007732149594384857,0.0,200,0.0,method=L-BFGS-B
Dual annealing,0.9865334346316977,0.008888318484494164,0.0,200,0.0,method=SLSQP
Dual annealing,0.9869086196813391,0.007305258190768858,0.0,200,0.0,method=CG
Dual annealing,0.9925146221460421,0.006664830758594804,0.15,190.2,29.197332250161413,method=Powell
Dual annealing,0.9889971845452115,0.00727583681515482,0.0,200,0.0,method=Nelder-Mead
Dual annealing,0.9868740921240052,0.00759174067442185,0.0,200,0.0,method=BFGS
Dual annealing,0.9862335742543836,0.0070855880866540115,0.0,200,0.0,method=trust-constr
Dual annealing,0.9953467517892437,0.005465749541388169,0.5,317.2,121.13133368373354,method=COBYLA
Dual annealing,0.9941076385833474,0.006029839075655377,0.15,383.35,53.89392603214108,method=L-BFGS-B
Dual annealing,0.9925149218191937,0.006409216877599341,0.15,387.25,34.324879729156414,method=SLSQP
Dual annealing,0.9942979268407611,0.005759274370653695,0.25,364.1,82.27930608923677,method=CG
Dual annealing,0.9970262305196711,0.003420510464295712,0.4,301.55,137.59914129169022,method=Powell
Dual annealing,0.9977065625780502,0.003392578707178173,0.2,376.6,64.39548856378389,method=Nelder-Mead
Dual annealing,0.9955481964488587,0.005772736998493244,0.3,360.65,79.86783490637254,method=BFGS
Dual annealing,0.9952129138730583,0.006674230186057775,0.45,324.75,128.13351383779755,method=trust-constr
Dual annealing,0.9974540516894359,0.0039023511431352433,0.45,525.4,339.20470453539906,method=COBYLA
Dual annealing,0.9981098351961202,0.003721250752602262,0.5,632,229.43706854179564,method=L-BFGS-B
Dual annealing,0.9974389449799375,0.0039994084135967275,0.45,693.85,175.62977657861046,method=SLSQP
Dual annealing,0.9969625277344186,0.003916949767834747,0.35,667.6,248.87502676517872,method=CG
Dual annealing,0.9981391069447862,0.003049859070451007,0.55,509.45,315.69463510104026,method=Powell
Dual annealing,0.9943365726080777,0.0038272028470169393,0.2,739.95,143.20742225692663,method=Nelder-Mead
Dual annealing,0.9975652803544982,0.0031746777074060247,0.45,672.9,203.25014404086306,method=BFGS
Dual annealing,0.9978919540553087,0.0032909766471565915,0.25,723.7,184.10440401833785,method=trust-constr
Dual annealing,0.9989748134094882,0.002333936535741033,0.65,930.15,623.5312236304652,method=COBYLA
Dual annealing,0.9993604265902735,0.002490170977665231,0.75,794.45,562.0475232763264,method=L-BFGS-B
Dual annealing,0.999182833731573,0.001957271136142834,0.6,1083.65,514.1993546434976,method=SLSQP
Dual annealing,0.998995058514327,0.002167483647654014,0.5,1059.8,566.1211140643614,method=CG
Dual annealing,0.9993566887504087,0.0019800702472005513,0.9,671,587.2272043031421,method=Powell
Dual annealing,0.9993339278893547,0.0024818769909831615,0.6,1076.4,495.44370331844436,method=Nelder-Mead
Dual annealing,0.9996475067147745,0.0014343547664119962,0.85,954.1,508.0118005260156,method=BFGS
Dual annealing,0.9984539745430667,0.003497823079885858,0.6,1188.1,474.8988701208977,method=trust-constr
