convolution_P100_processed,,,,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,,,,
Genetic local search,0.769089297118552,0.191198750470881,0.02,50.78,0.41845195759648,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=Hamming
Genetic local search,0.691668576517165,0.320862470113482,0.04,47.2,8.85253336275981,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=adjacent
Genetic local search,0.764614601941571,0.194589003122963,0.04,50.6,0.494871659305394,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=Hamming
Genetic local search,0.660321908091546,0.355367019764582,0.04,44.58,11.1081694518687,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=adjacent
Genetic local search,0.776809949096948,0.166551418278411,0.02,50.8,0.404061017820884,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=Hamming
Genetic local search,0.683854760588772,0.328335810775271,0.04,46.22,9.56458177286367,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function RTS at 0x7f3225cbd160>, nbour_method=adjacent
Genetic local search,0.78622366286371,0.13213248236678,0,50.78,0.41845195759648,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=Hamming
Genetic local search,0.679150243868677,0.302288792334879,0,46.52,9.39439694059981,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=adjacent
Genetic local search,0.761118385617785,0.140901890626448,0,50.6,0.494871659305394,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=Hamming
Genetic local search,0.672166476624955,0.34571792023112,0.08,44.48,10.0147646105179,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=adjacent
Genetic local search,0.648224369873086,0.280468862244323,0,50.64,0.484873221385061,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=Hamming
Genetic local search,0.599315131497032,0.390425197067031,0,41.6,13.0868371321129,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function select_best_half at 0x7f3225cbd1f0>, nbour_method=adjacent
Genetic local search,0.663433835472708,0.269857996889822,0,50.84,0.370328039909021,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=Hamming
Genetic local search,0.6833467185908,0.325003877264037,0.04,46,8.84792146697258,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=adjacent
Genetic local search,0.69139268403486,0.272795816211667,0.02,50.48,0.504672049504448,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=Hamming
Genetic local search,0.582016419982355,0.360216954229969,0,43.34,11.5663304466023,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=adjacent
Genetic local search,0.696726696049639,0.25378663226071,0,50.74,0.443087497693452,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=Hamming
Genetic local search,0.462027113949446,0.401016995150278,0.04,39.08,13.0068114023823,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament2_selection at 0x7f3225cbd280>, nbour_method=adjacent
Genetic local search,0.736502709865283,0.215817738660581,0,50.84,0.370328039909021,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=Hamming
Genetic local search,0.578182150326062,0.380628850117065,0.04,41.92,12.0675648930917,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=adjacent
Genetic local search,0.732012113486911,0.276789929002472,0.02,50.4,0.494871659305394,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=Hamming
Genetic local search,0.573465355022792,0.37967686129365,0.04,39.62,13.1752550995711,pop_size=2, reproductor=<function twopoint_crossover at 0x7f3225cb5790>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=adjacent
Genetic local search,0.702861807581261,0.269411852202126,0,50.64,0.484873221385061,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=Hamming
Genetic local search,0.630042872409583,0.344755837577989,0,40.56,13.1834156795419,pop_size=2, reproductor=<function onepoint_crossover at 0x7f3225cb5700>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament4_selection at 0x7f3225cbd310>, nbour_method=adjacent
Genetic local search,0.763099054577751,0.168397819295,0,50.8,0.404061017820884,pop_size=2, reproductor=<function uniform_crossover at 0x7f3225cb5670>, hillclimber=<function BestHillclimb at 0x7f32222d4ca0>, selector=<function tournament8_selection at 0x7f3225cbd3a0>, nbour_method=Hamming
