pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic local search,0.6935736342542068,0.13990048849639622,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.8552813009780595,0.0918153004628424,0.1,25.45,0.5104177855340404,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.6943257793458006,0.17674643589011046,0.0,25.55,0.5104177855340404,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.8529315154089662,0.08726954451741138,0.05,25.3,0.47016234598162726,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.6590371433773983,0.12223347653931853,0.0,25.9,0.3077935056255462,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.8387498094846488,0.09025707291507497,0.0,25.35,0.4893604849295929,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.6682270495415635,0.08989834431206699,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.8285360988059086,0.07415817246947788,0.0,25.35,0.4893604849295929,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.7302498417011609,0.12290162856963761,0.0,25.3,0.47016234598162726,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.8329076961704315,0.08628645695162902,0.05,25.35,0.4893604849295929,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.6833713153115731,0.1056766212139328,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.7938770050593956,0.08332221613910536,0.05,25.45,0.5104177855340404,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.6512186932823594,0.1512723251799144,0.05,26,0.0,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.7902415479454723,0.09008403949742472,0.0,25.6,0.5026246899500346,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.597961114382337,0.106836817820894,0.0,25.7,0.47016234598162726,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.818151364095635,0.07627716091072163,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.6486992961984285,0.17061430877878378,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.793859474727378,0.09333808050109745,0.0,25.45,0.5104177855340404,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.6407699384817548,0.13215015605251673,0.0,25.8,0.41039134083406165,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.8220392596360848,0.0996183031286645,0.0,25.6,0.5026246899500346,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.5958347918766841,0.1379819212597575,0.0,25.45,0.5104177855340404,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.7803537758712811,0.05954791026802792,0.0,25.3,0.47016234598162726,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.6683701884096137,0.12838183830668704,0.0,25.95,0.22360679774997896,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.8259996363477661,0.09088467473106489,0.0,25.7,0.47016234598162726,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.6733113405985812,0.13619311793468625,0.0,25.9,0.3077935056255462,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=Hamming
Genetic local search,0.7740615080406414,0.06697845304521559,0.0,25.55,0.6048053188292994,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=adjacent
Genetic local search,0.6454126488541446,0.12508140153808947,0.0,25.3,0.47016234598162726,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=Hamming
Genetic local search,0.8467643314169481,0.08223950280343426,0.0,25.55,0.5104177855340404,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=adjacent
Genetic local search,0.67105613829042,0.12215071917381909,0.0,25.9,0.3077935056255462,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=Hamming
Genetic local search,0.8040616391970627,0.11824830912707232,0.0,25.45,0.5104177855340404,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=adjacent
Genetic local search,0.8595468319019063,0.12120566573776727,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.803733173875924,0.06747579415314273,0.0,25.4,0.5026246899500346,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8581809639658142,0.09399328558043092,0.0,25.5,0.512989176042577,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.8152064727335664,0.09229918367741,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8243445586356782,0.1330063375933677,0.0,25.8,0.41039134083406165,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.8115830419347476,0.07333970916831344,0.05,25.25,0.4442616583193193,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8642630773433582,0.09458502959815855,0.05,25.85,0.36634754853252327,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.802407040845604,0.07253886172401036,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.8431961471029148,0.10972513522724865,0.0,25.6,0.5026246899500346,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.8080724245837194,0.06376749108506523,0.0,25.15,0.36634754853252327,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.8473772979919174,0.1482129035705441,0.0,26,0.0,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.7991088868159667,0.07326668807173643,0.0,25.15,0.36634754853252327,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.8406392375080555,0.10946735874569542,0.0,25.8,0.41039134083406165,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.7624939024072657,0.11474663048227443,0.0,25.35,0.4893604849295929,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.8603344650533408,0.11086701784078752,0.05,25.5,0.512989176042577,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.751227013359868,0.10381268863106666,0.0,24.9,0.7181848464596078,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.8083483669660639,0.16819502362520689,0.0,25.9,0.3077935056255462,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.7940364951501574,0.09642963744193082,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.8665826632541145,0.09242239832119378,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.7886793161396305,0.05973494123749805,0.0,25.2,0.8944271909999159,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.8494954921533642,0.12108260702979648,0.05,25.5,0.512989176042577,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.806284397506714,0.07619173398872459,0.0,24.95,0.22360679774997896,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.8520938340055569,0.13622637330814139,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.7625918539983567,0.058659569555197716,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.8835326923444863,0.09667335628539507,0.05,25.8,0.41039134083406165,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=Hamming
Genetic local search,0.8059725396242318,0.07969809433357147,0.0,25.2,0.6958523739384593,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament8_selection at 0x7f98931cee50>; nbour_method=adjacent
