pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic local search,0.8565253734734326,0.14585614033142832,0.0,25.8,0.41039134083406165,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.9521991916072194,0.03487521035402584,0.0,25.7,0.47016234598162726,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8638944572700776,0.14116607554440996,0.0,25.35,0.4893604849295929,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.9275439029029866,0.05288455549547704,0.0,25.2,0.41039134083406165,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8594188316323471,0.07635954955232988,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=Hamming
Genetic local search,0.9300995396935402,0.04717673434027382,0.0,25.5,0.512989176042577,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function RTS at 0x7f98931cec10>; nbour_method=adjacent
Genetic local search,0.8354853285343429,0.1351054489054075,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.9275093167600067,0.06408689214202812,0.0,25.4,0.5026246899500346,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.8156520004260168,0.12816635698073922,0.0,25.55,0.5104177855340404,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
Genetic local search,0.9388661254335537,0.04392489501925484,0.05,25.45,0.5104177855340404,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=adjacent
Genetic local search,0.8515734039190478,0.09720936749964024,0.0,25.95,0.22360679774997896,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function BestHillclimb at 0x7f98930fb310>; selector=<function select_best_half at 0x7f98931ceca0>; nbour_method=Hamming
