GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.44752821506865575,0.42010848900342596,0.0,15.15,10.539524607275625,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.4365388193970733,0.42276152400158545,0.0,15.65,10.815558967962483,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.36435254291770186,0.41785248938738356,0.0,13.65,10.950967272826922,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.35427229591974735,0.3777518137200836,0.0,14.85,11.136828425023934,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.4961836558910275,0.3495450355743041,0.0,19.4,10.343571611595799,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.4128971046042257,0.35590805605233994,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.3069062700645706,0.3955800536769377,0.0,12.2,10.729202648551485,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.4273915064243994,0.3788471502831407,0.0,15.55,10.30316762738017,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.5016970310462278,0.35206763694487675,0.0,19.15,10.183965725331996,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.4091932918485129,0.3529180996900641,0.0,17.15,11.01804739602497,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.329556840632504,0.384291873957215,0.0,13.9,11.22919128174889,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.3978046948686245,0.3744384756157086,0.0,16.1,11.22919128174889,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.1534507385271645,0.30749577154950947,0.0,8.3,8.736493334826834,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.3540584804205681,0.3426833372906727,0.0,15.55,11.04285908821195,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.44754698542240084,0.38003322067959805,0.0,16.95,10.855389153973732,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.3135367359991802,0.4018945255784729,0.05,12.3,10.64795507918873,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.39788879189469695,0.34366491882360123,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.41745447350420867,0.3694806708766686,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.3237489393750617,0.37112391740345185,0.0,8.9,7.070323449758896,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.02
Genetic algorithm,0.4245993057166355,0.3545211903571905,0.0,9.95,6.125657859407943,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.05
Genetic algorithm,0.3945316427241428,0.3754975257781593,0.0,13.75,9.786537477038223,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.1
Genetic algorithm,0.5580843671088254,0.3521012911021817,0.0,20.4,9.719215909461877,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.2
Genetic algorithm,0.3317887244734677,0.3610713754395476,0.0,15,11.285761872936694,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.3
Genetic algorithm,0.4000958304748871,0.3526568729310917,0.0,17.2,11.057743178900761,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.5
Genetic algorithm,0.3677610458135002,0.3476014327999545,0.0,6.85,4.648429276308515,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.02
Genetic algorithm,0.2926609488771729,0.30768786874182447,0.0,7.95,5.031218331054303,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.05
Genetic algorithm,0.2583705179969817,0.3652775098581565,0.0,10.4,9.466839632716873,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.1
Genetic algorithm,0.45199498883886163,0.3734962772220032,0.0,17.6,10.629650684957173,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.2
Genetic algorithm,0.4942348853641708,0.34993065075375857,0.0,19.4,10.343571611595799,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.3
Genetic algorithm,0.4469738240037561,0.34972243287989957,0.0,18.3,10.765930668451043,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function select_best_half at 0x7f98931ceca0>; mutation=0.5
