pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic algorithm,0.9638456208322229,0.0431411183585392,0.0,25.2,0.41039134083406165,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.9651618819550551,0.046771592963911986,0.0,24.25,4.799945175125496,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.9491147556717113,0.039232117813181804,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.9499136477830389,0.03469398657056146,0.0,26,0.0,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.957637920871113,0.030133471096089083,0.0,26,0.0,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.9506214997141279,0.020887479706189982,0.0,26,0.0,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.9625884412690331,0.046447017246393274,0.0,25.25,0.4442616583193193,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.9708319051256581,0.021718166713127676,0.0,25.05,2.187885304412267,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
Genetic algorithm,0.9718390825441621,0.017997499894566785,0.0,25.85,0.36634754853252327,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.1
Genetic algorithm,0.946080287937859,0.047617004911565966,0.05,25.9,0.3077935056255462,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.2
Genetic algorithm,0.964987761933732,0.032254603823377775,0.05,25.2,3.1220775808830616,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.3
Genetic algorithm,0.9616123882431247,0.024170017438369475,0.0,25.95,0.22360679774997896,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; selector=<function RTS at 0x7f98931cec10>; mutation=0.5
Genetic algorithm,0.968762516824359,0.016730543884009717,0.0,25,1.2565617248750864,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.02
Genetic algorithm,0.9678741698018094,0.023859377342138385,0.05,25.35,0.4893604849295929,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; selector=<function RTS at 0x7f98931cec10>; mutation=0.05
