GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.624451914520693,0.14431822840642158,0.0,25,0.0,nr_particles=25; k=12; scaling=10.0
PSO,0.6706325901630574,0.10632979932051102,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.6678278296813283,0.168587194478452,0.0,25,0.0,nr_particles=25; k=12; scaling=1000.0
PSO,0.6258259904010915,0.11010829600352295,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.6764325617506812,0.15775651022254408,0.0,25,0.0,nr_particles=25; k=8; scaling=100.0
PSO,0.6470958953102985,0.11820320900406642,0.0,25,0.0,nr_particles=25; k=8; scaling=1000.0
PSO,0.6883788742366223,0.11986615035636006,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.6887566552239989,0.18828116730501707,0.0,25,0.0,nr_particles=25; k=5; scaling=100.0
PSO,0.6694149779137444,0.10449811532080329,0.0,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.6707153333886717,0.20336564114817066,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.6431607429635597,0.16493499908194473,0.0,25,0.0,nr_particles=25; k=2; scaling=100.0
PSO,0.6374899891948704,0.1598075472052401,0.0,25,0.0,nr_particles=25; k=2; scaling=1000.0
PSO,0.49656036680833066,0.2893666197626599,0.0,24.75,4.876096367943694,nr_particles=12; k=3; scaling=100.0
PSO,0.5745452923218312,0.3167309222600748,0.0,23.65,8.093369605976696,nr_particles=12; k=3; scaling=1000.0
PSO,0.6157603189593188,0.18612854530112716,0.0,24.75,3.75394529304276,nr_particles=12; k=2; scaling=100.0
PSO,0.5710328909642474,0.24610787778393506,0.0,24.35,4.997631017739674,nr_particles=12; k=2; scaling=1000.0
PSO,0.5090101038113628,0.17943549758668678,0.0,14.7,1.8381913307436342,nr_particles=12; k=1; scaling=100.0
PSO,0.4701264497423291,0.22829695080015378,0.0,12.4,0.8825799501580878,nr_particles=12; k=1; scaling=1000.0
PSO,0.582597819281844,0.3045874691699734,0.0,23.75,7.992595257322144,nr_particles=8; k=4; scaling=100.0
PSO,0.5574677921336897,0.24510759095264398,0.0,22.6,6.3028815465209,nr_particles=8; k=2; scaling=100.0
PSO,0.5335488668246559,0.22071212361129205,0.0,18.1,8.860913580082148,nr_particles=8; k=2; scaling=1000.0
PSO,0.5549344864523166,0.265412696647032,0.0,24.25,2.2448772091610105,nr_particles=8; k=1; scaling=10.0
PSO,0.5668251451184431,0.2562839167361599,0.0,9.4,1.353358395757909,nr_particles=8; k=1; scaling=100.0
PSO,0.4908085510069913,0.22901290579160677,0.0,8.25,0.5501196042201808,nr_particles=8; k=1; scaling=1000.0
PSO,0.5527715889662768,0.1846013489177973,0.0,23.75,2.807414993792051,nr_particles=8; k=1; scaling=10.0
PSO,0.5251624619592296,0.23877228827580418,0.0,9.5,1.4689774459950382,nr_particles=8; k=1; scaling=100.0
PSO,0.55040005936203,0.258481129717454,0.0,8.25,0.7163503994113789,nr_particles=8; k=1; scaling=1000.0
PSO,0.4945498834986641,0.31796067297890795,0.0,22.15,5.993636976871916,nr_particles=5; k=2; scaling=10.0
PSO,0.4719238827321934,0.31612156913105194,0.0,17.1,9.840303803611372,nr_particles=5; k=2; scaling=100.0
PSO,0.35301276121435876,0.2954502889978917,0.0,12.65,9.996183482235924,nr_particles=5; k=2; scaling=1000.0
PSO,0.41236651018827797,0.25517543234069845,0.0,16.4,4.345596682426453,nr_particles=5; k=1; scaling=10.0
PSO,0.4125790976295558,0.26298877378568314,0.0,6.1,1.1192102478745307,nr_particles=5; k=1; scaling=100.0
PSO,0.3068971408489065,0.23487254236122412,0.0,5.1,0.4472135954999579,nr_particles=5; k=1; scaling=1000.0
PSO,0.5652956687435403,0.2819069555053097,0.0,18.35,5.264328817117795,nr_particles=5; k=1; scaling=10.0
PSO,0.3452702147095049,0.30651045816355627,0.0,6.25,1.446411166701189,nr_particles=5; k=1; scaling=100.0
PSO,0.25339306536755857,0.19986854063089105,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.4344475694562304,0.26043085909563235,0.0,18.3,3.6142990876153074,nr_particles=5; k=1; scaling=10.0
PSO,0.3393499817475364,0.27308431640548514,0.0,5.8,1.0052493799000692,nr_particles=5; k=1; scaling=100.0
PSO,0.30079286272868067,0.2808059117874821,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.28650881413596097,0.2659559175654821,0.0,7.9,3.3544942359389096,nr_particles=2; k=1; scaling=10.0
PSO,0.21275408559084494,0.2555037468160689,0.0,2.4,0.6805570473787206,nr_particles=2; k=1; scaling=100.0
PSO,0.09410914247865064,0.1738295658669533,0.0,2,0.0,nr_particles=2; k=1; scaling=1000.0
PSO,0.23095044090681083,0.27400745530550813,0.0,6.6,2.9806392814823783,nr_particles=2; k=1; scaling=10.0
PSO,0.16273729347948315,0.2507815166338932,0.0,2.3,0.47016234598162726,nr_particles=2; k=1; scaling=100.0
PSO,0.26573536968581296,0.3032937642286289,0.0,2,0.0,nr_particles=2; k=1; scaling=1000.0
PSO,0.24240504197489407,0.30344663833322605,0.0,10.35,6.123939220709769,nr_particles=2; k=1; scaling=10.0
PSO,0.16044104806532028,0.24983535907979815,0.0,2.5,0.8885233166386386,nr_particles=2; k=1; scaling=100.0
PSO,0.1386968601748361,0.21282162361238366,0.0,2.15,0.6708203932499369,nr_particles=2; k=1; scaling=1000.0
PSO,0.28748943890861717,0.26879567105219493,0.0,10.6,6.6838375362157265,nr_particles=2; k=1; scaling=10.0
PSO,0.15855542338022924,0.26692652788806437,0.0,2.85,1.1821033884786185,nr_particles=2; k=1; scaling=100.0
PSO,0.10555471307706188,0.25431691144502655,0.0,2,0.0,nr_particles=2; k=1; scaling=1000.0
PSO,0.0641089244912162,0.18372132390488058,0.0,4.25,1.8883298106221302,nr_particles=1; k=1; scaling=10.0
PSO,0.07959428236353672,0.20627840797953076,0.0,1.15,0.36634754853252327,nr_particles=1; k=1; scaling=100.0
PSO,0.08554196859821914,0.1626883219680137,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1457569054087016,0.19738549895690302,0.0,4.4,3.393492223902128,nr_particles=1; k=1; scaling=10.0
PSO,0.037162145095058496,0.0838470130513801,0.0,1.3,0.5712405705774795,nr_particles=1; k=1; scaling=100.0
