GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.8214437154256835,0.06950396949206519,0.0,50,0.0,nr_particles=50; k=25; scaling=100.0
PSO,0.8191564520933642,0.09028054122114676,0.0,50.92,6.505382386916237,nr_particles=50; k=25; scaling=1000.0
PSO,0.7968372196633957,0.09841510643144527,0.0,50.94,6.646803743153546,nr_particles=50; k=16; scaling=10.0
PSO,0.8065266307395543,0.10868775174848745,0.0,50,0.0,nr_particles=50; k=16; scaling=100.0
PSO,0.841852559862708,0.07894123652107055,0.0,50,0.0,nr_particles=50; k=16; scaling=1000.0
PSO,0.8057902322243359,0.09652186756106479,0.0,50,0.0,nr_particles=50; k=10; scaling=10.0
PSO,0.815574005109902,0.10145990351360051,0.0,51.46,7.231478805492395,nr_particles=50; k=10; scaling=100.0
PSO,0.8243115115714286,0.06494561295389427,0.0,50,0.0,nr_particles=50; k=10; scaling=1000.0
PSO,0.8049405655187466,0.08792273508049717,0.0,50.72,5.091168824543142,nr_particles=50; k=5; scaling=10.0
PSO,0.8089292632105786,0.09562434571119723,0.0,50.52,3.676955262170047,nr_particles=50; k=5; scaling=100.0
PSO,0.7950291207745233,0.10417681253128559,0.0,50,0.0,nr_particles=50; k=5; scaling=1000.0
PSO,0.8335554069651269,0.1606183988791584,0.0,52.02,5.490213928399497,nr_particles=25; k=2; scaling=100.0
PSO,0.8225676353897803,0.12526898838165496,0.0,51.58,5.9490695551009125,nr_particles=25; k=2; scaling=1000.0
PSO,0.8516374662418627,0.14263425125543464,0.02,51.62,9.718255491389305,nr_particles=16; k=3; scaling=1000.0
PSO,0.7617329126293031,0.15159189745428625,0.0,49.3,4.353042567197883,nr_particles=16; k=1; scaling=10.0
PSO,0.686659439163918,0.20764668244374554,0.0,19.64,2.513311499571343,nr_particles=16; k=1; scaling=100.0
PSO,0.6236240108624018,0.23562144475293667,0.0,16.16,0.3703280399090206,nr_particles=16; k=1; scaling=1000.0
PSO,0.8078770131041303,0.24879902802182371,0.0,50.26,11.288082934073909,nr_particles=10; k=5; scaling=100.0
PSO,0.7694839126666745,0.25531865023509204,0.0,49.92,11.928083822369349,nr_particles=10; k=5; scaling=1000.0
PSO,0.8170919555442695,0.22794731145954797,0.02,50.3,10.041241487597283,nr_particles=10; k=3; scaling=100.0
PSO,0.7746470430365021,0.22280325992379646,0.0,48.98,12.090627167608902,nr_particles=10; k=3; scaling=1000.0
PSO,0.8132044869736315,0.12404980802398759,0.02,51.14,3.6534021047204086,nr_particles=10; k=2; scaling=10.0
