GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.6023422708871755,0.09984747527448144,0.0,26.05,4.695742752749559,nr_particles=25; k=12; scaling=10.0
PSO,0.622793119913303,0.1780947915682926,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.6362624652236387,0.1397567148577448,0.0,25,0.0,nr_particles=25; k=12; scaling=1000.0
PSO,0.607743369804882,0.19415508290548064,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.6271577752128654,0.17461057993503168,0.0,25,0.0,nr_particles=25; k=8; scaling=100.0
PSO,0.6143958980395734,0.17740111147601315,0.0,25,0.0,nr_particles=25; k=8; scaling=1000.0
PSO,0.6718815059516372,0.1596387791636076,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.6352376446720294,0.11146389432183872,0.0,25,0.0,nr_particles=25; k=5; scaling=100.0
PSO,0.6983363921064172,0.14945917712467327,0.0,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.6232263803521791,0.12377450095648058,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.623221340941927,0.16979988384215566,0.0,25,0.0,nr_particles=25; k=2; scaling=100.0
PSO,0.6418261156013026,0.12626357291832385,0.0,25,0.0,nr_particles=25; k=2; scaling=1000.0
PSO,0.6244397891886252,0.20946685454527514,0.0,25.75,3.4924731095675785,nr_particles=12; k=2; scaling=100.0
PSO,0.5340603164721736,0.24838110270929586,0.0,22.85,5.896252154859408,nr_particles=12; k=2; scaling=1000.0
PSO,0.5451633157922622,0.15523573475812924,0.0,13.6,1.500876936643164,nr_particles=12; k=1; scaling=100.0
PSO,0.5261314656469078,0.2057979387972025,0.0,12.2,0.41039134083406165,nr_particles=12; k=1; scaling=1000.0
PSO,0.5992003165104224,0.28190140805079805,0.0,25.05,7.074602462329597,nr_particles=8; k=4; scaling=100.0
PSO,0.43480703676675964,0.310613645783833,0.0,20.65,9.471703009213119,nr_particles=8; k=4; scaling=1000.0
PSO,0.5381606922837608,0.266408560414884,0.0,25.8,1.3611140947574412,nr_particles=8; k=2; scaling=10.0
PSO,0.564797565468824,0.22500265969186675,0.0,22.6,7.16276923807369,nr_particles=8; k=2; scaling=100.0
PSO,0.46733022319416173,0.304539339452635,0.0,19.3,8.6821050079126,nr_particles=8; k=2; scaling=1000.0
PSO,0.46017674486873156,0.26613561978121025,0.0,24.35,2.7003898354048617,nr_particles=8; k=1; scaling=10.0
PSO,0.3979674019691003,0.23223968208797724,0.0,9.95,2.0894471693929497,nr_particles=8; k=1; scaling=100.0
PSO,0.46039525181488367,0.2537544923697188,0.0,8.2,0.5231483637805969,nr_particles=8; k=1; scaling=1000.0
