convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.5983571769307601,0.13014672709197142,0.0,26.2,5.366563145999495,nr_particles=25; k=12; scaling=10.0
PSO,0.5897449961021283,0.1260953504261575,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.656876616851499,0.13395300103251448,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.6775769276976163,0.0977688149822025,0.0,26.05,4.695742752749559,nr_particles=25; k=8; scaling=100.0
PSO,0.6532475487961693,0.11231888211376458,0.0,25,0.0,nr_particles=25; k=8; scaling=1000.0
PSO,0.677150626256721,0.13909466539356297,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.6526457704917895,0.1261116883592927,0.0,25,0.0,nr_particles=25; k=5; scaling=100.0
PSO,0.6157458442593446,0.14606119912617596,0.0,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.6093686381015149,0.10023838732201923,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.6804923846812801,0.13672815274525685,0.05,25.2,0.8944271909999159,nr_particles=25; k=2; scaling=100.0
PSO,0.6555857161209311,0.1311029355886019,0.0,25.3,1.3416407864998738,nr_particles=25; k=2; scaling=1000.0
PSO,0.622203007214883,0.14542867636499265,0.0,26.15,2.777257261172764,nr_particles=12; k=2; scaling=1000.0
PSO,0.4866162328212042,0.1659940363412625,0.0,17.75,3.1768074010172374,nr_particles=12; k=1; scaling=100.0
PSO,0.5356880087603436,0.1738211885745922,0.0,12.6,1.142481141154959,nr_particles=12; k=1; scaling=1000.0
PSO,0.6105535085660686,0.27697505718364174,0.05,24.9,6.129308366580325,nr_particles=8; k=4; scaling=1000.0
PSO,0.561142914731182,0.2513790878273189,0.0,23.05,6.452049857868509,nr_particles=8; k=2; scaling=100.0
PSO,0.5289415470521123,0.19935858891590091,0.0,22.05,7.33753866662456,nr_particles=8; k=2; scaling=1000.0
PSO,0.5443098117823091,0.1999144651842831,0.05,25.95,0.8255779474818965,nr_particles=8; k=1; scaling=10.0
PSO,0.31996190754225745,0.2059764388890959,0.0,11.45,2.114486375359025,nr_particles=8; k=1; scaling=100.0
PSO,0.531750558686002,0.11214528671004895,0.0,8.15,0.4893604849295929,nr_particles=8; k=1; scaling=1000.0
PSO,0.5070111000433151,0.2146615719928903,0.0,12.2,5.11550789781734,nr_particles=8; k=1; scaling=100.0
PSO,0.5089341071182888,0.20760751477705675,0.0,9.1,3.0244616745881623,nr_particles=8; k=1; scaling=1000.0
PSO,0.6213261482777689,0.14351411174594425,0.0,25.75,0.910465468000326,nr_particles=5; k=2; scaling=10.0
PSO,0.5810704044463397,0.24073840762503834,0.0,22.15,6.183807377676841,nr_particles=5; k=2; scaling=100.0
PSO,0.5192365989587137,0.2527264607204136,0.0,19.15,7.527318667081225,nr_particles=5; k=2; scaling=1000.0
PSO,0.48679697084444756,0.2774093307141845,0.0,24.05,1.8488972531299783,nr_particles=5; k=1; scaling=10.0
PSO,0.3567403982637195,0.2588338840284792,0.0,6.8,2.375311613906246,nr_particles=5; k=1; scaling=100.0
PSO,0.3616739222373734,0.25081072962944645,0.0,5,0.0,nr_particles=5; k=1; scaling=1000.0
PSO,0.5101259890156422,0.20358950431807774,0.0,24.1,2.6137289353275373,nr_particles=5; k=1; scaling=10.0
PSO,0.3302869477208266,0.20413192914474837,0.0,6.95,2.7810448623342614,nr_particles=5; k=1; scaling=100.0
PSO,0.36133954164598975,0.2938961297066526,0.0,5.25,0.4442616583193193,nr_particles=5; k=1; scaling=1000.0
PSO,0.5490208022656798,0.1849591229620432,0.0,22.15,3.717313687682488,nr_particles=5; k=1; scaling=10.0
PSO,0.42918724697242755,0.2147040163106169,0.0,6.55,1.6693837501494848,nr_particles=5; k=1; scaling=100.0
PSO,0.38825898213888865,0.2597084032400547,0.0,5.3,0.5712405705774795,nr_particles=5; k=1; scaling=1000.0
PSO,0.28616060398739285,0.2700910758468459,0.0,14.8,6.4367366691024746,nr_particles=2; k=1; scaling=10.0
