convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.7548473318493734,0.10549822200441714,0.0,25,0.0,nr_particles=25; k=12; scaling=10.0
PSO,0.7715773511636077,0.10785804159617081,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.7751471038128798,0.10517096147855183,0.0,25,0.0,nr_particles=25; k=12; scaling=1000.0
PSO,0.7287409181077255,0.10104478776837174,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.7341977585019657,0.0877764737633368,0.0,26.1,4.919349550499537,nr_particles=25; k=8; scaling=100.0
PSO,0.7786772060962153,0.07737150325705856,0.0,26.1,4.919349550499537,nr_particles=25; k=5; scaling=10.0
PSO,0.7497142204456755,0.10263054200173634,0.0,25.8,3.5777087639996634,nr_particles=25; k=5; scaling=100.0
PSO,0.7625742271705035,0.08258427813255458,0.0,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.7242408403869405,0.10321744964088943,0.0,25,0.0,nr_particles=25; k=2; scaling=100.0
PSO,0.7290915452409037,0.09150802786852047,0.0,25.35,1.5652475842498528,nr_particles=25; k=2; scaling=1000.0
PSO,0.69345247414246,0.12442701449400889,0.0,25.65,3.0135658193191035,nr_particles=12; k=2; scaling=100.0
PSO,0.7250632089877849,0.10874496466314709,0.0,26,1.8637822325921867,nr_particles=12; k=2; scaling=1000.0
PSO,0.5836012451295547,0.2223542225473864,0.0,16.7,2.811629982393618,nr_particles=12; k=1; scaling=100.0
PSO,0.62521318257935,0.1472881328572735,0.0,12.4,0.5982430416161189,nr_particles=12; k=1; scaling=1000.0
PSO,0.6883357180900417,0.18318377811114184,0.0,22.4,6.344496164310241,nr_particles=8; k=2; scaling=1000.0
PSO,0.6123849871830288,0.1346380446772763,0.0,11.95,4.740364187652563,nr_particles=8; k=1; scaling=100.0
PSO,0.5809500936451543,0.20575231766397195,0.0,8.7,1.5927467172350909,nr_particles=8; k=1; scaling=1000.0
PSO,0.639234871643365,0.13912755986345837,0.0,11.1,2.971797258792803,nr_particles=8; k=1; scaling=100.0
PSO,0.49161574704445427,0.27179274076631804,0.0,8.15,0.36634754853252327,nr_particles=8; k=1; scaling=1000.0
PSO,0.6919534438480881,0.22511579407306415,0.0,25.55,0.998683343734455,nr_particles=5; k=2; scaling=10.0
PSO,0.7010255041130062,0.22266347887478966,0.0,18.8,8.685135516925941,nr_particles=5; k=2; scaling=100.0
PSO,0.6087107966863955,0.2792679000407415,0.0,17.85,9.297849213662266,nr_particles=5; k=2; scaling=1000.0
PSO,0.6569069723369149,0.18286907876642763,0.0,22.35,3.616846547390202,nr_particles=5; k=1; scaling=10.0
PSO,0.4882209578988701,0.2990473443601272,0.0,6.7,2.38636477557503,nr_particles=5; k=1; scaling=100.0
PSO,0.5030502809478598,0.2497167766840783,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.6223861110661145,0.19469301334560096,0.0,22.25,3.4622019157269204,nr_particles=5; k=1; scaling=10.0
PSO,0.5451579519930199,0.27210129828721363,0.0,7.8,4.137123333148796,nr_particles=5; k=1; scaling=100.0
PSO,0.5385785966570037,0.19230529673366525,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.5574436053784582,0.2829743904162839,0.0,23.55,3.5611204623500763,nr_particles=5; k=1; scaling=10.0
PSO,0.45310413424533974,0.31855973770909063,0.0,9,4.400956833761446,nr_particles=5; k=1; scaling=100.0
PSO,0.38568452130045056,0.30253290523818305,0.0,5.2,0.5231483637805969,nr_particles=5; k=1; scaling=1000.0
PSO,0.40136002180659697,0.30130798350901855,0.0,11.1,5.95509512054483,nr_particles=2; k=1; scaling=10.0
PSO,0.21105245361139233,0.28671136777930906,0.0,3.05,2.8923674513595623,nr_particles=2; k=1; scaling=100.0
PSO,0.34192756787747114,0.31397422064727787,0.0,2.05,0.22360679774997896,nr_particles=2; k=1; scaling=1000.0
PSO,0.42156148000528154,0.3450213534767679,0.0,11.7,6.562252501598581,nr_particles=2; k=1; scaling=10.0
PSO,0.21369057010117332,0.25298245793039315,0.0,3.75,2.4251966822029964,nr_particles=2; k=1; scaling=100.0
PSO,0.26545490303038505,0.31784732338518656,0.0,2.05,0.22360679774997896,nr_particles=2; k=1; scaling=1000.0
PSO,0.49202224217533796,0.329599941380311,0.0,12.65,6.326843396862376,nr_particles=2; k=1; scaling=10.0
PSO,0.1743163455082962,0.24528952861813363,0.0,2.55,0.6863327411532597,nr_particles=2; k=1; scaling=100.0
PSO,0.26988437865694503,0.29791769312716754,0.0,2,0.0,nr_particles=2; k=1; scaling=1000.0
PSO,0.3998330138009991,0.30460940449074386,0.0,10.25,4.470664615609536,nr_particles=2; k=1; scaling=10.0
PSO,0.3484713787363153,0.31659063264636517,0.0,3.25,1.6181535936466533,nr_particles=2; k=1; scaling=100.0
PSO,0.2128934638161228,0.25315143374265026,0.0,2,0.0,nr_particles=2; k=1; scaling=1000.0
PSO,0.2629955618737193,0.3422159462274719,0.0,6.75,4.799945175125496,nr_particles=1; k=1; scaling=10.0
PSO,0.22408880628651953,0.28370156052645745,0.0,1.35,0.4893604849295929,nr_particles=1; k=1; scaling=100.0
PSO,0.15466976510787733,0.24134720860131975,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.27447148060564486,0.3005703843342623,0.0,5.75,5.5143353848711545,nr_particles=1; k=1; scaling=10.0
PSO,0.08607550664135927,0.2016184854214165,0.0,1.75,2.4468024246479643,nr_particles=1; k=1; scaling=100.0
