convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.6061783106293903,0.1399192797440611,0.0,25,0.0,nr_particles=25; k=12; scaling=10.0
PSO,0.65387072522806,0.10343776064066328,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.5854046818616697,0.10765846895465628,0.0,26.05,4.695742752749559,nr_particles=25; k=12; scaling=1000.0
PSO,0.6127134003535414,0.11277244391678685,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.6249744088671448,0.14166324602619576,0.0,25,0.0,nr_particles=25; k=8; scaling=100.0
PSO,0.6434540485270569,0.1435869353090337,0.0,25,0.0,nr_particles=25; k=8; scaling=1000.0
PSO,0.6343680850048032,0.12494136494267791,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.6014497407195409,0.13799639335797856,0.0,25.85,3.8013155617496426,nr_particles=25; k=5; scaling=100.0
PSO,0.647660517677729,0.13630790164265763,0.05,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.6134570513086185,0.12029714076677997,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.6228808789011926,0.10482551312126154,0.0,25,0.0,nr_particles=25; k=2; scaling=100.0
PSO,0.5767603557523281,0.13536445878931783,0.0,25.25,1.118033988749895,nr_particles=25; k=2; scaling=1000.0
PSO,0.5572881892926298,0.1647537561908515,0.0,25.25,4.563874162202662,nr_particles=12; k=2; scaling=1000.0
PSO,0.5425719703547098,0.18520322042830675,0.0,17.4,2.9451119181664924,nr_particles=12; k=1; scaling=100.0
PSO,0.5406392680908886,0.14791459346155497,0.0,12.25,0.5501196042201808,nr_particles=12; k=1; scaling=1000.0
PSO,0.5932815338246779,0.1855374010297451,0.0,25.8,2.8395700193404005,nr_particles=8; k=2; scaling=100.0
PSO,0.5027113739868077,0.21069432823489673,0.0,22.9,6.3652014480049415,nr_particles=8; k=2; scaling=1000.0
PSO,0.4478501246793264,0.18233665354166506,0.0,11.35,4.042862456491101,nr_particles=8; k=1; scaling=100.0
PSO,0.4180870328039436,0.1589240328323319,0.0,8.3,0.5712405705774795,nr_particles=8; k=1; scaling=1000.0
PSO,0.5074416563260168,0.20288287768943897,0.0,10.65,1.9808291724745766,nr_particles=8; k=1; scaling=100.0
PSO,0.43741132983911674,0.18077277510916134,0.0,8.7,1.7800059136507325,nr_particles=8; k=1; scaling=1000.0
PSO,0.4641336496888231,0.21099962744232306,0.0,25.15,2.433861994963214,nr_particles=5; k=2; scaling=10.0
PSO,0.496374622388253,0.25318657006450435,0.0,18,8.967778578420575,nr_particles=5; k=2; scaling=100.0
PSO,0.5132511068463267,0.20750549719128702,0.0,20.6,7.7893314354010075,nr_particles=5; k=2; scaling=1000.0
PSO,0.5395036178221393,0.2239264825454012,0.0,23.15,3.0996604228273306,nr_particles=5; k=1; scaling=10.0
PSO,0.40661577525686704,0.2730858028050427,0.0,6.9,1.9439514830419642,nr_particles=5; k=1; scaling=100.0
PSO,0.40737585671561954,0.20140316775070766,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.47399635896324943,0.2185501451939131,0.0,23.2,3.8196169551684793,nr_particles=5; k=1; scaling=10.0
PSO,0.4662440113924312,0.18212294603624588,0.0,7.45,2.781044862334261,nr_particles=5; k=1; scaling=100.0
PSO,0.3853322526503474,0.21655851977471685,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.5138353147624175,0.22682711800338448,0.0,23.35,3.1334359818945687,nr_particles=5; k=1; scaling=10.0
PSO,0.35877891241079646,0.23669115312829422,0.0,6.35,1.5312533566021211,nr_particles=5; k=1; scaling=100.0
PSO,0.3619947455571424,0.23300892672028828,0.0,5.15,0.36634754853252327,nr_particles=5; k=1; scaling=1000.0
PSO,0.24080102213169116,0.2768571181550125,0.0,12.7,6.821791707847958,nr_particles=2; k=1; scaling=10.0
PSO,0.23186744348877253,0.24318708597683364,0.0,2.7,0.8645047258706176,nr_particles=2; k=1; scaling=100.0
PSO,0.19773902339952304,0.21891868564169223,0.0,2.05,0.22360679774997896,nr_particles=2; k=1; scaling=1000.0
PSO,0.3209343843457723,0.2648663902030609,0.0,11.05,4.806519695054559,nr_particles=2; k=1; scaling=10.0
PSO,0.23667885044319342,0.28142015913140545,0.0,2.8,1.1964860832322377,nr_particles=2; k=1; scaling=100.0
PSO,0.11454382179024383,0.16638057376757842,0.0,2.1,0.30779350562554625,nr_particles=2; k=1; scaling=1000.0
PSO,0.23359947532697964,0.22213717058958535,0.0,10.55,6.7158492820303355,nr_particles=2; k=1; scaling=10.0
PSO,0.21622064912597788,0.23940624781236167,0.0,3.35,3.360372786337536,nr_particles=2; k=1; scaling=100.0
PSO,0.21786233332928712,0.2394306799109261,0.0,2.05,0.22360679774997896,nr_particles=2; k=1; scaling=1000.0
PSO,0.3513719383752616,0.2790471625701344,0.0,12.3,5.545030966645059,nr_particles=2; k=1; scaling=10.0
PSO,0.20815115809508405,0.23627579820744496,0.0,2.4,0.5982430416161189,nr_particles=2; k=1; scaling=100.0
PSO,0.22122997959342172,0.240717332016965,0.0,2.1,0.30779350562554625,nr_particles=2; k=1; scaling=1000.0
PSO,0.17529591965113733,0.32443981075858125,0.0,5.45,3.648720035126954,nr_particles=1; k=1; scaling=10.0
PSO,0.12206623722733786,0.1903974169345528,0.0,1.3,0.5712405705774795,nr_particles=1; k=1; scaling=100.0
PSO,0.158754383506327,0.22824206321777132,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.2508788938262948,0.2692850090096071,0.0,6.05,5.491380806126519,nr_particles=1; k=1; scaling=10.0
PSO,0.13791275121584132,0.2138377516265081,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.09834719782813059,0.16755719398388078,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.19429291320213274,0.2595873141194161,0.0,5.8,4.09878030638384,nr_particles=1; k=1; scaling=10.0
PSO,0.1010610745862586,0.15832119757095772,0.0,1.2,0.6958523739384593,nr_particles=1; k=1; scaling=100.0
PSO,0.11542595170617055,0.18641691828424178,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.2132760634297026,0.25733379205365,0.0,6.1,5.320269086981854,nr_particles=1; k=1; scaling=10.0
