pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.8626630172537213,0.07705854090262503,0.0,25,0.0,nr_particles=25; k=12; scaling=10.0
PSO,0.8807898802327113,0.07075750391359048,0.0,26.1,4.919349550499537,nr_particles=25; k=12; scaling=100.0
PSO,0.8781673933998864,0.04728216224201901,0.0,26.1,4.919349550499537,nr_particles=25; k=12; scaling=1000.0
PSO,0.8763590243527014,0.05265529431432589,0.0,25,0.0,nr_particles=25; k=8; scaling=10.0
PSO,0.8714035128728781,0.06129622062225597,0.0,26,4.47213595499958,nr_particles=25; k=8; scaling=100.0
PSO,0.8864245039041718,0.06714395288400778,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.8766987470751748,0.07102363708413748,0.0,25.9,4.024922359499621,nr_particles=25; k=5; scaling=100.0
PSO,0.893140474951683,0.06321771626992885,0.0,25.9,4.024922359499621,nr_particles=25; k=5; scaling=1000.0
PSO,0.8711168388188669,0.0804974880430139,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.8724000791807759,0.06292752695588655,0.0,25,0.0,nr_particles=25; k=2; scaling=1000.0
PSO,0.8189928289913387,0.06830822233883849,0.0,21.9,3.0418138632972544,nr_particles=12; k=1; scaling=100.0
PSO,0.8622843713366398,0.08766309010185795,0.0,13.15,1.0894228312566052,nr_particles=12; k=1; scaling=1000.0
PSO,0.8432495362160738,0.06716693949623885,0.0,26.25,1.3717065820970682,nr_particles=8; k=2; scaling=1000.0
PSO,0.8355504579754669,0.07678494489278788,0.0,14.45,3.940010686600522,nr_particles=8; k=1; scaling=100.0
PSO,0.821076481362085,0.07366350847131027,0.0,8.5,0.6882472016116853,nr_particles=8; k=1; scaling=1000.0
PSO,0.7914391087967206,0.06910720897387196,0.0,15.05,2.3502519461807316,nr_particles=8; k=1; scaling=100.0
PSO,0.7780461376557597,0.07554683338032912,0.0,8.85,1.9808291724745763,nr_particles=8; k=1; scaling=1000.0
PSO,0.8317141863455115,0.09379282610747047,0.0,25.25,1.6819474927657678,nr_particles=5; k=2; scaling=100.0
PSO,0.8419595250730998,0.07918914646607259,0.0,25.1,2.5110283068684702,nr_particles=5; k=2; scaling=1000.0
PSO,0.8471083119178476,0.06417101265168638,0.0,25.6,0.6805570473787206,nr_particles=5; k=1; scaling=10.0
PSO,0.7746906955124082,0.09860002334580453,0.0,9.25,4.1278897374094825,nr_particles=5; k=1; scaling=100.0
PSO,0.7981228036713645,0.1122934285434802,0.05,5.15,0.4893604849295929,nr_particles=5; k=1; scaling=1000.0
PSO,0.8638760656271457,0.06682415178325965,0.0,25.55,0.8870412083230169,nr_particles=5; k=1; scaling=10.0
PSO,0.7922492250183943,0.10890710745387618,0.0,9.55,4.418561328139094,nr_particles=5; k=1; scaling=100.0
PSO,0.752969673592907,0.07725391138108528,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.8705201100168004,0.06333915820878452,0.0,25.8,0.8335087534664907,nr_particles=5; k=1; scaling=10.0
PSO,0.7823963440656267,0.09496238191365831,0.0,8.9,2.80788363831477,nr_particles=5; k=1; scaling=100.0
PSO,0.7333926471089371,0.11661739545566879,0.0,5.25,0.4442616583193193,nr_particles=5; k=1; scaling=1000.0
PSO,0.7872461646375644,0.0778947117723303,0.0,17.05,6.099827435005199,nr_particles=2; k=1; scaling=10.0
PSO,0.6742655981712855,0.139669084468859,0.0,3.3,2.3192557789991715,nr_particles=2; k=1; scaling=100.0
PSO,0.6769406017432392,0.09572977742133004,0.0,2.05,0.22360679774997896,nr_particles=2; k=1; scaling=1000.0
PSO,0.8481022379179823,0.10740122357669667,0.0,15.95,6.516981865217898,nr_particles=2; k=1; scaling=10.0
PSO,0.6707901163849952,0.1067495772419879,0.0,3.95,2.258900524358558,nr_particles=2; k=1; scaling=100.0
PSO,0.6157356979119363,0.166281902577034,0.0,2.15,0.36634754853252327,nr_particles=2; k=1; scaling=1000.0
PSO,0.8665677564275711,0.0735108304780489,0.05,17.75,5.784507439340835,nr_particles=2; k=1; scaling=10.0
