pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.830133252348483,0.057740944633343845,0.0,26.2,5.366563145999495,nr_particles=25; k=12; scaling=10.0
PSO,0.8495874836146334,0.06759296941025687,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.8405246497317681,0.07353554792785,0.0,26.1,4.919349550499537,nr_particles=25; k=12; scaling=1000.0
PSO,0.8330725401898654,0.07382272890207373,0.0,25,0.0,nr_particles=25; k=8; scaling=100.0
PSO,0.860782156368606,0.06090242073319919,0.0,26,4.47213595499958,nr_particles=25; k=8; scaling=1000.0
PSO,0.8596206027610623,0.06293434428646014,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.81442988032467,0.049377692506358595,0.0,25.85,3.8013155617496426,nr_particles=25; k=5; scaling=100.0
PSO,0.831354261422609,0.06384957088349999,0.0,25.85,3.8013155617496426,nr_particles=25; k=5; scaling=1000.0
PSO,0.8474280593375303,0.07540936049547856,0.0,25,0.0,nr_particles=25; k=2; scaling=10.0
PSO,0.8500012625742006,0.056522562785154995,0.0,25.65,2.007223796297028,nr_particles=25; k=2; scaling=1000.0
PSO,0.8230726765630878,0.09184078289573828,0.0,20.7,3.0452724361748515,nr_particles=12; k=1; scaling=100.0
PSO,0.796027594852325,0.08214854535583996,0.0,12.65,0.5871429486123998,nr_particles=12; k=1; scaling=1000.0
PSO,0.8167940613410221,0.1023055752460213,0.0,25.65,1.1821033884786185,nr_particles=8; k=2; scaling=100.0
PSO,0.7879674072240814,0.09490961051459756,0.0,14.9,3.5673962198603175,nr_particles=8; k=1; scaling=100.0
PSO,0.7558735745106097,0.09481662561488388,0.0,8.5,0.8271701918685112,nr_particles=8; k=1; scaling=1000.0
PSO,0.8025861144161172,0.07861536945405952,0.0,15.05,5.103920062069938,nr_particles=8; k=1; scaling=100.0
PSO,0.744779262564685,0.08573018366331375,0.0,8.45,0.6863327411532597,nr_particles=8; k=1; scaling=1000.0
PSO,0.8314189538108518,0.09149592112210903,0.0,25.05,1.637552731171861,nr_particles=5; k=2; scaling=100.0
PSO,0.7993885876409572,0.08411215518429965,0.0,24.2,4.5491468257361465,nr_particles=5; k=2; scaling=1000.0
PSO,0.8384154404239985,0.07711636632392661,0.05,26.05,1.394538218230416,nr_particles=5; k=1; scaling=10.0
PSO,0.7791601408842836,0.09396850901423677,0.0,9.05,2.6650762801367183,nr_particles=5; k=1; scaling=100.0
PSO,0.7302962058843253,0.1153408527885537,0.0,5.2,0.41039134083406165,nr_particles=5; k=1; scaling=1000.0
PSO,0.8683782383915184,0.08115151998048035,0.0,25.85,1.1821033884786185,nr_particles=5; k=1; scaling=10.0
PSO,0.7551264384148583,0.08779192468012867,0.0,8.3,2.8855356157000878,nr_particles=5; k=1; scaling=100.0
PSO,0.7500326752513373,0.07185279343582286,0.0,5.4,0.5026246899500346,nr_particles=5; k=1; scaling=1000.0
