pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9523428771454955,0.024044074596810173,0.05,26.15,5.142956348249516,nr_particles=25; k=12; scaling=10.0
PSO,0.9490883158116883,0.0237266132724833,0.0,25,0.0,nr_particles=25; k=12; scaling=100.0
PSO,0.9489866882581093,0.02808324711919207,0.0,26.2,5.366563145999495,nr_particles=25; k=8; scaling=10.0
PSO,0.9527204758940528,0.023447081771245878,0.0,25,0.0,nr_particles=25; k=8; scaling=1000.0
PSO,0.9520778775221889,0.039123939940396625,0.0,25,0.0,nr_particles=25; k=5; scaling=10.0
PSO,0.9583254073267625,0.020957376092089745,0.0,25,0.0,nr_particles=25; k=5; scaling=100.0
PSO,0.9610080598515834,0.02147433568800258,0.0,25,0.0,nr_particles=25; k=5; scaling=1000.0
PSO,0.9489612963789158,0.03927711919576621,0.0,26.2,5.366563145999495,nr_particles=25; k=2; scaling=10.0
PSO,0.9535527540234933,0.030421785602104744,0.0,25,0.0,nr_particles=25; k=2; scaling=100.0
PSO,0.953833963718706,0.030048521639590587,0.0,25.65,2.9068883707497264,nr_particles=25; k=2; scaling=1000.0
PSO,0.9224528370538765,0.05653122706246067,0.0,20.2,3.1556132109056243,nr_particles=12; k=1; scaling=100.0
PSO,0.9400134027931158,0.04251499366693089,0.0,12.9,1.1652874052533586,nr_particles=12; k=1; scaling=1000.0
PSO,0.9538653470907925,0.025931659132934225,0.0,26.1,1.2937094768634554,nr_particles=8; k=2; scaling=100.0
PSO,0.9254826917185771,0.04706127609074198,0.0,25.9,2.7125439603519985,nr_particles=8; k=2; scaling=1000.0
PSO,0.9418682026487413,0.04631002352062462,0.0,15.4,4.935371793172436,nr_particles=8; k=1; scaling=100.0
PSO,0.9036729337779719,0.07413295482792126,0.0,8.7,0.9233805168766387,nr_particles=8; k=1; scaling=1000.0
PSO,0.9188253972554605,0.05654334298633869,0.0,15,4.667919631292994,nr_particles=8; k=1; scaling=100.0
PSO,0.9154163084951286,0.07684100034404576,0.0,8.9,1.6827296120792612,nr_particles=8; k=1; scaling=1000.0
PSO,0.9243499053161427,0.06753457481205845,0.0,25,3.4027852368936027,nr_particles=5; k=2; scaling=100.0
PSO,0.9252822346187889,0.056945587710236154,0.0,25.15,2.058998223459779,nr_particles=5; k=2; scaling=1000.0
PSO,0.9605897684235979,0.028565915264324056,0.0,25.7,0.7326950970650465,nr_particles=5; k=1; scaling=10.0
PSO,0.8620167207627238,0.08017126182563801,0.0,9.15,2.5188761069384222,nr_particles=5; k=1; scaling=100.0
PSO,0.8702756611906775,0.0966343815690565,0.0,5.25,0.4442616583193193,nr_particles=5; k=1; scaling=1000.0
PSO,0.9527192970560098,0.034758062464857103,0.05,25.65,1.3088765773505315,nr_particles=5; k=1; scaling=10.0
PSO,0.8865911430444714,0.08468332241930161,0.0,8.95,1.9049796241485244,nr_particles=5; k=1; scaling=100.0
PSO,0.8800220547334224,0.08016536604811822,0.0,5.45,1.5719582155957412,nr_particles=5; k=1; scaling=1000.0
PSO,0.9376725618395758,0.03829024337317745,0.0,25.85,0.9333020044867295,nr_particles=5; k=1; scaling=10.0
PSO,0.8641821589831927,0.060901020130559966,0.0,8.9,4.037977607403827,nr_particles=5; k=1; scaling=100.0
PSO,0.8648228625969001,0.08638540663081623,0.0,5.55,0.7591546545162482,nr_particles=5; k=1; scaling=1000.0
PSO,0.8630404271460185,0.10638600355521656,0.0,17.05,5.9424875174237295,nr_particles=2; k=1; scaling=10.0
PSO,0.7703948998192675,0.12266124200769951,0.0,4.5,3.677813996040812,nr_particles=2; k=1; scaling=100.0
PSO,0.7733672650187431,0.13642259097902398,0.0,2.15,0.36634754853252327,nr_particles=2; k=1; scaling=1000.0
PSO,0.9198555840216838,0.06952197833013615,0.0,17.65,5.9848492923908765,nr_particles=2; k=1; scaling=10.0
PSO,0.8327102859623303,0.13771169979115566,0.0,4.15,2.058998223459779,nr_particles=2; k=1; scaling=100.0
PSO,0.7900564574616545,0.1559087591901935,0.0,2.2,0.41039134083406165,nr_particles=2; k=1; scaling=1000.0
PSO,0.8868261416746026,0.07555419834262744,0.0,16.9,5.408570197283878,nr_particles=2; k=1; scaling=10.0
PSO,0.7959053189926897,0.09989486372784023,0.0,4.05,2.781044862334261,nr_particles=2; k=1; scaling=100.0
PSO,0.7102554861568517,0.14790682991321363,0.0,2.25,0.5501196042201808,nr_particles=2; k=1; scaling=1000.0
PSO,0.9213551710301809,0.06812407631701686,0.0,16.65,5.851450562399936,nr_particles=2; k=1; scaling=10.0
PSO,0.753815715965415,0.1364150275412078,0.0,3.65,1.268027892769755,nr_particles=2; k=1; scaling=100.0
PSO,0.8042831230552838,0.156230425931881,0.0,2.2,0.5231483637805969,nr_particles=2; k=1; scaling=1000.0
PSO,0.846097662228906,0.1200686782996995,0.0,11.55,8.016266357587519,nr_particles=1; k=1; scaling=10.0
PSO,0.6853745669770143,0.2754569610263918,0.0,2.95,3.0689446154389266,nr_particles=1; k=1; scaling=100.0
PSO,0.6145781623746438,0.20496093027500967,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.8230952250422325,0.12238365449113815,0.0,7.7,5.545030966645059,nr_particles=1; k=1; scaling=10.0
PSO,0.6995932200186681,0.2037854063070983,0.0,1.95,2.8741131355236305,nr_particles=1; k=1; scaling=100.0
PSO,0.6964984339089522,0.1736580957414403,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8692036757287572,0.12005826639421129,0.0,9.85,6.326843396862376,nr_particles=1; k=1; scaling=10.0
PSO,0.6353821241282794,0.14073453636419841,0.0,1.6,0.6805570473787206,nr_particles=1; k=1; scaling=100.0
PSO,0.6760356789635613,0.17599276396042815,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8625517864243729,0.1287155267525729,0.0,8.35,4.428080254110364,nr_particles=1; k=1; scaling=10.0
PSO,0.6745323578333925,0.1927489208654755,0.0,1.4,0.5982430416161189,nr_particles=1; k=1; scaling=100.0
PSO,0.6614549293968031,0.19729762672700815,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.8414135549050515,0.1668175610020551,0.0,7.8,4.502630809929492,nr_particles=1; k=1; scaling=10.0
PSO,0.7208489298939555,0.16555512303906525,0.0,1.85,1.0894228312566052,nr_particles=1; k=1; scaling=100.0
PSO,0.671162211587159,0.15772219907472626,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.8630790857273861,0.1098896497196458,0.0,8.5,6.021889893940012,nr_particles=1; k=1; scaling=10.0
PSO,0.7087623522601423,0.2485335634394983,0.0,1.7,0.9233805168766386,nr_particles=1; k=1; scaling=100.0
PSO,0.6199748362929136,0.226973574230639,0.0,1.15,0.4893604849295929,nr_particles=1; k=1; scaling=1000.0
PSO,0.7785178315704946,0.17396259897432145,0.0,7.55,5.698337707751177,nr_particles=1; k=1; scaling=10.0
PSO,0.7320504995495296,0.14985361319542506,0.0,1.8,1.5423836644690752,nr_particles=1; k=1; scaling=100.0
PSO,0.5852811008922221,0.23750635627308594,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8037578269068241,0.14765614689396148,0.0,7.6,4.296877691386717,nr_particles=1; k=1; scaling=10.0
PSO,0.6560290744783013,0.3042753980498251,0.0,2,1.025978352085154,nr_particles=1; k=1; scaling=100.0
PSO,0.6277442083168572,0.21906380424196256,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.9708181486942326,0.01062265433267778,0.0,52.25,10.062305898749054,nr_particles=50; k=25; scaling=100.0
PSO,0.9721133485081495,0.008886949392899524,0.0,52.35,10.509519494249012,nr_particles=50; k=16; scaling=10.0
PSO,0.975768030498983,0.0074618213140189025,0.0,52.4,10.73312629199899,nr_particles=50; k=10; scaling=10.0
PSO,0.9556954917974172,0.03413992891941238,0.0,30,6.774565435664878,nr_particles=16; k=1; scaling=100.0
PSO,0.9432697206749168,0.037248303226341976,0.0,17.45,1.8771478925557026,nr_particles=16; k=1; scaling=1000.0
PSO,0.9732288775433524,0.015161272170320811,0.0,52.45,2.211810403980842,nr_particles=10; k=5; scaling=1000.0
PSO,0.9592489477061632,0.038539372196805005,0.0,51.9,1.7740824166460338,nr_particles=10; k=3; scaling=100.0
PSO,0.970319995509917,0.02311837839504113,0.0,50.7,1.1742858972247996,nr_particles=10; k=2; scaling=100.0
PSO,0.9725647320752638,0.0245038939797574,0.0,49.3,4.6690470119715,nr_particles=10; k=2; scaling=1000.0
PSO,0.9628402069769257,0.023918647578093907,0.0,52.2,1.7947291248483563,nr_particles=10; k=1; scaling=10.0
PSO,0.9439430646601712,0.03667037305599209,0.05,21.8,8.281876217633933,nr_particles=10; k=1; scaling=100.0
PSO,0.9076186866758191,0.05818255088282782,0.0,11.35,2.2542357790099112,nr_particles=10; k=1; scaling=1000.0
PSO,0.9652050443261615,0.02414940950142119,0.0,51.05,1.3168942730211068,nr_particles=5; k=2; scaling=10.0
PSO,0.9448492569574065,0.044308941495252656,0.0,41.15,12.084243764854342,nr_particles=5; k=2; scaling=100.0
PSO,0.9635170156050109,0.023698865609759503,0.0,44,10.218661978536081,nr_particles=5; k=2; scaling=1000.0
PSO,0.9651252972527993,0.024217669430867467,0.0,44,7.725555677510569,nr_particles=5; k=1; scaling=10.0
