GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.4692391756845897,0.3641814665960648,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.48562247621849264,0.4195841255713144,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4807004300093705,0.3654753762092997,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.5096609874678888,0.3293197346705358,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5385986647105989,0.3639978946881441,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.46803068005198784,0.3838329861206831,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.5368491262878217,0.38859863014668594,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5249702481913312,0.38592126553867817,0.05,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.47270668387536996,0.39224777067514366,0.05,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.54834784085913,0.3992094708193649,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5374041562603906,0.3993178175517896,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.4863959060103081,0.3662178909960714,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5449213688103114,0.3302759699134641,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.6910502750856968,0.2892508230500538,0.05,24.9,0.4472135954999579,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.40562335270103705,0.3587096266457248,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5700551004104795,0.40342488492263007,0.05,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.5360100210649429,0.33869213882497123,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.5523274875082109,0.34741782374164554,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.4004165050223875,0.3531018450777101,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5791561384124637,0.3540855298718601,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.41893120701421804,0.3749749155307909,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.5754898395006532,0.35811721856052997,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.46284302001012323,0.35360111679843925,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.5283422504920994,0.394403461928228,0.05,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.43576630623130874,0.38248514746936946,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.49908869188551974,0.4269639459668514,0.05,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.6435911894370199,0.25727404626145167,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.5198626704329172,0.38144956794586904,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=adjacent
