GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.6472044611948867,0.3612289385290098,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.6284578056896419,0.3808084313264419,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5948846544467317,0.3733660959029361,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.7161504928751786,0.3383004566043093,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.6187975563585545,0.423884295992316,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5595022107074179,0.42933708211899085,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.6407426257479026,0.2994723261041544,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5578206358188664,0.40808615344936966,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.6509366124389112,0.3841349629367743,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.6646377984692102,0.39775758330578276,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5862202467635412,0.33431859201453956,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.5843556852413405,0.41631194583824094,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.6514640991899228,0.3485228882360908,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5371801586414817,0.4233088600952196,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.4927331361903445,0.41799099483449254,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5460251922766131,0.4326820240179913,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.6430523805841238,0.39213690078301516,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.6467844047686055,0.3875620361391232,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.3755591800291734,0.40662642109437314,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.524035974693056,0.4290388326557335,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.6516173474288914,0.35243108939750895,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.6713903296584128,0.3549044213016814,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.7220701212568374,0.32438921703996054,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.582447892526649,0.4079731668334142,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.6329086238501785,0.3567924303934027,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.6391924669087045,0.3944142220816237,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.5805620267513608,0.3753368218881632,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.490509074857018,0.40323422209221293,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.5538873196689774,0.390319342899197,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.46785087650646623,0.4817399037309999,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4568511603016687,0.43155982564231304,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.45858643149938555,0.4714895118678064,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5197107249324058,0.43320506972960304,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.4317223035146046,0.4138136828026538,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.6679301852828773,0.36630508046526866,0.0,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5156940190279238,0.4389042790132601,0.0,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.523214453165462,0.44104781425435907,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5406680064834729,0.45515496899951735,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.6621560128676303,0.3510284197849489,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.38762717037410555,0.44749389885451174,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5797062695600077,0.42082480477594464,0.05,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.3524905194345726,0.44413234425263337,0.0,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.6469589488411372,0.3628625792905378,0.05,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.4961334039608726,0.43708241661431974,0.0,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.489069741037798,0.40791949311798387,0.0,25,0.0,walksize=0.05; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.24185073900129436,0.3883468845618867,0.0,25,0.0,walksize=0.05; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5634301151199343,0.40851675827267664,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5507564560204211,0.4387885689309811,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.6703202622735799,0.39914669525271734,0.05,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.4023719389001083,0.4587352295961858,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5465233870432511,0.4068390868469787,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.2825831021215181,0.4053535855079064,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.6885909100301796,0.3125521574179538,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.5407577377372487,0.4568705290704303,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.5399208085933102,0.40018300148238806,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.4294697955335746,0.4438621225660817,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.5061611630668172,0.42868774408408,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.49895388724108264,0.46512488285527887,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.6300650139970445,0.3748441824257657,0.05,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.5378363051775622,0.4215856879281832,0.05,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
