convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.6122699588102918,0.2477806867319809,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5224238573721568,0.3670835695553735,0.05,24.95,0.22360679774997896,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4815207302444382,0.35193663631136457,0.05,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.6048132701408911,0.33392828347630577,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5611533189162686,0.23094380918887197,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5878069480762799,0.2990781579273868,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.6511582658032822,0.25283142189800767,0.05,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5740147418939959,0.32201129288861824,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.5972057502061012,0.17600862681040677,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.6357901457093381,0.3071142718128871,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.48196516885148183,0.30665435099321264,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.47063874457656835,0.3578666799003078,0.0,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.592114829650006,0.23957020683502805,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5021674999778595,0.33562129779480093,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5309597392726243,0.2524066574736674,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.6780567377329755,0.262163342905403,0.05,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.498906790341619,0.290912968230297,0.05,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.6202914969370011,0.26607096962649773,0.05,24.7,1.3416407864998738,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.357635969260503,0.3471002584369024,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5960115790671999,0.2054853504829996,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5114226975404724,0.2838339432541119,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.5053920611473336,0.2829998034362578,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5037201891930951,0.2984635138656817,0.05,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.7166263611226633,0.1595046413519513,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.41428058145607627,0.31894821526010103,0.0,25,0.0,walksize=0.02; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.6938677894482238,0.22536907773412174,0.1,24.8,0.8944271909999159,walksize=0.02; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.5218336464078279,0.26390841518513564,0.0,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.524812818840838,0.3422908920882937,0.05,25,0.0,walksize=0.02; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.43142778230670775,0.2962624770450589,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.36417247073631703,0.34683245103347454,0.0,25,0.0,walksize=0.05; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.42069381317046856,0.32559891621542963,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.4343719114660396,0.3520833739937539,0.0,25,0.0,walksize=0.05; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5470704572242373,0.318440320325486,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.40002401941355265,0.3839509503466581,0.0,25,0.0,walksize=0.05; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.5415381235706728,0.2871309096902383,0.0,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.4919764918005892,0.3760670668155219,0.0,25,0.0,walksize=0.05; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.38934103182400004,0.29804545194395804,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.3120752559763954,0.32618637342298784,0.0,25,0.0,walksize=0.05; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5779380257314234,0.2712715794482205,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.3456040638282862,0.39890400382210833,0.0,25,0.0,walksize=0.05; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5203862162878353,0.2665725341051185,0.0,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.41262552120001206,0.36468456912190744,0.0,25,0.0,walksize=0.05; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5851577479182323,0.25610470721443424,0.0,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.4388842971041183,0.38631387298824627,0.05,25,0.0,walksize=0.05; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.4956505233678578,0.24544560708047147,0.0,25,0.0,walksize=0.05; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.453272041785997,0.35606092242420495,0.0,25,0.0,walksize=0.05; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5716299169651606,0.25840857547680424,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.20516832449807,0.33415932159051387,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.601550385349625,0.3007489185202183,0.05,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.37019929283603054,0.3834283108812596,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.6470826845942333,0.21756780024586114,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.5546856779039495,0.34828207307351716,0.1,24.4,1.9574419397183715,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.44553210190121756,0.30633268413426595,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.34568063695261086,0.378410216283238,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.3504076201669536,0.32153646722589296,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.30639806067123065,0.3595661863764242,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.4886899964112768,0.30249060696650115,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5529638563680163,0.28890102677367774,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5344018408701651,0.29736376169114154,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.5576103461292686,0.31607430087487587,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5474847226212333,0.25034090218855193,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5943412165354915,0.28827926785629693,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.537700448620549,0.33176098327078124,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.4851963606648457,0.35413814850984393,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.4913549208371511,0.3304406794624578,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.3622901120535392,0.3335790142332362,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5556432168086347,0.3380972801362971,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.4358533950290457,0.3603153272150891,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.582207924233297,0.23436189666526644,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.4536929189434065,0.3706679514006259,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.572713347178598,0.25603070995383975,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5621226797937203,0.29593733959775526,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.41860193676870383,0.31044052516107545,0.0,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.5038503954634206,0.2690473570858203,0.0,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5621242142820362,0.31516085001689764,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5919887215796534,0.34510126932472734,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.4821034264040566,0.2898697435933983,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.46294613213931207,0.3186860069667124,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.4616631019446811,0.26239114955297155,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.5791075148603031,0.2879348654750531,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.6142105265745116,0.3330091804984429,0.05,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.45760118250945153,0.31887308150343063,0.05,24.9,0.4472135954999579,walksize=0.1; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.6243418949909219,0.18890638245121277,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.423205873734498,0.3766394858474321,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.4973386629800803,0.27623643902001344,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5594901374055548,0.29627301052253213,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5040231412892913,0.3453282272762992,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.5195365015723398,0.3349499168026443,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5494723712779367,0.2792449851756401,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.47504386815662536,0.32310342947692683,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.5435464355551349,0.30129197239327227,0.0,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.6660242086816313,0.28236705510916477,0.05,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.6495120382470968,0.23573963110140714,0.05,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5230054605250057,0.34145817445695187,0.0,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.46592479118480395,0.339585480426821,0.0,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.6862274481756118,0.3257945257557406,0.15,24.9,0.3077935056255462,walksize=0.2; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.4086117940410905,0.3242853735498238,0.0,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5655548200147898,0.3001850591728119,0.0,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.49048032183084084,0.33276717074571105,0.0,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.7067340218287169,0.22229875200612725,0.0,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.4471768944709199,0.30413262242370237,0.0,25,0.0,walksize=0.2; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.5275011910373585,0.3253692674422821,0.05,24.85,0.6708203932499369,walksize=0.2; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5839114665825677,0.2394197868533624,0.0,25,0.0,walksize=0.2; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5750336842497792,0.29973835657520276,0.0,25,0.0,walksize=0.2; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5910163956544959,0.27977199033595657,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.48091280571332445,0.332334651912174,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5941489876444215,0.24346678058786764,0.0,25,0.0,walksize=0.2; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.44049942124574576,0.33947780396820976,0.0,25,0.0,walksize=0.2; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.4969071156266767,0.29971352668768125,0.0,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.5197087609997644,0.3033985148524892,0.0,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.4969165803419967,0.24747796515069015,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.4778820412715707,0.3252333843217524,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.44414401070553555,0.3547883248084837,0.0,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.48495281795606554,0.30776769126991166,0.0,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5289171289412891,0.3282647838034432,0.0,25,0.0,walksize=0.35; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.6029379288119231,0.29731629470602106,0.05,24.8,0.8944271909999159,walksize=0.35; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5108894804378421,0.2607306277869446,0.0,25,0.0,walksize=0.35; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.6175129961628945,0.2963652110891937,0.0,25,0.0,walksize=0.35; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.4513268441782687,0.2762625879956466,0.0,25,0.0,walksize=0.35; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.6584282243673729,0.2855288165737193,0.0,25,0.0,walksize=0.35; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.48237555444563257,0.3231778887353943,0.0,25,0.0,walksize=0.35; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5986798126291222,0.311418110174792,0.05,25,0.0,walksize=0.35; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5889765049416331,0.2511718228435512,0.0,25,0.0,walksize=0.35; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.523121451503377,0.29660929437300776,0.0,25,0.0,walksize=0.35; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5981352153121571,0.251396666568873,0.0,25,0.0,walksize=0.35; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5991873860751215,0.30861399222293007,0.05,25,0.0,walksize=0.35; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.598030824926573,0.2536036924186305,0.0,25,0.0,walksize=0.35; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5155025917097722,0.2836936166327265,0.0,25,0.0,walksize=0.35; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.5566651477060434,0.20118833658160845,0.0,25,0.0,walksize=0.35; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.482000185552192,0.33047554593463835,0.1,24.45,1.8771478925557026,walksize=0.35; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5058506692330741,0.3001614663306067,0.0,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5277568194413076,0.33615084376589105,0.0,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5536230334391766,0.3163561077577749,0.05,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.5280913739248029,0.36015467197383544,0.0,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5705040426512223,0.29348191917464944,0.0,25,0.0,walksize=0.35; no_improve=200; restart=True; nbour=Hamming
