convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.6326910561099748,0.31951507532646933,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.6669576263289313,0.30540365288411586,0.0,25,0.0,walksize=0.02; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5616878899150891,0.3576782367746394,0.0,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.726491717231868,0.2740177168133761,0.05,25,0.0,walksize=0.02; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5765649526949504,0.3014030331177307,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.6351611395993628,0.353351722112886,0.0,25,0.0,walksize=0.02; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.6013245086799539,0.3253946205736935,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.6405791452254571,0.3362865994899451,0.0,25,0.0,walksize=0.02; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.5639031617378252,0.32616083507640675,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.6149287179555997,0.3321915483991263,0.0,25,0.0,walksize=0.02; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.6505092219274959,0.3098524192892471,0.05,25,0.0,walksize=0.02; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.7339031315704412,0.17882684451258704,0.1,24.7,1.3416407864998738,walksize=0.02; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.6974490208035549,0.21746557186083104,0.0,25,0.0,walksize=0.02; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.6071503518003569,0.39110226599398673,0.05,24.9,0.4472135954999579,walksize=0.02; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5497873978044061,0.30422143512475996,0.0,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.6465892313561166,0.31184986519527375,0.05,25,0.0,walksize=0.02; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.5771440785412588,0.33370417627270776,0.0,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.5649224009715291,0.40635912606637764,0.05,25,0.0,walksize=0.02; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.5260977106913804,0.3778261479984433,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.6975416371438039,0.32600903148366867,0.0,25,0.0,walksize=0.02; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.6507012989521097,0.3149305511366995,0.0,25,0.0,walksize=0.02; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.630098885868552,0.3272727648170522,0.1,24.7,0.9233805168766387,walksize=0.02; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.6455976302039256,0.2656589797685675,0.0,25,0.0,walksize=0.02; no_improve=200; restart=True; nbour=Hamming
